ID,_Name,_Target_Type,_Lv,_MOD_BaseMHP,_MOD_BaseMSP,_Base_Atk,_Base_Def,_Base_Ele,_Base_Luk,_Base_Guard,_Base_Atk_Min_Dam,_Base_Atk_Max_Dam,_Base_Ele_Min_Dam,_Base_Ele_Max_Dam,_Base_Speed_X,_Base_Speed_Y,_Base_Water,_BASE_DAMAGE_ABSOLUTE,_BASE_REDUCE_DAMAGE_ABSOLUTE,_BASE_DEF_PENETRATION,_BASE_ELE_PENETRATION,_BASE_JUMP_ATK,_BASE_NORMAL,_BASE_HEAVY,_BASE_CRITICAL_DAMAGE,_BASE_ELE_CRITICAL_DAMAGE,_BASE_HEAL_CRITICAL_AUGMENT,_BASE_HEAL_CRITICAL_PROBABILITY,_CLASS_MHP_FACTOR,_CLASS_MSP_FACTOR,_CLASS_RECV_HP_FACTOR,_CLASS_RECV_SP_FACTOR,_BASE_PHY_HIT_RATE,_BASE_ELE_HIT_RATE,_BASE_PHY_DODGE_RATE,_BASE_ELE_DODGE_RATE,_BASE_BACK_DAM,_BASE_ELE_BACK_DAM,_BASE_ATK_ADD_FACTOR,_BASE_ATK_RATIO_FACTOR,_BASE_ELE_ADD_FACTOR,_BASE_ELE_RATIO_FACTOR,_BASE_AMOR,_BASE_HEAL_HP_ADD,_BASE_HEAL_SP_ADD,_BASE_HEAL_HP_FACTOR,_BASE_HEAL_SP_FACTOR,_BASE_ELE_DAMAGE_ABSOLUTE,_BASE_ELE_REDUCE_DAMAGE_ABSOLUTE,_BASE_WATER_MIN_DAM,_BASE_WATER_MAX_DAM,_BASE_RES_WATER,_WATER_DAM,_PHY_IMMUNE,_ELE_IMMUNE,_WATER_IMMUNE,_ELASTICITY,_ADD_RES_STUN,_ADD_RES_SLEEP,_ADD_RES_CONFUSION,_ADD_RES_FREEZE,_BASE_DROP_SPEED,_BASE_MAX_DROP_SPEED,_EffectID1,_EffectID2,_EffectID3,_EffectID4,_RecallID,_Drop_place,_Active_mob,_LifeTime,_LifeTime2,_Mob_Type,_HP_reset,_HIT_Revision,_SealSkill_Probability,_SealSkill_ID,_Mob_Type_Dam,_BossMob_Check,_Difficulty_Check
810000101,???,3,2,18,11,11,11,11,18,0,95,105,95,105,132,-800,7,0,0,0,0,3,6,8,50,50,50,50,325,150,2,3,1,1,0,0,20,20,20,200,20,200,60,0,0,100,100,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000102,???,3,56,6021,86,179,179,179,494,0,95,105,95,105,132,-800,134,0,38,0,0,30,118,150,50,50,50,50,325,150,2,3,28,28,0,0,20,20,31,200,31,200,870,0,0,100,100,0,48,0,0,870,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000103,????,3,48,4462,75,151,151,151,415,0,95,105,95,105,132,-800,110,0,32,0,0,26,97,122,50,50,50,50,325,150,2,3,24,24,0,0,20,20,29,200,29,200,750,0,0,100,100,0,40,0,0,750,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000104,??G,3,4,51,14,17,17,17,33,0,95,105,95,105,132,-800,11,0,0,0,0,4,9,12,50,50,50,50,325,150,2,3,2,2,0,0,20,20,21,200,21,200,90,0,0,100,100,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000105,??? ??G,3,19,763,35,59,59,59,153,0,95,105,95,105,132,-800,38,0,10,0,0,12,34,42,50,50,50,50,325,150,2,3,10,10,0,0,20,20,23,200,23,200,315,0,0,100,100,0,11,0,0,315,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000106,??? ??G,3,99,18392,147,345,345,345,966,0,95,105,95,105,132,-800,314,0,70,0,0,52,278,350,50,50,50,50,325,150,2,3,50,50,0,0,20,20,44,200,44,200,1515,0,0,100,100,0,91,0,0,1515,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000107,??? ??G,3,7,144,144,19,19,19,19,0,95,105,95,105,108,-800,5,0,1,0,0,9,12,16,50,50,50,0,520,240,2,3,2,2,0,0,20,20,30,200,30,200,135,0,0,100,100,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000108,?? ??G,3,29,1693,49,89,89,89,239,0,95,105,95,105,132,-800,60,0,18,0,0,17,53,67,50,50,50,50,325,150,2,3,15,15,0,0,20,20,25,200,25,200,465,0,0,100,100,0,21,0,0,465,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000109,??,3,6,99,16,22,22,22,48,0,95,105,95,105,132,-800,14,0,1,0,0,5,12,16,50,50,50,50,325,150,2,3,3,3,0,0,20,20,21,200,21,200,120,0,0,100,100,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000110,??,3,9,213,213,30,23,38,16,0,95,105,95,105,132,-800,6,0,3,0,0,14,15,21,50,50,50,50,650,300,3,2,3,3,0,0,20,20,30,200,30,200,165,0,0,100,100,0,1,0,0,90,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000111,??,3,7,128,18,25,25,25,56,0,95,105,95,105,132,-800,16,0,1,0,0,6,14,17,50,50,50,50,325,150,2,3,4,4,0,0,20,20,21,200,21,200,135,0,0,100,100,0,0,0,0,135,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000112,??,3,9,197,21,30,30,30,72,0,95,105,95,105,132,-800,19,0,3,0,0,7,17,21,50,50,50,50,325,150,2,3,5,5,0,0,20,20,22,200,22,200,165,0,0,100,100,0,1,0,0,165,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000113,??,3,12,329,25,39,39,39,96,0,95,105,95,105,132,-800,25,0,5,0,0,8,22,28,50,50,50,50,325,150,2,3,6,6,0,0,20,20,22,200,22,200,210,0,0,100,100,0,4,0,0,210,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
