ID,_Type,_AttackType,_Idle_Action1,_Idle_Probability1,_Idle_ActionTimeMin1,_Idle_ActionTimeMax1,_Idle_Action2,_Idle_Probability2,_Idle_ActionTimeMin2,_Idle_ActionTimeMax2,_Idle_Action3,_Idle_Probability3,_Idle_ActionTimeMin3,_Idle_ActionTimeMax3,_Idle_Action4,_Idle_Probability4,_Idle_ActionTimeMin4,_Idle_ActionTimeMax4,_Idle_Action5,_Idle_Probability5,_Idle_ActionTimeMin5,_Idle_ActionTimeMax5,_Rect_Left,_Rect_Top,_Rect_Right,_Rect_Bottom,_Charge_Rect_Left,_Charge_Rect_Top,_Charge_Rect_Right,_Charge_Rect_Bottom,_Scan_Delay,_Target_Delay,_Charge_Delay,_Giveup_Time,_Chase_Delay,_Chase_Rect_Left,_Chase_Rect_Top,_Chase_Rect_Right,_Chase_Rect_Bottom,_RetreatType,_Retreat_HP_Check,_Chase_Move_Probability,_Chase_Run_Probability,_Chase_ActionTimeMin,_Chase_ActionTimeMax,_Retreat_Move_Probability,_Retreat_Run_Probability,_Retreat_ActionTimeMin,_Retreat_ActionTimeMax,_AttackID,_CallType,_Call_Delay,_Call_Rect_Left,_Call_Rect_Top,_Call_Rect_Right,_Call_Rect_Bottom,_Enemy_Target,_Call_Rect_Mob,_Chase_Move_Summoner,_AttackID_Easy,_AttackID_Hard
812000000,1,1,1,50,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-350,-20,350,20,-450,-250,400,250,0,0,1,30,1,0,0,0,0,0,0,100,0,30,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
810000101,1,0,1,50,10,25,4,30,5,30,5,30,5,30,0,0,0,0,0,0,0,0,0,0,0,0,-500,-250,500,200,9999,20,1,30,1,0,-60,65,30,0,0,100,0,30,30,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1
810000102,1,1,1,50,10,25,4,35,5,30,5,35,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,65,30,0,0,100,0,30,30,0,0,0,0,2,0,0,0,0,0,0,5,0,0,2,2
810000103,1,1,1,50,10,25,4,35,5,30,5,35,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,70,30,0,0,100,0,30,30,0,0,0,0,3,0,0,0,0,0,0,5,0,0,3,3
810000104,1,0,1,50,10,25,4,30,5,30,5,30,5,30,0,0,0,0,0,0,0,0,0,0,0,0,-500,-250,500,200,9999,20,1,30,1,0,-60,60,30,0,0,100,0,30,30,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,4
810000105,1,0,1,50,10,25,4,35,5,30,5,35,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,60,30,0,0,100,0,30,30,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,5
810000106,1,1,1,50,10,25,4,35,5,30,5,35,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,60,30,0,0,100,0,30,30,0,0,0,0,6,0,0,0,0,0,0,5,0,0,6,6
810000107,1,1,1,50,10,25,4,35,5,30,5,35,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,60,30,0,0,100,0,30,30,0,0,0,0,7,0,0,0,0,0,0,5,0,0,7,7
810000108,1,1,1,50,10,25,4,35,5,30,5,35,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,60,30,0,0,100,0,30,30,0,0,0,0,8,0,0,0,0,0,0,5,0,0,8,8
810000109,1,0,1,50,10,25,4,40,5,30,5,40,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,100,30,0,0,100,0,30,30,0,0,0,0,9,0,0,0,0,0,0,5,0,0,9,9
810000110,1,1,1,50,10,25,4,40,5,30,5,40,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,100,30,0,0,100,0,30,30,0,0,0,0,10,0,0,0,0,0,0,5,0,0,10,10
810000111,1,0,1,50,10,25,4,40,5,30,5,40,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,100,30,0,0,100,0,30,30,0,0,0,0,11,0,0,0,0,0,0,5,0,0,11,11
810000112,1,0,1,50,10,25,4,40,5,30,5,40,5,30,0,0,0,0,0,0,0,0,-300,-20,300,20,-500,-250,500,200,10,20,1,30,1,0,-60,100,30,0,0,100,0,30,30,0,0,0,0,12,0,0,0,0,0,0,5,0,0,12,12
