ID,_Attack7_Use_Check,_Attack7_Rect_Check,_Attack7_Rect_Left,_Attack7_Rect_Top,_Attack7_Rect_Right,_Attack7_Rect_Bottom,_Attack7_Target_Require_Type,_Attack7_Target_Require_ID,_Attack7_Target_Require_Value1,_Attack7_Target_Require_Value2,_Attack7_Require_Type,_Attack7_Require_ID,_Attack7_Require_Value1,_Attack7_Require_Value2,_Attack8_Use_Check,_Attack8_Rect_Check,_Attack8_Rect_Left,_Attack8_Rect_Top,_Attack8_Rect_Right,_Attack8_Rect_Bottom,_Attack8_Target_Require_Type,_Attack8_Target_Require_ID,_Attack8_Target_Require_Value1,_Attack8_Target_Require_Value2,_Attack8_Require_Type,_Attack8_Require_ID,_Attack8_Require_Value1,_Attack8_Require_Value2,_Attack9_Use_Check,_Attack9_Rect_Check,_Attack9_Rect_Left,_Attack9_Rect_Top,_Attack9_Rect_Right,_Attack9_Rect_Bottom,_Attack9_Target_Require_Type,_Attack9_Target_Require_ID,_Attack9_Target_Require_Value1,_Attack9_Target_Require_Value2,_Attack9_Require_Type,_Attack9_Require_ID,_Attack9_Require_Value1,_Attack9_Require_Value2,_Attack10_Use_Check,_Attack10_Rect_Check,_Attack10_Rect_Left,_Attack10_Rect_Top,_Attack10_Rect_Right,_Attack10_Rect_Bottom,_Attack10_Target_Require_Type,_Attack10_Target_Require_ID,_Attack10_Target_Require_Value1,_Attack10_Target_Require_Value2,_Attack10_Require_Type,_Attack10_Require_ID,_Attack10_Require_Value1,_Attack10_Require_Value2,_Attack11_Use_Check,_Attack11_Rect_Check,_Attack11_Rect_Left,_Attack11_Rect_Top,_Attack11_Rect_Right,_Attack11_Rect_Bottom,_Attack11_Target_Require_Type,_Attack11_Target_Require_ID,_Attack11_Target_Require_Value1,_Attack11_Target_Require_Value2,_Attack11_Require_Type,_Attack11_Require_ID,_Attack11_Require_Value1,_Attack11_Require_Value2,_AttackDelayMin7,_AttackDelayMax7,_AttackDelayMin8,_AttackDelayMax8,_AttackDelayMin9,_AttackDelayMax9,_AttackDelayMin10,_AttackDelayMax10,_AttackDelayMin11,_AttackDelayMax11,_Attack_Probability7,_Attack_Probability8,_Attack_Probability9,_Attack_Probability10,_Attack_Probability11,_AttackCoolTime7,_AttackCoolTime8,_AttackCoolTime9,_AttackCoolTime10,_AttackCoolTime11
592,1,1,0,-60,330,30,0,0,0,0,1,6,1,137297632,1,1,0,-60,330,30,0,0,0,0,1,6,1,87297632,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,10,20,10,20,0,0,0,0,0,0,100,100,0,0,0,300,50,0,0,0
596,1,1,0,-60,200,30,0,0,0,0,1,6,1,202378579,1,1,0,-60,200,30,0,0,0,0,1,6,1,168648816,1,1,0,-60,300,30,0,0,0,0,1,6,1,148648816,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,10,20,10,20,10,20,0,0,0,0,100,100,100,0,0,150,30,150,0,0
610,1,1,0,-60,330,30,0,0,0,0,1,6,1,148648816,1,1,0,-60,330,30,0,0,0,0,1,6,1,78648816,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,10,20,10,20,0,0,0,0,0,0,100,100,0,0,0,100,30,0,0,0
1033,1,1,0,-150,1000,30,0,0,0,0,0,0,,,1,1,0,-150,1000,30,0,0,0,0,0,0,,,1,1,0,-150,1000,30,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,10,20,10,20,10,20,10,20,0,0,100,100,100,0,0,80,80,80,0,0
1068,1,1,0,-60,420,30,0,0,0,0,0,0,,,1,1,-3000,-3000,3000,300,0,0,0,0,1,6,1,3211530771,1,1,-3000,-3000,3000,300,0,0,0,0,1,6,1,2881530771,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,20,30,20,30,20,30,0,0,0,0,100,100,100,0,0,80,30000,100,0,0
1061,1,1,0,-60,600,30,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,1,1,-2000,-2000,2000,2000,0,0,0,0,0,0,,,1,1,-2000,-2000,2000,2000,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,30,30,0,0,0,0,0,0,0,0,50,50,0,0,0,300,300,0,0,0
1142,1,1,0,-150,300,30,0,0,0,0,0,0,,,1,1,0,-150,300,30,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,30,30,30,30,0,0,0,0,0,0,80,80,0,0,0,30,30,0,0,0
1134,1,1,-2000,-2000,2000,2000,0,0,0,0,1,6,1,6600000000,1,1,-2000,-2000,2000,2000,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,30,30,30,30,0,0,0,0,0,0,80,80,0,0,0,300,300,0,0,0
1200,1,1,-600,-600,600,600,0,0,0,0,0,0,,,1,1,-600,-600,600,600,0,0,0,0,0,0,,,1,1,-600,-600,600,600,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,20,30,20,30,20,30,0,0,0,0,70,70,70,0,0,300,150,80,0,0
