ID,_STAND,_MOVE,_JUMP_UP,_JUMP_FALL,_JUMP_LAND,_RUN,_RUN_STOP,_ROPE_STOP,_ROPE_MOVE_UP,_ROPE_MOVE_DOWN,_LADDER_STOP,_LADDER_MOVE_UP,_LADDER_MOVE_DOWN,_CABLE_STOP,_CABLE_MOVE,_NORMAL_ATTACK01,_NORMAL_ATTACK02,_NORMAL_ATTACK03,_HEAVY_ATTACK01,_HEAVY_ATTACK02,_JUMP_NORMAL_ATTACK,_JUMP_HEAVY_ATTACK,_GUARD,_NORMAL_DAMAGE,_CRITICAL_DAMAGE,_DOWN,_DOWN_STAND,_STUN,_DEATH,_ITEM_GAIN,_ITEM_GAIN_STAND_UP,_SIT_DOWN,_SIT_DOWN_WAIT,_STAND_UP,_SIT_DOWN_CHAIR,_SIT_DOWN_WAIT_CHAIR,_STAND_UP_CHAIR,_GUARD_DAMAGE,_DEATH_STAND,_NORMAL_ATTACK04,_NORMAL_ATTACK05,_NORMAL_ATTACK06,_NORMAL_ATTACK07,_NORMAL_ATTACK08,_NORMAL_ATTACK09,_NORMAL_ATTACK10,_HEAVY_ATTACK03,_HEAVY_ATTACK04,_HEAVY_ATTACK05,_HEAVY_ATTACK06,_HEAVY_ATTACK07,_HEAVY_ATTACK08,_HEAVY_ATTACK09,_HEAVY_ATTACK10,_ENCHANT_PROGRESS,_ENCHANT_SUCCESS,_ENCHANT_FAILURE,_STORE01,_STORE02,_STORE03,_STORE04,_STORE05,_DOUBLE_JUMP_UP,_DOUBLE_JUMP_FALL,_DOUBLE_JUMP_LAND,_NORMAL_DAMAGE02,_NORMAL_DAMAGE03,_NORMAL_DAMAGE04,_NORMAL_DAMAGE05,_SLEEP,LIGHT_ATTACK01,LIGHT_ATTACK02,LIGHT_ATTACK03,LIGHT_ATTACK04,LIGHT_ATTACK05,LIGHT_ATTACK06,LIGHT_ATTACK07,LIGHT_ATTACK08,LIGHT_ATTACK09,LIGHT_ATTACK10,STRONG_ATTACK01,STRONG_ATTACK02,STRONG_ATTACK03,STRONG_ATTACK04,STRONG_ATTACK05,STRONG_ATTACK06,STRONG_ATTACK07,STRONG_ATTACK08,STRONG_ATTACK09,STRONG_ATTACK10,JUMP_LIGHT_ATTACK01,JUMP_STRONG_ATTACK01,FISHING_THROW,FISHING_WAIT,FISHING_STAND,_FREEZE
1,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
2,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
3,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,16176,16191,0,16183,0,16192,16192,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16191,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
10,0,0,0,0,0,15915,505,0,0,0,0,0,0,0,0,16639,16640,16641,16636,16636,16638,16637,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16634,16635,16635,0,0,0,0,0,16634,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
20,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,16533,16534,16571,16535,16536,16537,16538,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16539,16572,0,0,0,0,0,0,16539,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
21,15761,0,0,0,0,15755,505,0,0,0,0,0,0,0,0,16533,16534,16571,16535,16536,16537,16538,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16539,16572,0,0,0,0,0,0,16539,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
22,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,16176,16177,16178,16183,16184,16190,16190,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,16179,16180,16181,16182,0,0,16189,16185,16186,16187,16188,0,0,0,16189,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
30,15808,0,0,0,0,15309,505,0,0,0,0,0,0,0,0,16453,16454,16455,16456,16457,20,21,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16457,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
31,15808,0,0,0,0,15910,505,0,0,0,0,0,0,0,0,16453,16454,16455,16456,16457,20,21,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16457,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
32,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,15,16,17,18,19,20,21,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
40,15759,0,0,0,0,15756,505,0,0,0,0,0,0,0,0,16395,16396,16397,16398,0,27,28,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
50,15810,0,0,0,0,15807,505,0,0,0,0,0,0,0,0,16540,16541,0,16542,0,16543,16544,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
60,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,16871,16872,16873,16879,16880,16890,16891,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,16874,16875,16876,16877,16878,0,16885,16881,16882,16883,16884,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,16886,16886,0,0,0,0,0,0,0,0,16887,16888,16889,17880,17881,0,0,0,0,0,0,0,0,0,0,18221
70,15808,0,0,0,0,15309,505,0,0,0,0,0,0,0,0,16449,16450,16451,16456,16457,48,49,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16457,0,0,0,0,0,0,49,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15872,15873,15874,15875,0,0,0,0,0,0,0,0,0,0,0,18221
71,15808,0,0,0,0,15910,505,0,0,0,0,0,0,0,0,16449,16450,16451,16456,16457,48,49,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16457,0,0,0,0,0,0,45,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15872,15873,15874,15875,0,0,0,0,0,0,0,0,0,0,0,18221
72,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,43,44,45,46,47,48,49,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
80,15760,0,0,0,0,501,505,0,0,0,0,0,0,0,0,16428,16429,16430,16431,0,55,56,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,52,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
90,15761,0,0,0,0,15755,505,0,0,0,0,0,0,0,0,15251,15252,15252,16570,0,16520,16521,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16511,0,0,0,0,0,0,0,16511,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
100,15761,0,0,0,0,15755,505,0,0,0,0,0,0,0,0,16524,16525,16526,16522,16523,16518,16519,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16512,0,0,0,0,0,0,0,16512,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
501,180779,180774,180770,180768,180769,180778,0,180776,180777,180775,180772,180773,180771,180767,180766,0,0,0,0,0,0,0,0,180781,180780,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180781,180781,180781,180781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
502,180699,180694,180690,180688,180689,180698,0,180696,180697,180695,180692,180693,180691,180685,180684,0,0,0,0,0,0,0,0,180687,180686,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180687,180687,180687,180687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
503,180797,180792,180788,180786,180787,180796,0,180794,180795,180793,180790,180791,180789,180783,180782,0,0,0,0,0,0,0,0,180785,180784,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180785,180785,180785,180785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
180,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,15228,15228,15228,15228,15228,27,28,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
190,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,8,9,10,11,12,13,14,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
191,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,8,9,10,11,12,13,14,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
192,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,8,9,10,11,12,13,14,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
200,0,0,0,0,0,501,505,0,0,0,0,0,0,0,0,16509,16510,16510,16570,0,16520,16521,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16511,0,0,0,0,0,0,0,16511,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
210,0,0,0,0,0,73,505,0,0,0,0,0,0,0,0,15248,0,0,15305,0,15306,15307,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
220,15790,0,0,0,0,15757,505,0,0,0,0,0,0,0,0,15265,0,0,15266,0,15267,15268,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15266,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
230,15758,0,0,0,0,501,505,0,0,0,0,0,0,0,0,15290,0,0,15393,0,15394,15239,0,0,0,0,502,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15395,0,0,0,0,0,0,0,0,3165,0,0,1010,1011,1012,1013,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18221
