ID,_STAND,_MOVE,_JUMP_UP,_JUMP_FALL,_JUMP_LAND,_RUN,_RUN_STOP,_ROPE_STOP,_ROPE_MOVE_UP,_ROPE_MOVE_DOWN,_LADDER_STOP,_LADDER_MOVE_UP,_LADDER_MOVE_DOWN,_CABLE_STOP,_CABLE_MOVE,_NORMAL_ATTACK01,_NORMAL_ATTACK02,_NORMAL_ATTACK03,_HEAVY_ATTACK01,_HEAVY_ATTACK02,_JUMP_NORMAL_ATTACK,_JUMP_HEAVY_ATTACK,_GUARD,_NORMAL_DAMAGE,_CRITICAL_DAMAGE,_DOWN,_DOWN_STAND,_STUN,_DEATH,_ITEM_GAIN,_ITEM_GAIN_STAND_UP,_SIT_DOWN,_SIT_DOWN_WAIT,_STAND_UP,_SIT_DOWN_CHAIR,_SIT_DOWN_WAIT_CHAIR,_STAND_UP_CHAIR,_GUARD_DAMAGE,_DEATH_STAND,_NORMAL_ATTACK04,_NORMAL_ATTACK05,_NORMAL_ATTACK06,_NORMAL_ATTACK07,_NORMAL_ATTACK08,_NORMAL_ATTACK09,_NORMAL_ATTACK10,_HEAVY_ATTACK03,_HEAVY_ATTACK04,_HEAVY_ATTACK05,_HEAVY_ATTACK06,_HEAVY_ATTACK07,_HEAVY_ATTACK08,_HEAVY_ATTACK09,_HEAVY_ATTACK10,_ENCHANT_PROGRESS,_ENCHANT_SUCCESS,_ENCHANT_FAILURE,_STORE01,_STORE02,_STORE03,_STORE04,_STORE05,_DOUBLE_JUMP_UP,_DOUBLE_JUMP_FALL,_DOUBLE_JUMP_LAND,_NORMAL_DAMAGE02,_NORMAL_DAMAGE03,_NORMAL_DAMAGE04,_NORMAL_DAMAGE05,_SLEEP,LIGHT_ATTACK01,LIGHT_ATTACK02,LIGHT_ATTACK03,LIGHT_ATTACK04,LIGHT_ATTACK05,LIGHT_ATTACK06,LIGHT_ATTACK07,LIGHT_ATTACK08,LIGHT_ATTACK09,LIGHT_ATTACK10,STRONG_ATTACK01,STRONG_ATTACK02,STRONG_ATTACK03,STRONG_ATTACK04,STRONG_ATTACK05,STRONG_ATTACK06,STRONG_ATTACK07,STRONG_ATTACK08,STRONG_ATTACK09,STRONG_ATTACK10,JUMP_LIGHT_ATTACK01,JUMP_STRONG_ATTACK01,FISHING_THROW,FISHING_WAIT,FISHING_STAND,_FREEZE
1,010_01_01_STAND,010_01_02_MOVE,010_01_03_JUMP_UP,010_01_04_JUMP_FALL,,010_01_06_RUN,010_01_07_RUN_STOP,010_01_08_ROPE_STOP,010_01_09_ROPE_MOVE_UP,010_01_10_ROPE_MOVE_DOWN,010_01_11_LADDER_STOP,010_01_12_LADDER_MOVE_UP,010_01_13_LADDER_MOVE_DOWN,010_01_14_CABLE_STOP,010_01_15_CABLE_MOVE,010_05_01_NORMAL_ATTACK01,010_05_02_NORMAL_ATTACK02,010_05_03_NORMAL_ATTACK03,010_05_04_HEAVY_ATTACK01,010_05_05_HEAVY_ATTACK02,010_05_06_JUMP_NORMAL_ATTACK,010_05_07_JUMP_HEAVY_ATTACK,010_06_01_GUARD,010_07_01_DAMAGE,010_07_02_CRITICAL_DAMAGE,010_07_03_DOWN,010_07_04_DOWN_STAND,021_03_03_STUN,010_08_01_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,010_06_02_GUARD_DAMAGE,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,010_01_01_STAND,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,010_07_01_DAMAGE,010_07_01_DAMAGE,010_07_01_DAMAGE,010_07_01_DAMAGE,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
2,011_01_01_STAND,011_01_02_MOVE,011_01_03_JUMP_UP,011_01_04_JUMP_FALL,,011_01_06_RUN,011_01_07_RUN_STOP,011_01_08_ROPE_STOP,011_01_09_ROPE_MOVE_UP,011_01_10_ROPE_MOVE_DOWN,011_01_11_LADDER_STOP,011_01_12_LADDER_MOVE_UP,011_01_13_LADDER_MOVE_DOWN,011_01_14_CABLE_STOP,011_01_15_CABLE_MOVE,011_05_01_NORMAL_ATTACK01,011_05_02_NORMAL_ATTACK02,011_05_03_NORMAL_ATTACK03,011_05_04_HEAVY_ATTACK01,011_05_05_HEAVY_ATTACK02,011_05_06_JUMP_NORMAL_ATTACK,011_05_07_JUMP_HEAVY_ATTACK,011_06_01_GUARD,011_07_01_DAMAGE,011_07_02_CRITICAL_DAMAGE,011_07_03_DOWN,011_07_04_DOWN_STAND,021_03_03_STUN,011_08_01_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,011_06_02_GUARD_DAMAGE,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,011_01_01_STAND,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,011_07_01_DAMAGE,011_07_01_DAMAGE,011_07_01_DAMAGE,011_07_01_DAMAGE,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
3,562_01_STAND,562_01_MOVE,562_01_JUMP_UP,562_01_JUMP_FALL,,562_01_RUN,562_01_RUN_STOP,021_01_ROPE_STOP,021_01_ROPE_MOVE_UP,021_01_ROPE_MOVE_DOWN,021_01_LADDER_STOP,021_01_LADDER_MOVE_UP,021_01_LADDER_MOVE_DOWN,021_01_CABLE_STOP,021_01_CABLE_MOVE,561_02_ATTACK_A_01,562_02_ATTACK_C_01,562_01_STAND,561_02_ATTACK_B_01,562_01_STAND,562_02_ATTACK_JUMP_A,562_02_ATTACK_JUMP_A,021_03_GUARD,562_03_DAMAGE,562_03_CRITICAL_DAMAGE,562_03_DOWN,562_03_DOWN_STAND,021_03_03_STUN,562_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_GUARD_DAMAGE,562_04_DEATH_STAND,562_01_STAND,562_01_STAND,562_01_STAND,562_01_STAND,562_01_STAND,562_01_STAND,562_02_ATTACK_C_01,562_02_ATTACK_B_03,562_02_ATTACK_B_04,562_02_ATTACK_B_05,562_02_ATTACK_B_06,562_01_STAND,562_01_STAND,562_01_STAND,562_02_ATTACK_C_01,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,562_01_STAND,562_01_STAND,562_01_STAND,562_01_STAND,021_03_03_SLEEP,,,,,,,,,,,,,571_02_ATTACK_B_01_G,571_02_ATTACK_B_02_G,,,,,,,,,,,,021_03_03_FREEZE
10,431_01_STAND,431_01_MOVE,431_01_JUMP_UP,431_01_JUMP_FALL,,431_01_RUN,431_01_RUN_STOP,431_01_ROPE_STOP,431_01_ROPE_MOVE_UP,431_01_ROPE_MOVE_DOWN,431_01_LADDER_STOP,431_01_LADDER_MOVE_UP,431_01_LADDER_MOVE_DOWN,431_01_CABLE_STOP,431_01_CABLE_MOVE,201_02_ATTACK_A_01,201_02_ATTACK_A_02,201_02_ATTACK_A_03,201_02_ATTACK_B_01,201_02_ATTACK_B_01,201_02_ATTACK_JUMP_A,201_02_ATTACK_JUMP_B,431_03_GUARD,431_03_DAMAGE,431_03_CRITICAL_DAMAGE,431_03_DOWN,431_03_DOWN_STAND,021_03_03_STUN,431_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,431_03_GUARD_DAMAGE,431_04_DEATH_STAND,,,,,,,201_02_ATTACK_C_01,201_02_ATTACK_B_02,201_02_ATTACK_B_02,,,,,,201_02_ATTACK_C_01,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,431_01_STAND,431_01_STAND,431_01_STAND,431_01_STAND,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
20,241_01_STAND,241_01_MOVE,241_01_JUMP_UP,241_01_JUMP_FALL,,241_01_RUN,241_01_RUN_STOP,241_01_ROPE_STOP,241_01_ROPE_MOVE_UP,241_01_ROPE_MOVE_DOWN,241_01_LADDER_STOP,241_01_LADDER_MOVE_UP,241_01_LADDER_MOVE_DOWN,241_01_CABLE_STOP,241_01_CABLE_MOVE,241_02_ATTACK_A_01,241_02_ATTACK_A_02,241_02_ATTACK_A_03,241_02_ATTACK_B_01,241_02_ATTACK_B_02,241_02_ATTACK_JUMP_A,241_02_ATTACK_JUMP_B,241_03_GUARD,241_03_DAMAGE,241_03_CRITICAL_DAMAGE,241_03_DOWN,241_03_DOWN_STAND,021_03_03_STUN,241_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,241_03_GUARD_DAMAGE,241_04_DEATH_STAND,,,,,,,241_02_ATTACK_C_01,241_02_ATTACK_B_03,,,,,,,241_02_ATTACK_C_01,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,241_03_DAMAGE,241_03_DAMAGE,241_03_DAMAGE,241_03_DAMAGE,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
21,462_01_STAND,462_01_MOVE,462_01_JUMP_UP,462_01_JUMP_FALL,,462_01_RUN,242_01_RUN_STOP,242_01_ROPE_STOP,242_01_ROPE_MOVE_UP,242_01_ROPE_MOVE_DOWN,242_01_LADDER_STOP,242_01_LADDER_MOVE_UP,242_01_LADDER_MOVE_DOWN,242_01_CABLE_STOP,242_01_CABLE_MOVE,242_02_ATTACK_A_01,242_02_ATTACK_A_02,242_02_ATTACK_A_03,242_02_ATTACK_B_01,242_02_ATTACK_B_02,242_02_ATTACK_JUMP_A,242_02_ATTACK_JUMP_B,242_03_GUARD,242_03_DAMAGE,242_03_CRITICAL_DAMAGE,242_03_DOWN,242_03_DOWN_STAND,021_03_03_STUN,242_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,242_03_GUARD_DAMAGE,242_04_DEATH_STAND,,,,,,,242_02_ATTACK_C_01,242_02_ATTACK_B_03,,,,,,,242_02_ATTACK_C_01,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,242_03_DAMAGE,242_03_DAMAGE,242_03_DAMAGE,242_03_DAMAGE,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
22,561_01_STAND,561_01_MOVE,561_01_JUMP_UP,561_01_JUMP_FALL,,561_01_RUN,561_01_RUN_STOP,021_01_ROPE_STOP,021_01_ROPE_MOVE_UP,021_01_ROPE_MOVE_DOWN,021_01_LADDER_STOP,021_01_LADDER_MOVE_UP,021_01_LADDER_MOVE_DOWN,021_01_CABLE_STOP,021_01_CABLE_MOVE,561_02_ATTACK_A_01,561_02_ATTACK_A_02,561_02_ATTACK_A_03,561_02_ATTACK_B_01,561_02_ATTACK_B_02,561_02_ATTACK_JUMP_A,561_02_ATTACK_JUMP_A,021_03_GUARD,561_03_DAMAGE,561_03_CRITICAL_DAMAGE,561_03_DOWN,561_03_DOWN_STAND,021_03_03_STUN,561_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_GUARD_DAMAGE,561_04_DEATH_STAND,561_02_ATTACK_A_04,561_02_ATTACK_A_05,561_02_ATTACK_A_06,561_02_ATTACK_A_07,561_01_STAND,561_01_STAND,561_02_ATTACK_C_01,561_02_ATTACK_B_03,561_02_ATTACK_B_04,561_02_ATTACK_B_05,561_02_ATTACK_B_06,561_01_STAND,561_01_STAND,561_01_STAND,561_02_ATTACK_C_01,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,561_01_STAND,561_01_STAND,561_01_STAND,561_01_STAND,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
30,421_01_STAND,421_01_MOVE,421_01_JUMP_UP,421_01_JUMP_FALL,,421_01_RUN,421_01_RUN_STOP,421_01_ROPE_STOP,421_01_ROPE_MOVE_UP,421_01_ROPE_MOVE_DOWN,421_01_LADDER_STOP,421_01_LADDER_MOVE_UP,421_01_LADDER_MOVE_DOWN,421_01_CABLE_STOP,421_01_CABLE_MOVE,221_02_ATTACK_A_01,221_02_ATTACK_A_02,221_02_ATTACK_A_03,221_02_ATTACK_B_01,221_02_ATTACK_B_02,221_02_ATTACK_JUMP_A,221_02_ATTACK_JUMP_B,421_03_GUARD,421_03_DAMAGE,421_03_CRITICAL_DAMAGE,421_03_DOWN,421_03_DOWN_STAND,021_03_03_STUN,421_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,421_03_GUARD_DAMAGE,421_04_DEATH_STAND,,,,,,,221_02_ATTACK_C_01,221_02_ATTACK_B_02,,,,,,,221_02_ATTACK_C_01,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,421_01_STAND,421_01_STAND,421_01_STAND,421_01_STAND,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
31,422_01_STAND,422_01_MOVE,422_01_JUMP_UP,422_01_JUMP_FALL,,422_01_RUN,422_01_RUN_STOP,422_01_ROPE_STOP,422_01_ROPE_MOVE_UP,422_01_ROPE_MOVE_DOWN,422_01_LADDER_STOP,422_01_LADDER_MOVE_UP,422_01_LADDER_MOVE_DOWN,422_01_CABLE_STOP,422_01_CABLE_MOVE,222_02_ATTACK_A_01,222_02_ATTACK_A_02,222_02_ATTACK_A_03,222_02_ATTACK_B_01,222_02_ATTACK_B_02,222_02_ATTACK_JUMP_A,222_02_ATTACK_JUMP_B,422_03_GUARD,422_03_DAMAGE,422_03_CRITICAL_DAMAGE,422_03_DOWN,422_03_DOWN_STAND,021_03_03_STUN,422_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,422_03_GUARD_DAMAGE,422_04_DEATH_STAND,,,,,,,222_02_ATTACK_C_01,222_02_ATTACK_B_02,,,,,,,222_02_ATTACK_C_01,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,422_01_STAND,422_01_STAND,422_01_STAND,422_01_STAND,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
32,561_01_STAND,561_01_MOVE,561_01_JUMP_UP,561_01_JUMP_FALL,,561_01_RUN,561_01_RUN_STOP,021_01_ROPE_STOP,021_01_ROPE_MOVE_UP,021_01_ROPE_MOVE_DOWN,021_01_LADDER_STOP,021_01_LADDER_MOVE_UP,021_01_LADDER_MOVE_DOWN,021_01_CABLE_STOP,021_01_CABLE_MOVE,040_05_01_NORMAL_ATTACK01,040_05_02_NORMAL_ATTACK02,040_05_03_NORMAL_ATTACK03,040_05_04_HEAVY_ATTACK01,040_05_05_HEAVY_ATTACK02,040_05_06_JUMP_NORMAL_ATTACK,040_05_07_JUMP_HEAVY_ATTACK,021_03_GUARD,040_07_01_DAMAGE,040_07_02_CRITICAL_DAMAGE,561_03_DOWN,561_03_DOWN_STAND,021_03_03_STUN,561_04_DEATH,021_02_01_ITEM_GAIN,021_02_02_ITEM_GAIN_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_01_SIT_DOWN,021_03_02_SIT_DOWN_WAIT,021_03_03_STAND_UP,021_03_GUARD_DAMAGE,561_04_DEATH_STAND,561_02_ATTACK_A_04,561_02_ATTACK_A_05,561_02_ATTACK_A_06,561_02_ATTACK_A_07,561_01_STAND,561_01_STAND,040_01_01_STAND,040_01_01_STAND,040_01_01_STAND,040_01_01_STAND,040_01_01_STAND,040_01_01_STAND,040_01_01_STAND,040_01_01_STAND,040_01_01_STAND,021_12_01_ENCHANT,021_12_01_ENCHANT_SUCCESS,021_12_01_ENCHANT_FAIL,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE,021_13_01_STORE2,021_13_01_STORE2,,,,040_07_01_DAMAGE,040_07_01_DAMAGE,040_07_01_DAMAGE,040_07_01_DAMAGE,021_03_03_SLEEP,,,,,,,,,,,,,,,,,,,,,,,,,,021_03_03_FREEZE
