ID,_BuyFactor,_ID1,_ID2,_ID3,_ID4,_ID5,_ID6,_ID7,_ID8,_ID9,_ID10,_ID11,_ID12,_ID13,_ID14,_ID15,_ID16,_ID17,_ID18,_ID19,_ID20,_ID21,_ID22,_ID23,_ID24,_ID25,_ID26,_ID27,_ID28,_ID29,_ID30,_ID31,_ID32,_ID33,_ID34,_ID35,_ID36,_ID37,_ID38,_ID39,_ID40,_ID41,_ID42,_ID43,_ID44,_ID45,_ID46,_ID47,_ID48,_ID49,_ID50,CutInImage,Message
9101,20,10010101,10010401,10100101,10100401,10010201,10010501,10100201,10100501,10010301,10010601,10100301,10100601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,[愛思泰]\n 這裡有各種可以成為你旅途中助力的物品喔!
9102,20,29990001,20010001,20020001,60040001,60050001,144002003,144002004,144002005,144002007,29950001,124001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,[愛思泰]\n 這裡有各種可以成為你旅途中助力的物品喔!
9201,20,110010101,110010201,110010301,110010401,110010501,110010601,110010701,110010801,110010901,110011001,110014201,110011101,110011201,110011301,110011401,110011501,110011601,110011701,110011801,110011901,110012001,110013101,110012201,110012301,110012401,110012501,110012601,110012701,110012801,110012901,110013001,110014301,110013201,110013301,110013401,110013501,110013601,110013701,110013801,110013901,110014501,110014401,110012101,110014101,0,0,0,0,0,0,753,[愛思泰]\n 這裡有各種可以成為你旅途中助力的物品喔!
9202,20,110020101,110020201,110020301,110020401,110020501,110020601,110020701,110020801,110020901,110021001,110024301,110021101,110021201,110021301,110021401,110021501,110021601,110021701,110021801,110021901,110022001,110023101,110022601,110022701,110022801,110022901,110023001,110024401,110023201,110023301,110023401,110023501,110023601,110023701,110023801,110023901,110024501,110024601,110022101,110024201,0,0,0,0,0,0,0,0,0,0,753,[愛思泰]\n 這裡有各種可以成為你旅途中助力的物品喔!
9203,20,110030101,110030201,110030301,110030401,110031101,110031201,110031301,110031401,110032101,110034001,110032201,110032301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,[愛思泰]\n 這裡有各種可以成為你旅途中助力的物品喔!
9204,20,144001001,144001002,144001003,144001004,144001011,144001012,144001013,144001014,144001039,144001040,144001021,144001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,[愛思泰]\n 這裡有各種可以成為你旅途中助力的物品喔!
10101,20,30010101,30060101,30013301,30103301,30011401,30051401,30101401,30010401,30060401,30010901,30060901,30020201,30070201,30030701,30080701,30030501,30080501,30030301,30080301,30040601,30090601,30050801,30100801,30100101,30102501,30012901,30052901,30062901,30102901,30014601,30104601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,[凱佩爾]\n 歡迎!我會準備符合你需求的新武器來代替舊有的武器..
10102,20,30010102,30060102,30013302,30103302,30011402,30051402,30101402,30010402,30060402,30010902,30060902,30020202,30070202,30030702,30080702,30030502,30080502,30030302,30080302,30040602,30090602,30050802,30100802,30100102,30102502,30012902,30052902,30062902,30102902,30014602,30104602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,[凱佩爾]\n 歡迎!我會準備符合你需求的新武器來代替舊有的武器..
11101,20,40010601,40090601,40010201,40110201,40010301,40110301,40010401,40100401,40010501,40110501,40010701,40120701,40010101,40100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,[巴特]\n 歡迎光臨 逛逛不買也行喔!當然買的話是更好啦!哇哈哈
11102,20,40010602,40090602,40010202,40110202,40010302,40110302,40010402,40100402,40010502,40110502,40010702,40120702,40010102,40100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,[巴特]\n 歡迎光臨 逛逛不買也行喔!當然買的話是更好啦!哇哈哈
