ID,_ItemID,_ItemRare,_ItemCount,_SellFactor
10010101,170195401,1,1,100
10010110,170195401,1,10,100
10010199,170195401,1,99,100
10010201,170195401,1,1,100
10010210,170195401,1,10,100
10010299,170195401,1,99,100
10010301,170195401,1,1,100
10010310,170195401,1,10,100
10010399,170195401,1,99,100
10100101,170195401,1,1,100
10100110,170195401,1,10,100
10100199,170195401,1,99,100
10100201,170195401,1,1,100
10100210,170195401,1,10,100
10100299,170195401,1,99,100
10100301,170195401,1,1,100
10100310,170195401,1,10,100
10100399,170195401,1,99,100
10200101,170195401,1,1,100
10200110,170195401,1,10,100
10200199,170195401,1,99,100
10200201,170195401,1,1,100
10200210,170195401,1,10,100
10200299,170195401,1,99,100
10200301,170195401,1,1,100
10200310,170195401,1,10,100
10200399,170195401,1,99,100
10300101,170195401,1,1,100
10300110,170195401,1,10,100
10300199,170195401,1,99,100
10300201,170195401,1,1,100
10300210,170195401,1,10,100
10300299,170195401,1,99,100
10300301,170195401,1,1,100
10300310,170195401,1,10,100
10300399,170195401,1,99,100
10400101,170195401,1,1,100
10400110,170195401,1,10,100
10400199,170195401,1,99,100
10400201,170195401,1,1,100
10400210,170195401,1,10,100
10400299,170195401,1,99,100
10400301,170195401,1,1,100
10400310,170195401,1,10,100
10400399,170195401,1,99,100
10500101,170195401,1,1,100
10500110,170195401,1,10,100
10500199,170195401,1,99,100
10500201,170195401,1,1,100
10500210,170195401,1,10,100
10500299,170195401,1,99,100
10500301,170195401,1,1,100
10500310,170195401,1,10,100
10500399,170195401,1,99,100
10600101,170195401,1,1,100
10600110,170195401,1,10,100
10600199,170195401,1,99,100
10600201,170195401,1,1,100
10600210,170195401,1,10,100
10600299,170195401,1,99,100
10600301,170195401,1,1,100
10600310,170195401,1,10,100
10600399,170195401,1,99,100
10700101,170195401,1,1,100
10700110,170195401,1,10,100
10700199,170195401,1,99,100
10700201,170195401,1,1,100
10700210,170195401,1,10,100
10700299,170195401,1,99,100
