ID,_GroupID1,_GroupName1,_GroupID2,_GroupName2,_GroupID3,_GroupName3,_GroupID4,_GroupName4,_GroupID5,_GroupName5,_GroupID6,_GroupName6,_GroupID7,_GroupName7,_GroupID8,_GroupName8,_GroupID9,_GroupName9,_GroupID10,_GroupName10,_GroupID11,_GroupName11,_GroupID12,_GroupName12,_GroupID13,_GroupName13,_GroupID14,_GroupName14,_GroupID15,_GroupName15,_GroupID16,_GroupName16,_GroupID17,_GroupName17,_GroupID18,_GroupName18,_GroupID19,_GroupName19,_GroupID20,_GroupName20
91,9103,交易恢復藥水,9104,交易其他物品,9105,交易任務道具,9106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
92,9205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
101,10101,交易1 ~ 10 Lv 最初級武器,10102,交易1 ~ 10 Lv 初級武器,10103,"交易彈匣,精髓",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
111,11101,交易1 ~ 10 Lv 最初級防具,11102,交易1 ~ 10 Lv 初級防具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
171,17105,交易寵物道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
181,18105,交易寵物道具,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
191,19101,交易貝羅斯傳統飾品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,25103,交易恢復藥水,25104,交易其他物品,25105,交易任務道具,25106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
252,25205,交易拼圖,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
261,26101,交易1~10 Lv 高級武器,26102,交易11~20 Lv 高級武器,26103,交易21~30 Lv 高級武器,26104,交易31~40 Lv 高級武器,26105,交易41~50 Lv 高級武器,26106,交易51~60 Lv 高級武器,26107,交易61~70 Lv 高級武器,26108,交易71~80 Lv 高級武器,26109,交易81~90 Lv 高級武器,26110,交易91~100 Lv 高級武器,26111,交易101~110 Lv 高級武器,26112,交易111~120 Lv 高級武器,26113,交易121~130 Lv 高級武器,26114,交易131~140 Lv 高級武器,26115,交易141~150 Lv 高級武器,26121,"交易彈匣,精髓",0,,0,,0,,0,
271,27101,交易1~10 Lv 高級防具,27102,交易11~20 Lv 高級防具,27103,交易21~30 Lv 高級防具,27104,交易31~40 Lv 高級防具,27105,交易41~50 Lv 高級防具,27106,交易51~60 Lv 高級防具,27107,交易61~70 Lv 高級防具,27108,交易71~80 Lv 高級防具,27109,交易81~90 Lv 高級防具,27110,交易91~100 Lv 高級防具,27111,交易101~110 Lv 高級防具,27112,交易111~120 Lv 高級防具,27113,交易121~130 Lv 高級防具,27114,交易131~140 Lv 高級防具,27115,交易141~150 Lv 高級防具,0,,0,,0,,0,,0,
281,28101,交易艾利亞斯傳統飾品,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
331,33103,交易恢復藥水,33104,交易其他物品,33105,交易任務道具,33106,喊話道具交易,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
