ID,_EventName,_RewardType,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_RequireItem1,_Count1,_RequireItem2,_Count2,_ReueireEly,_ErrMessage,_Item1,_ItemProbability1,_Item2,_ItemProbability2,_Item3,_ItemProbability3,_Item4,_ItemProbability4,_Item5,_ItemProbability5,_Item6,_ItemProbability6,_Item7,_ItemProbability7,_Item8,_ItemProbability8,_Item9,_ItemProbability9,_Item10,_ItemProbability10,_Item11,_ItemProbability11,_Item12,_ItemProbability12,_Item13,_ItemProbability13,_Item14,_ItemProbability14,_Item15,_ItemProbability15,_Item16,_ItemProbability16,_Item17,_ItemProbability17,_Item18,_ItemProbability18,_Item19,_ItemProbability19,_Item20,_ItemProbability20,_Item21,_ItemProbability21,_Item22,_ItemProbability22,_Item23,_ItemProbability23,_Item24,_ItemProbability24,_Item25,_ItemProbability25,_Item26,_ItemProbability26,_Item27,_ItemProbability27,_Item28,_ItemProbability28,_Item29,_ItemProbability29,_Item30,_ItemProbability30,_Item31,_ItemProbability31,_Item32,_ItemProbability32,_Item33,_ItemProbability33,_Item34,_ItemProbability34,_Item35,_ItemProbability35,_Item36,_ItemProbability36,_Item37,_ItemProbability37,_Item38,_ItemProbability38,_Item39,_ItemProbability39,_Item40,_ItemProbability40,_Item41,_ItemProbability41,_Item42,_ItemProbability42,_Item43,_ItemProbability43,_Item44,_ItemProbability44,_Item45,_ItemProbability45,_Item46,_ItemProbability46,_Item47,_ItemProbability47,_Item48,_ItemProbability48,_Item49,_ItemProbability49,_Item50,_ItemProbability50,_RequirePpt
8101,兌換5轉技能書(100%),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10010101,0,10020101,0,10030101,0,10040101,0,10050101,0,10060101,0,10070101,0,10080101,0,10090101,0,10100101,0,10110101,0,10120101,0,10130101,0,10140101,0,10150101,0,10160101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8102,兌換5轉技能書(50%),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10010201,0,10020201,0,10030201,0,10040201,0,10050201,0,10060201,0,10070201,0,10080201,0,10090201,0,10100201,0,10110201,0,10120201,0,10130201,0,10140201,0,10150201,0,10160201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8103,兌換5轉技能書(30%),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10010301,0,10020301,0,10030301,0,10040301,0,10050301,0,10060301,0,10070301,0,10080301,0,10090301,0,10100301,0,10110301,0,10120301,0,10130301,0,10140301,0,10150301,0,10160301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,兌換SS5 硬幣 5個,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,20010101,0,20020101,0,20030101,0,20040101,0,20050101,0,20060101,0,20070101,0,20080101,0,20090101,0,20100101,0,20110101,0,20120101,0,20130101,0,20140101,0,20150101,0,20160101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8105,兌換SS5 硬幣 3個,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,20010201,0,20020201,0,20030201,0,20040201,0,20050201,0,20060201,0,20070201,0,20080201,0,20090201,0,20100201,0,20110201,0,20120201,0,20130201,0,20140201,0,20150201,0,20160201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8106,兌換SS5 硬幣 2個,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,20010301,0,20020301,0,20030301,0,20040301,0,20050301,0,20060301,0,20070301,0,20080301,0,20090301,0,20100301,0,20110301,0,20120301,0,20130301,0,20140301,0,20150301,0,20160301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18101,領養高貴的寵物,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,30010201,0,30010202,0,30010301,0,30010302,0,30010401,0,30010402,0,30010501,0,30010502,0,30010601,0,30010602,0,30010701,0,30010702,0,30010801,0,30010802,0,30010901,0,30010902,0,30011101,0,30011102,0,30011001,0,30011002,0,30011201,0,30011202,0,30011501,0,30011502,0,30011701,0,30011702,0,30011801,0,30011802,0,30011901,0,30011902,0,30012101,0,30012102,0,30012201,0,30012202,0,30012401,0,30012402,0,30012501,0,30012502,0,30012301,0,30012302,0,30012701,0,30012702,0,30012801,0,30012802,0,30012901,0,30012902,0,30013001,0,30013002,0,30013101,0,30013102,0,0
18103,領養害羞的寵物,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,30020201,0,30020202,0,30020301,0,30020302,0,30020401,0,30020402,0,30020501,0,30020502,0,30020601,0,30020602,0,30020701,0,30020702,0,30021101,0,30021102,0,30021001,0,30021002,0,30021201,0,30021202,0,30021401,0,30021402,0,30021301,0,30021302,0,30021501,0,30021502,0,30021701,0,30021702,0,30021801,0,30021802,0,30021901,0,30021902,0,30022101,0,30022102,0,30022201,0,30022202,0,30022401,0,30022402,0,30022501,0,30022502,0,30022301,0,30022302,0,30022701,0,30022702,0,30022801,0,30022802,0,30022901,0,30022902,0,30023001,0,30023002,0,30023101,0,30023102,0,0
18105,領養撒嬌的寵物,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,30030801,0,30030802,0,30030901,0,30030902,0,30031401,0,30031402,0,30031301,0,30031302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18201,製作黃金蛋,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,40010401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
