ID,_CutInImage,_Message,_event1,_event2,_event3,_event4,_event5,_event6,_event7,_event8,_event9,_event10,_event11,_event12,_event13,_event14,_event15,_event16,_event17,_event18,_event19,_event20,_event21,_event22,_event23,_event24,_event25,_event26,_event27,_event28,_event29,_event30,_event31,_event32,_event33,_event34,_event35,_event36,_event37,_event38,_event39,_event40,_event41,_event42,_event43,_event44,_event45,_event46,_event47,_event48,_event49,_event50
81,40,[亞瑟絲] 完成SS5秘技卷軸(120級以上的怪物掉落)的最終任務時，可獲得SS5 硬幣，透過SS5 硬幣可以兌換5轉技能書。,8101,8102,8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,51,[賽蘿] \n 可認養特殊的寵物。,18101,18102,18103,18104,18105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,51,[賽蘿] \n 我擁有可以將醜醜蛋做成黃金蛋的才能。^^,18201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,729,[美琳]\n 改變性別後，我會替你修改衣服的。,19101,19102,19103,19104,19105,19106,19107,19108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,56,[努納佩爾] \n 我正在進行兌換競技場物品的工作。,24121,24101,24201,24202,24203,24204,24112,24113,24114,24115,24116,24117,24118,24119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,60,[亞拉]\n 變更性別後，我會替你修改衣服的。,19101,19102,19103,19104,19105,19106,19107,19108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,63,[兔女郎]\n 你帶來了特殊物品兌換券了啊! ^^*,30107,30108,30109,30110,30106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,63,[兔女郎]\n 感謝你參予了猜謎活動! ^^*,30399,30404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,62,[兔女郎]\n 果然有看物品的眼光啊! ^^*,30396,30395,30392,30394,30385,30382,30383,30370,30301,30302,30303,30304,30305,30306,30311,30312,30316,30318,30319,30320,30323,30324,30325,30326,30327,30328,30330,30331,30329,30336,30341,30342,30343,30354,30347,30378,30379,30380,30381,30372,0,0,0,0,0,0,0,0,0,0
304,63,[兔女郎]\n 果然有看物品的眼光啊! ^^*,30401,30402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
