ID,_CutInImage,_Message,_PortalID1,_PortalID2,_PortalID3,_PortalID4,_PortalID5,_PortalID6,_PortalID7,_PortalID8,_PortalID9,_PortalID10,_PortalID11,_PortalID12,_PortalID13,_PortalID14,_PortalID15,_PortalID16,_PortalID17,_PortalID18,_PortalID19,_PortalID20
141,48,你好，我是拉姆亞∼你要前往哪一個村落呢?,8,1,9,2,3,4,11,12,59,0,0,0,0,0,0,0,0,0,0,0
321,48,你好，我是拉姆亞∼你要前往哪一個村落呢?,8,1,9,2,3,4,11,12,59,0,0,0,0,0,0,0,0,0,0,0
671,48,你好，我是拉姆亞∼你要前往哪一個村落呢?,1,2,3,4,11,12,59,0,0,0,0,0,0,0,0,0,0,0,0,0
861,48,你好，我是拉姆亞∼你要前往哪一個村落呢?,1,2,3,4,11,12,59,0,0,0,0,0,0,0,0,0,0,0,0,0
341,65,如果告訴我你想要前往的地方，那麼我會告訴你必須要搭乘的飛機的。,5,7,40,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,160,請搭乘要前往艾利亞斯機場的飛機。,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,79,你好，這裡是自由市場，你想要進入哪一個房間呢?,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821,48,你好，我是拉姆亞∼你要前往哪一個村落呢?,1,2,3,4,11,12,59,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,48,你好，我是拉姆亞∼你要前往哪一個村落呢?,1,2,3,4,11,12,59,0,0,0,0,0,0,0,0,0,0,0,0,0
107,159,往怪物塔各層移動。,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,51
269,267,馬上就出發∼,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,268,呼…我已經在等你了，唉嘿…。,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,489,你打算要離開利利樂?真是可惜，你會再回來吧?,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,200,請盡快搭乘氣球!,41,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1861,1029,往吉納蒂亞各地區移動。,13,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1862,205,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1863,508,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864,509,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1865,510,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1866,511,往吉納蒂亞各地區移動。,13,14,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
