ID,_CutInImage,_Message
1012,737,您好，我認為顧客的物品比我的性命還要重要，所以就請你安心地交給我吧。
1029,61,沒有其他地方比這裡還要安全的了，我認為這裡才是整個大陸中最棒的物品保管處。
1043,79,你想要保管什麼東西呢?還是想要領取什麼東西呢?
1068,103,歡迎來到龍京。這裡是代替顧客保管物品的保管處。
1085,141,您好- 這裡是奧亦奇物品保管處!請交給我吧。
1119,168,……………………………………物品保管處……………
1130,179,現在在貝斯也可以使用物品保管處了。
1157,197,噹∼這裡是奧利佛的物品保管處。
1192,224,請把物品交給我…(害羞)
1216,236,"我是""克洛斯特""的外派職員。"
1224,312,物品就請交給我吧。
1243,248,這裡是鋼鐵都市的物品保管處。
1277,283,超時空網路!也負責保管物品。
1282,489,有要保管的物品嗎?
21601,319,與神秘之氣一起保管物品
7066,721,要放置物品嗎?因為是冒險者所以才特殊免費讓你寄放-☆
7067,782,能幫的上忙的地方不多… 只能幫你保管物品。
7068,791,要寄放什麼嗎
7151,806,特別為您保管物品的喔
7167,816,這是為了特殊顧客所準備的高級服務!
7195,816,專屬特別顧客的優質服務！
7851,859,這裡是塔爾達洛斯的保管處，你可以放心把東西交給我。
7953,887,??? ??? ??? ??? ????? ???.
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
