ID,_Partner_Name,_Partner_Type,_Partner_Grade,_UpExp,_MoBID,_Mob_Stat,_Apply_Time,_Cool_Time,_Require_Item,_Require_Item_Value,_Penalty_Item,_Penalty_Item_Value,_Skill1,_Skill2,_Skill3,_Skill4,_Skill5,_Skill6,_Skill7,_Training_List
1,卡勒迪安 Lv.1,1,1,2500,810007513,10001,20,100,190145623,1,190145623,40,105,0,0,0,0,0,0,5
2,卡勒迪安 Lv.2,1,2,5000,810007514,10001,20,100,190145623,1,190145623,40,101,105,0,0,0,0,0,5
3,卡勒迪安 Lv.3,1,3,10000,810007515,10001,20,100,190145623,1,190145623,40,101,102,105,0,0,0,0,5
4,卡勒迪安 Lv.4,1,4,0,810007516,10001,20,100,190145623,1,190145623,40,101,102,103,104,105,106,0,5
5,依萊佳 Lv.1,2,1,5000,810007517,10001,20,100,190145623,1,190145623,40,205,0,0,0,0,0,0,5
6,依萊佳 Lv.2,2,2,10000,810007518,10001,20,100,190145623,1,190145623,40,201,205,0,0,0,0,0,5
7,依萊佳 Lv.3,2,3,20000,810007519,10001,20,100,190145623,1,190145623,40,201,202,205,0,0,0,0,5
8,依萊佳 Lv.4,2,4,0,810007520,10001,20,100,190145623,1,190145623,40,201,202,203,204,205,206,0,5
9,星願羽翼 Lv.1,3,1,10000,810007521,10001,20,100,190145623,1,190145623,40,302,0,0,0,0,0,0,5
10,星願羽翼 Lv.2,3,2,20000,810007522,10001,20,100,190145623,1,190145623,40,302,303,304,0,0,0,0,5
11,星願羽翼 Lv.3,3,3,40000,810007523,10001,20,100,190145623,1,190145623,40,302,303,304,305,306,0,0,5
12,星願羽翼 Lv.4,3,4,0,810007524,10001,20,100,190145623,1,190145623,40,301,302,303,304,305,306,0,5
13,貝雅蒂彩 Lv.1,4,1,40000,810007525,10001,20,100,190145623,1,190145623,40,405,0,0,0,0,0,0,5
14,貝雅蒂彩 Lv.2,4,2,80000,810007526,10001,20,100,190145623,1,190145623,40,401,405,0,0,0,0,0,5
15,貝雅蒂彩 Lv.3,4,3,160000,810007527,10001,20,100,190145623,1,190145623,40,401,402,405,0,0,0,0,5
16,貝雅蒂彩 Lv.4,4,4,0,810007528,10001,20,100,190145623,1,190145623,40,401,402,403,404,405,406,407,5
17,富翁耶比 Lv.1,5,1,20000,810007990,10001,20,100,190145623,1,190145623,1,504,0,0,0,0,0,0,5
18,富翁耶比 Lv.2,5,2,40000,810007991,10001,20,100,190145623,1,190145623,1,504,501,0,0,0,0,0,5
19,富翁耶比 Lv.3,5,3,80000,810007992,10001,20,100,190145623,1,190145623,1,504,501,502,0,0,0,0,5
20,富翁耶比 Lv.4,5,4,0,810007993,10001,20,100,190145623,1,190145623,1,504,501,502,503,0,0,0,5
21,悠尼亞 Lv.1,6,1,25000,810008563,10001,20,100,190145623,1,190145623,40,604,0,0,0,0,0,0,5
22,悠尼亞 Lv.2,6,2,50000,810008564,10001,20,100,190145623,1,190145623,40,601,604,0,0,0,0,0,5
23,悠尼亞 Lv.3,6,3,100000,810008565,10001,20,100,190145623,1,190145623,40,601,602,604,605,0,0,0,5
24,悠尼亞 Lv.4,6,4,0,810008566,10001,20,100,190145623,1,190145623,40,601,602,603,604,605,606,0,5
