ID,_Skill_Name,_Description,_UIDescription,_MaxSlv,_SkillType,_Skill_Cooltime,_Skill_Probability,_Skill_Probability_Lv,_Icon,_IconIndex,_StatusType1,_StatusValue1,_StatusValueSlv1,_StatusType2,_StatusValue2,_StatusValueSlv2,_StatusType3,_StatusValue3,_StatusValueSlv3,_StatusType4,_StatusValue4,_StatusValueSlv4,_Effect1,_Effect2,_Effect3,_Effect4,_LEVELUP_ITEM1,_LEVELUP_ITEM_VALUE1,_LEVELUP_ITEM2,_LEVELUP_ITEM_VALUE2
101,閃電衝擊,降下好幾次驚心動魄的閃電使敵人們觸電。,降下好幾次驚心動魄的閃電使敵人們\n觸電。,99,3,150,250,0,10003043,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,1,0,0
102,極限風暴,向前方颳起大風將敵人們吹跑。,向前方颳起大風將敵人們\n吹跑。,99,10,200,200,0,10003043,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
103,岩漿噴發,噴出熾熱的岩漿燃燒敵人。,噴出熾熱的岩漿燃燒敵人。,99,11,250,180,0,10003043,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
104,暗黑龍捲風,颳起黑色龍捲風攻擊敵人。,颳起黑色龍捲風攻擊\n敵人。,99,12,350,150,0,10003043,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,4,0,0
105,龍鱗甲,獲得龍的力量使角色的能力值大幅上升。\n\n※效果※\n所有能力值每等級增加100,獲得龍的力量使角色的能力值大幅上升。,30,0,0,0,0,10003041,123,455,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
106,龍之眼,使一般怪物感到害怕。對一般怪物的支配力增加。\n\n※效果※\n 一般怪物支配力每等級增加0.2%,使一般怪物感到害怕。\n對一般怪物的支配力增加。,30,0,0,0,0,10003041,126,573,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
201,Main,依萊佳主要的技能。向前方射出強烈的光波,依萊佳主要的技能。向前方\n射出強烈的光波,75,3,150,250,0,10003043,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,1,0,0
202,Attack,依萊佳的第一個攻擊技能。利用導彈使前方變成火海。,依萊佳的第一個攻擊技能。利用導彈使前方變成火海。,75,10,200,200,0,10003043,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
203,Remove,為了除去前方所有敵人習成之技能。向前方掃射雷射炮。,為了除去前方所有敵人習成之技能。向前方掃射雷射炮。,75,11,250,180,0,10003043,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,3,0,0
204,Invade,為了預防敵人侵略而習得之技能。使前、後方陷入焦土化。,為了預防敵人侵略而習得之\n技能。 使前、後方陷入焦土化。,75,12,350,150,0,10003043,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,4,0,0
205,機體強化,透過機體強化使角色的能力值增加。\n\n※效果※\n所有能力值每等級增加100,透過機體強化使角色的所有能力值增加。,30,0,0,0,0,10003041,131,455,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
206,弱點分析,仔細分析BOSS型怪物後找出對方的弱點。\n\n※效果※\nBOSS怪支配力每等級增加 0.2%,仔細分析BOSS型怪物後\n找出對方的弱點。,30,0,0,0,0,10003041,119,574,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,190145624,2,0,0
301,瘋狂藥水,強制對角色注入瘋狂藥水。戰鬥力大幅增加。\n\n※效果※\n爆擊率增加50% \n最終爆擊傷害增加20% \n冷卻時間減少30%\n在一定時間內擊退無視\n持續時間: 基本10秒，每等級增加0.2秒,強制對角色注入瘋狂藥水。戰鬥力大幅增加。,50,12,600,100,0,10003043,238,0,0,0,0,0,0,0,0,0,0,0,0,21017141,0,0,0,190145624,5,0,0
