ID,_Training_Name,_Description,_Training_Time,_Training_Exp,_Training_Reward1,_Training_Reward_Stack1,_Training_Reward2,_Training_Reward_Stack2,_Training_P_Reward1,_Training_P_Reward_Stack1,_Training_Probability1,_Training_P_Reward2,_Training_P_Reward_Stack2,_Training_Probability2
1,狩獵 ★,在山林地帶地區與怪物交手。,60,200,190145623,1,0,0,0,0,0,0,0,0
2,狩獵 ★,在冥王神殿地區與怪物交手。,120,400,190145623,1,0,0,0,0,0,0,0,0
3,狩獵 ★,在古木林地區與怪物交手。,180,600,190145623,1,0,0,0,0,0,0,0,0
4,狩獵 ★,在阿爾卡笛亞地區與怪物交手。,240,800,190145623,1,0,0,0,0,0,0,0,0
5,狩獵 ★,在山嶽地帶地區與怪物交手。,300,1000,190145623,2,0,0,0,0,0,0,0,0
6,狩獵 ★,在紅高粱地地區與怪物交手。,360,1200,190145623,2,0,0,0,0,0,0,0,0
7,狩獵 ★,在山林地帶地區與怪物交手。,60,200,190145623,1,0,0,0,0,0,0,0,0
8,狩獵 ★,在冥王神殿地區與怪物交手。,120,400,190145623,1,0,0,0,0,0,0,0,0
9,狩獵 ★,在櫻樹湖畔地區與怪物交手。,60,200,190145623,1,0,0,0,0,0,0,0,0
10,狩獵 ★,在黑月城地區與怪物交手。,120,400,190145623,1,0,0,0,0,0,0,0,0
11,狩獵 ★,在貓頭鷹城地區與怪物交手。,420,1400,190145623,2,0,0,0,0,0,0,0,0
12,狩獵 ★,在金字塔地區與怪物交手。,480,1600,190145623,2,0,0,0,0,0,0,0,0
13,狩獵 ★,在黑暗森林地區與怪物交手。,540,1800,190145623,2,0,0,0,0,0,0,0,0
14,狩獵 ★,在陰森住宅地區與怪物交手。,600,2000,190145623,3,0,0,0,0,0,0,0,0
15,狩獵 ★,在山林地帶地區與怪物交手。,60,200,190145623,1,0,0,0,0,0,0,0,0
16,狩獵 ★,在冥王神殿地區與怪物交手。,120,400,190145623,1,0,0,0,0,0,0,0,0
17,狩獵 ★,在櫻樹湖畔地區與怪物交手。,60,200,190145623,1,0,0,0,0,0,0,0,0
18,狩獵 ★,在黑月城地區與怪物交手。,120,400,190145623,1,0,0,0,0,0,0,0,0
19,狩獵 ★,在沙漠地帶與怪物交手。,1200,3000,190145623,3,0,0,0,0,0,0,0,0
20,狩獵 ★,在雨林地帶地區與怪物交手。,2400,6000,190145623,4,0,0,0,0,0,0,0,0
21,依賴,解決彩虹島大陸的各種委託。,60,60,190145623,1,0,0,190146393,1,40,190145631,1,10
22,依賴,解決彩虹島大陸的各種委託。,120,120,190145623,1,0,0,190146393,1,45,190145631,1,15
23,依賴,解決彩虹島大陸的各種委託。,180,180,190145623,1,0,0,190146393,1,50,190145631,2,20
24,依賴,解決彩虹島大陸的各種委託。,240,240,190145623,1,0,0,190146393,1,55,190145631,2,25
25,依賴,解決彩虹島大陸的各種委託。,300,300,190145623,2,0,0,190146393,2,40,190145632,1,30
26,依賴,解決彩虹島大陸的各種委託。,360,360,190145623,2,0,0,190146393,2,45,190145632,1,35
27,依賴,解決彩虹島大陸的各種委託。,60,60,190145623,1,0,0,190146393,1,40,190145631,1,10
28,依賴,解決彩虹島大陸的各種委託。,120,120,190145623,1,0,0,190146393,1,45,190145631,1,15
29,依賴,解決彩虹島大陸的各種委託。,60,60,190145623,1,0,0,190146393,1,40,190145631,1,10
