ID,_PatternSlot,_Description,_Pattern_Name,_Effect,_Effect_Type,_Option_Min,_Option_Max,_Pattern_Material1,_Pattern_Material2,_Pattern_Material_Count,_Lifetime
1,頭(月亮),技能冷卻時間減少 +%0.1F%% ~ +%0.1F%%,技能冷卻時間減少 +%0.1F%%,1,440,80,80,300199012,300199016,4,720
2,肩膀(月亮),所有能力值 +%d%% ~ +%d%%,所有能力值 +%d%%,1,456,5,5,300199012,300199016,4,720
3,胸部(月亮),最大HP %+d%% ~ %+d%%,最大HP %+d%%,1,31,15,15,300199012,300199016,4,720
4,手腕(月亮),物理/魔法最大傷害 %+d%% ~ %+d%%,物理/魔法最大傷害 %+d%%,1,461,40,40,300199012,300199016,4,720
5,褲子(月亮),經驗值獲得 %+d%% ~ %+d%%,經驗值獲得 %+d%%,1,124,200,200,300199012,300199016,4,720
6,腿(月亮),道具掉落率 %+d%% ~ %+d%%,道具掉落率 %+d%%,1,132,30,30,300199012,300199016,4,720
7,鞋子(月亮),物理/魔法爆擊傷害 %+d%% ~ %+d%%,物理/魔法爆擊傷害 %+d%%,1,464,30,30,300199012,300199016,4,720
8,肩膀(星星),所有能力值 %+d ~ %+d,所有能力值 %+d,1,455,1,1000,300199014,300199019,30,720
9,胸部(星星),最大HP %+d ~ %+d,最大HP %+d,1,30,1,10000,300199014,300199019,30,720
10,手腕(星星),物理/魔法最小傷害  %+d%% ~ %+d%%,物理/魔法最小傷害  %+d%%,1,462,1,40,300199014,300199019,30,720
11,褲子(星星),任務獎勵強化 %+d%% ~ %+d%%,任務獎勵強化 %+d%%,1,488,1,50,300199014,300199019,30,720
12,腿(星星),彩虹幣獲得 %+d%% ~ %+d%%,彩虹幣獲得 %+d%%,1,128,1,80,300199014,300199019,30,720
13,鞋子(星星),物理/魔法固定傷害 %+d ~ %+d,物理/魔法固定傷害 %+d,1,496,1,4000,300199014,300199019,30,720
