ID,_GroupID,_Grade,_Stat_Type,_Option_Min,_Option_Max
1,100101,1,14,1,20
2,100101,2,14,30,50
3,100101,3,14,70,100
4,100101,4,14,200,300
5,100101,5,14,400,800
6,100101,1,26,1,20
7,100101,2,26,30,50
8,100101,3,26,70,100
9,100101,4,26,200,300
10,100101,5,26,400,800
11,100101,1,22,1,20
12,100101,2,22,30,50
13,100101,3,22,70,100
14,100101,4,22,200,300
15,100101,5,22,400,800
16,100101,1,18,1,20
17,100101,2,18,30,50
18,100101,3,18,70,100
19,100101,4,18,200,300
20,100101,5,18,400,800
21,100101,1,124,1,2
22,100101,2,124,3,4
23,100101,3,124,5,7
24,100101,4,124,10,15
25,100101,5,124,20,25
26,100101,1,128,1,2
27,100101,2,128,3,4
28,100101,3,128,5,7
29,100101,4,128,10,15
30,100101,5,128,20,25
31,100101,1,132,1,1
32,100101,2,132,2,2
33,100101,3,132,3,3
34,100101,4,132,4,5
35,100101,5,132,6,10
36,100101,1,106,1,1
37,100101,2,106,2,2
38,100101,3,106,3,3
39,100101,4,106,4,5
40,100101,5,106,6,10
41,100101,1,461,1,1
42,100101,2,461,2,2
43,100101,3,461,3,3
44,100101,4,461,4,5
45,100101,5,461,6,10
46,100101,1,462,1,1
47,100101,2,462,2,2
48,100101,3,462,3,3
49,100101,4,462,4,5
50,100101,5,462,6,10
51,100101,1,464,1,1
52,100101,2,464,2,2
53,100101,3,464,3,3
54,100101,4,464,4,5
55,100101,5,464,6,10
56,100101,1,463,1,1
57,100101,2,463,2,2
58,100101,3,463,3,3
59,100101,4,463,4,5
60,100101,5,463,6,10
61,100101,1,30,1,50
62,100101,2,30,60,100
63,100101,3,30,150,300
64,100101,4,30,500,1000
65,100101,5,30,1500,3000
66,100101,1,216,1,30
67,100101,2,216,40,70
68,100101,3,216,100,200
69,100101,4,216,300,500
70,100101,5,216,500,1000
71,100101,1,458,1,30
72,100101,2,458,40,70
73,100101,3,458,100,200
74,100101,4,458,300,500
75,100101,5,458,500,1000
76,100101,1,496,1,20
77,100101,2,496,30,50
78,100101,3,496,70,100
79,100101,4,496,200,300
80,100101,5,496,400,800
81,100101,5,465,1,1
82,100101,1,492,1,1
83,100101,2,492,2,2
84,100101,3,492,3,3
85,100101,4,492,4,5
86,100101,5,492,6,10
87,100101,1,38,1,1
88,100101,2,38,2,2
89,100101,3,38,3,3
90,100101,4,38,4,5
91,100101,5,38,6,10
92,100101,1,455,1,16
93,100101,2,455,24,40
94,100101,3,455,56,80
95,100101,4,455,160,240
96,100101,5,455,320,640
97,100101,5,15,1,1
98,100101,5,27,1,1
99,100101,5,23,1,1
100,100101,5,19,1,1
101,100101,5,456,1,1
102,100101,5,493,1,1
103,100101,5,39,1,1
104,100101,5,217,2,2
105,100101,5,31,2,2
106,100101,5,573,1,1
107,100101,5,574,1,1
108,100101,6,14,1000,2000
109,100101,6,26,1000,2000
110,100101,6,22,1000,2000
111,100101,6,18,1000,2000
112,100101,6,124,30,50
113,100101,6,128,30,50
114,100101,6,132,12,20
115,100101,6,106,12,20
116,100101,6,461,12,20
117,100101,6,462,12,20
118,100101,6,464,12,20
119,100101,6,463,12,20
120,100101,6,30,4000,6000
121,100101,6,216,1200,2000
122,100101,6,458,1200,2000
123,100101,6,496,1000,2000
124,100101,6,465,2,2
125,100101,6,455,800,1600
126,100101,6,492,12,20
127,100101,6,38,12,20
128,100101,6,15,2,3
129,100101,6,27,2,3
130,100101,6,23,2,3
131,100101,6,19,2,3
132,100101,6,456,2,3
133,100101,6,493,2,3
134,100101,6,39,2,3
135,100101,6,217,3,5
136,100101,6,31,3,5
137,100101,6,573,2,5
138,100101,6,574,2,5
139,200101,4,14,200,300
140,200101,4,26,200,300
141,200101,4,22,200,300
142,200101,4,18,200,300
143,200101,4,124,10,15
144,200101,4,128,10,15
145,200101,4,132,4,5
146,200101,4,106,4,5
147,200101,4,461,4,5
148,200101,4,462,4,5
149,200101,4,464,4,5
150,200101,4,463,4,5
151,200101,4,30,500,1000
152,200101,4,216,300,500
153,200101,4,458,300,500
154,200101,4,496,200,300
155,200101,4,492,4,5
156,200101,4,38,4,5
157,200101,4,455,160,240
158,200101,5,14,400,800
159,200101,5,26,400,800
160,200101,5,22,400,800
161,200101,5,18,400,800
162,200101,5,124,20,25
163,200101,5,128,20,25
164,200101,5,132,6,10
165,200101,5,106,6,10
166,200101,5,461,6,10
167,200101,5,462,6,10
168,200101,5,464,6,10
169,200101,5,463,6,10
170,200101,5,30,1500,3000
171,200101,5,216,500,1000
172,200101,5,458,500,1000
173,200101,5,496,400,800
174,200101,5,465,1,1
175,200101,5,492,6,10
176,200101,5,38,6,10
177,200101,5,455,320,640
178,200101,5,15,1,1
179,200101,5,27,1,1
180,200101,5,23,1,1
181,200101,5,19,1,1
182,200101,5,456,1,1
183,200101,5,493,1,1
184,200101,5,39,1,1
185,200101,5,217,2,2
186,200101,5,31,2,2
187,200101,5,573,1,1
188,200101,5,574,1,1
189,200101,6,14,1000,2000
190,200101,6,26,1000,2000
191,200101,6,22,1000,2000
192,200101,6,18,1000,2000
193,200101,6,124,30,50
194,200101,6,128,30,50
195,200101,6,132,12,20
196,200101,6,106,12,20
197,200101,6,461,12,20
198,200101,6,462,12,20
199,200101,6,464,12,20
200,200101,6,463,12,20
201,200101,6,30,4000,6000
202,200101,6,216,1200,2000
203,200101,6,458,1200,2000
204,200101,6,496,1000,2000
205,200101,6,465,2,2
206,200101,6,455,800,1600
207,200101,6,492,12,20
208,200101,6,38,12,20
209,200101,6,15,2,3
210,200101,6,27,2,3
211,200101,6,23,2,3
212,200101,6,19,2,3
213,200101,6,456,2,3
214,200101,6,493,2,3
215,200101,6,39,2,3
216,200101,6,217,3,5
217,200101,6,31,3,5
218,200101,6,573,2,5
219,200101,6,574,2,5
220,300101,4,461,5,5
221,300102,5,461,10,10
222,300103,6,461,20,20
223,300104,4,462,5,5
224,300105,5,462,10,10
225,300106,6,462,20,20
226,300107,4,455,240,240
227,300108,5,455,640,640
228,300109,6,455,1600,1600
