ID,_Name,_PassiveSkill_Type,_Priority,_Description,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_EffectType
700104020,A?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104021,?? A?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104120,B?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104121,?? B?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104220,AB?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104221,?? AB?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104320,O?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104321,?? O?,1,1,爆擊率 A %+d%%,465,2,0,0,1
700105720,??? ???,1,1,爆擊率 A %+d%%,465,2,0,0,1
700105729,裝模作樣的馬戲團小丑 [永久],1,1,爆擊率 A %+d%%,465,2,0,0,1
700105730,有氣質的馬戲團小丑 [永久],1,1,爆擊率 A %+d%%,465,2,0,0,1
700105721,?? ??? ???,1,1,爆擊率 A %+d%%,465,2,0,0,1
700104028,A? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700104328,O? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700104128,B? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700104228,AB? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700105728,??? ??? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700105734,?? ??? ??? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700104234,?? AB? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700104034,?? A? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700104134,?? B? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700104334,?? O? [???],1,1,爆擊率 A %+d%%,465,2,0,0,1
700107326,??,1,2,爆擊率 A %+d%%,465,4,0,0,0
700107302,??? ??? ?? (15?),1,2,爆擊率 A %+d%%,465,4,0,0,0
700107303,?? [???],1,2,爆擊率 A %+d%%,465,4,0,0,0
700102420,??? [???],2,1,爆擊傷害 A %+d%%,464,22,0,0,0
700102421,?? ??? [???],2,1,爆擊傷害 A %+d%%,464,22,0,0,0
700101120,??,2,2,爆擊傷害 A %+d%%,464,35,0,0,0
700101121,?? ??,2,2,爆擊傷害 A %+d%%,464,35,0,0,0
700102320,????,2,2,爆擊傷害 A %+d%%,464,35,0,0,0
700102321,?? ????,2,2,爆擊傷害 A %+d%%,464,35,0,0,0
700102326,??? ??? ???? (15?),2,2,爆擊傷害 A %+d%%,464,35,0,0,0
700102327,??? ??? ???? (30?),2,2,爆擊傷害 A %+d%%,464,35,0,0,0
700103820,???,2,3,爆擊傷害 A %+d%%,464,40,0,0,0
700103821,?? ???,2,3,爆擊傷害 A %+d%%,464,40,0,0,0
700103826,??? ??? ???,2,3,爆擊傷害 A %+d%%,464,40,0,0,0
700103827,??? ??? ??? (15?),2,3,爆擊傷害 A %+d%%,464,40,0,0,0
700103828,???? ???,2,3,爆擊傷害 A %+d%%,464,40,0,0,0
700103831,??? [???],2,3,爆擊傷害 A %+d%%,464,40,0,0,0
700103832,?? ??? [???],2,3,爆擊傷害 A %+d%%,464,40,0,0,0
700106701,???,2,4,爆擊傷害 A %+d%%,464,60,0,0,0
700106702,??? ??? ??? (15?),2,4,爆擊傷害 A %+d%%,464,60,0,0,0
700106703,??? [???],2,4,爆擊傷害 A %+d%%,464,60,0,0,0
700106704,??? ??? ??? (30?),2,4,爆擊傷害 A %+d%%,464,60,0,0,0
700103020,???,3,1,爆擊傷害 B %+d%%,464,38,0,0,0
700103021,?? ???,3,1,爆擊傷害 B %+d%%,464,38,0,0,0
700103026,??? ??? ???,3,1,爆擊傷害 B %+d%%,464,38,0,0,0
700103027,??? ??? ??? (15?),3,1,爆擊傷害 B %+d%%,464,38,0,0,0
700103032,??? ??? ??? (12??),3,1,爆擊傷害 B %+d%%,464,38,0,0,0
