ID,_Name,_PassiveSkill_Type,_PositionIndex,_Guidebook_ID
1,爆擊率 A,1,1,100
2,爆擊傷害 A,2,2,101
3,爆擊傷害 B,3,3,102
4,爆擊傷害 C,4,4,103
5,最大傷害 A,5,5,104
6,最大傷害 B,6,6,105
7,最大傷害 C,7,7,106
8,最小傷害 A,8,8,107
9,最小傷害 B,9,9,108
10,最小傷害 C,10,10,109
11,最小/最大傷害 A,11,11,110
12,最小/最大傷害 B,12,12,111
13,武器攻擊力/屬性力 A,13,13,112
14,武器攻擊力/屬性力 B,14,14,113
15,武器攻擊力/屬性力(%) A,15,15,114
16,武器攻擊力/屬性力(%) B,16,16,115
17,一般怪物支配力 A,19,19,118
18,BOSS怪物支配力 A,20,20,119
19,一般/BOSS怪物支配力 A,21,21,120
20,能力值 A,22,22,121
21,能力值 B,23,23,122
22,能力值(%) A,24,24,123
23,能力值(%) B,25,25,124
24,能力值(%) C,26,26,125
25,能力值/能力值(%) A,27,27,126
26,能力值(%)/HP(%) A,28,28,127
27,固定傷害 A,29,29,128
28,固定傷害(%) A,30,30,129
29,冷卻時間減少 A,31,31,130
30,貫穿力 A,32,32,131
31,迴避率 A,33,33,132
32,命中率 A,34,34,133
33,HP(%) A,35,35,134
34,防禦力 A,36,36,135
35,經驗值 A,37,37,136
36,經驗值 B,38,38,137
37,任務獎勵 A,39,39,138
38,經驗值/任務獎勵 A,40,40,139
39,彩虹幣獲得/道具掉落率 A,41,41,140
40,彩虹幣獲得/道具掉落率 B,42,42,141
41,超人點數 A,44,44,143
42,移動速度 A,45,45,144
43,移動速度 B,46,46,145
44,最終最大傷害 A,47,47,150
