ID,_ItemID,_Name,_Talk1,_Talk2,_Talk3,_Talk4,_Talk5
1,700100220,????(Lv.20),,升.級！,好好打一場！,你打算每天遊手好閒嗎？,我的靈魂在燃燒！
2,700100221,?? ????(Lv.20),,升.級！,好好打一場！,你打算每天遊手好閒嗎？,我的靈魂在燃燒！
3,700100320,?????(Lv.20),,您會讓我升級吧？,加油，主人！,呵~啊~,喜歡你……主人……
4,700100321,?? ?????(Lv.20),,您會讓我升級吧？,主人！請加油！,龍龍很無聊。能跟我玩嗎-,主人……我喜歡你……
5,700100420,????(Lv.20),,總有一天……會給我升級吧……,跟我玩嘛……Kumat Kumat,今天也……明天也,白白嫩嫩- 小嫩嫩~
6,700100421,?? ????(Lv.20),,一朵朵- 白色雪花-?,跟我玩嘛-,今天也……明天也,熱乎乎的~好溫暖~
7,700100520,????(Lv.20),,請給我升級~,主人，我們要一起走！,幸運會與您同在~,不小心打瞌睡了。
8,700100521,?? ????(Lv.20),,嗨喲，請幫我升級！,啵噠啦噠~啵噠啦啦~,"嗨喲, 嗨喲, 嗨喲.",Boooo-------
9,700100620,???(Lv.20),,該升級了~汪~,Kung！ Kung！,啊噢噢噢- 勝利的歌聲~,汪汪~
10,700100621,?? ???,,升級汪！,(磨磨),Qurrr……,主人，等等我！
11,700100720,??(Lv.20),,升級喵。,Mon↖Momo↗ ^_^,NyaaaAaAAao~?,咯咯笑-
12,700100721,?? ??,,升級喵~,Nyan?,喵喵，喜歡您~,我喜歡主人~
13,700100820,???(Lv.20),,嗨喲，該升級了！,主人，加油！,噗咻-呼咻，知道這是模仿什麼嗎？,我們要乘風破浪~
14,700100821,?? ???,,Curk！升級！,主人，讓我來幫你！,嗡嗡- 這是模仿蜂鳥~,前往陌生的島嶼~
15,700100920,???(Lv.20),,您可以提升我的等級。,我會伴您左右。,Here We Go！,一起出發吧，主人！
16,700100921,?? ???,,請幫我升級。拜託了！,主人，我會跟您同行。,Pum-puku-,"Yes, my lord."
