ID,_Description,_Result,_Main_Item,_Material,_Type
1,傘じ蛤喻 憲(Lv.2),190194901,700100202,190195001,1
2,傘じ蛤喻 憲(Lv.3),190194902,700100203,190195001,1
3,傘じ蛤喻 憲(Lv.4),190194903,700100204,190195001,1
4,嬴晦 傘じ蛤喻(Lv.5),190194904,700100205,190195001,1
5,嬴晦 傘じ蛤喻(Lv.6),190194905,700100206,190195001,1
6,嬴晦 傘じ蛤喻(Lv.7),190194906,700100207,190195001,1
7,嬴晦 傘じ蛤喻(Lv.8),190194907,700100208,190195001,1
8,嬴晦 傘じ蛤喻(Lv.9),190194908,700100209,190195001,1
9,傘じ蛤喻(Lv.10),190194909,700100210,190195001,1
10,傘じ蛤喻(Lv.11),190194910,700100211,190195001,1
11,傘じ蛤喻(Lv.12),190194911,700100212,190195001,1
12,傘じ蛤喻(Lv.13),190194912,700100213,190195001,1
13,傘じ蛤喻(Lv.14),190194913,700100214,190195001,1
14,傘じ蛤喻(Lv.15),190194914,700100215,190195001,1
15,傘じ蛤喻(Lv.16),190194915,700100216,190195001,1
16,傘じ蛤喻(Lv.17),190194916,700100217,190195001,1
17,傘じ蛤喻(Lv.18),190194917,700100218,190195001,1
18,傘じ蛤喻(Lv.19),190194918,700100219,190195001,1
19,傘じ蛤喻(Lv.20),190194919,700100220,190195001,1
20,窒葆 傘じ蛤喻,190194919,700100221,190195001,1
21,む橫葬蛤喻 憲(Lv.2),190194901,700100302,190195001,1
22,む橫葬蛤喻 憲(Lv.3),190194902,700100303,190195001,1
23,む橫葬蛤喻 憲(Lv.4),190194903,700100304,190195001,1
24,嬴晦 む橫葬蛤喻(Lv.5),190194904,700100305,190195001,1
25,嬴晦 む橫葬蛤喻(Lv.6),190194905,700100306,190195001,1
26,嬴晦 む橫葬蛤喻(Lv.7),190194906,700100307,190195001,1
27,嬴晦 む橫葬蛤喻(Lv.8),190194907,700100308,190195001,1
28,嬴晦 む橫葬蛤喻(Lv.9),190194908,700100309,190195001,1
29,む橫葬蛤喻(Lv.10),190194909,700100310,190195001,1
30,む橫葬蛤喻(Lv.11),190194910,700100311,190195001,1
31,む橫葬蛤喻(Lv.12),190194911,700100312,190195001,1
32,む橫葬蛤喻(Lv.13),190194912,700100313,190195001,1
33,む橫葬蛤喻(Lv.14),190194913,700100314,190195001,1
34,む橫葬蛤喻(Lv.15),190194914,700100315,190195001,1
35,む橫葬蛤喻(Lv.16),190194915,700100316,190195001,1
36,む橫葬蛤喻(Lv.17),190194916,700100317,190195001,1
37,む橫葬蛤喻(Lv.18),190194917,700100318,190195001,1
38,む橫葬蛤喻(Lv.19),190194918,700100319,190195001,1
39,む橫葬蛤喻(Lv.20),190194919,700100320,190195001,1
40,窒葆 む橫葬蛤喻,190194919,700100321,190195001,1
41,換歎檜執 憲(Lv.2),190194901,700100402,190195001,1
42,換歎檜執 憲(Lv.3),190194902,700100403,190195001,1
43,換歎檜執 憲(Lv.4),190194903,700100404,190195001,1
44,嬴晦 換歎檜執(Lv.5),190194904,700100405,190195001,1
