ID,_Name,_DestinationID,_StageID,_MapGroupID,_MapID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_RequireItem,_ReueireEly,_Fx,_Delay,_ErrMessage,_Req_Waypoint,_Description,_Icon,_IconIndex
1,貝羅斯都市,999001,2,0,1,0,0,0,0,0,0,0,0,0,250,0,0,彩虹幣不足。,0,,0,0
2,艾利亞斯都市,999002,6,0,1,0,0,0,0,0,0,0,0,0,400,0,0,彩虹幣不足。,0,,0,0
3,龍京都市,999003,19,0,0,0,0,0,0,0,0,0,0,0,700,0,0,彩虹幣不足。,0,,0,0
4,奧亦奇都市,999004,20,0,1,0,0,0,0,0,0,0,0,0,1900,0,0,彩虹幣不足。,0,,0,0
5,大蘋果之城,999016,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
6,艾利亞斯都市,999020,89,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
7,結婚會場,1220001,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
8,貝羅斯都市 (1~20Lv),999001,2,0,1,1,365,1,20,0,0,0,0,0,0,0,0,唯有1~ 20級的角色可以使用。,0,,0,0
9,艾利亞斯都市 (1~20Lv),999002,6,0,1,1,365,1,20,0,0,0,0,0,0,0,0,唯有1~ 20級的角色可以使用。,0,,0,0
10,自由市場,6017,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
11,阿法都市,999005,17,0,1,0,0,0,0,0,0,0,0,0,5250,0,0,彩虹幣不足。,0,,0,0
12,貝斯都市,999006,37,0,0,0,0,0,0,0,0,0,0,0,14350,0,0,彩虹幣不足。,0,,0,0
13,水上庭園 - 治癒房間 (Lv. 85),330106,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
14,地上庭園 - 治癒房間 (Lv. 95),330107,162,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
15,中央地區 - 聖騎士的領域,330108,162,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
16,地上庭園廢墟,330110,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
17,10層休息室,960011,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
18,20層休息室,970011,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
19,30層休息室,985011,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
20,40層休息室,990011,89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
21,50層休息室,1000011,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
22,60層休息室,1010011,89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
23,70層休息室,1020011,89,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
24,80層休息室,1030011,89,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
25,90層休息室,1040011,89,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
