ID,_Page,_Text,_Help,_Cutin
1,1,"[愛麗絲] 在天堂和地獄都不能容身,被遺棄的人啊…",,1
2,1,[愛麗絲] 我的旅行、我的冒險都是為了這一瞬間!稱為魔王的你…為了人類的幸福，拼了性命我要將你打敗!,,1
3,1,,按下[Z鍵]執行弱攻擊。,0
4,1,[愛麗絲]?!,,1
5,1,[穆亞] 愛麗絲!快閃!,,4
6,1,,按兩下[右方向鍵 → ]跑向右側。,0
7,1,,按兩下[左方向鍵 ← ]跑向左側。,0
8,1,[愛麗絲] 不管如何也得找破綻進行反擊…,,1
9,1,,按下[X鍵]執行強攻擊。,0
10,1,[愛麗絲] 不行啊?為什麼呀?,,1
11,1,[魔王] ……你的身體已經支離破碎，你的意志已渙散，是不可能抵擋住的。,,3
12,1,,按下[下方向鍵 ↓ ]防禦敵方攻擊。,0
13,1,[愛麗絲] 分，分明防禦了的…這衝擊到底是….,,1
14,1,[魔王] 你那一點點微弱的力量進行防禦能成功的話…我也不會有[魔王]的稱號了，嘎嘎。,,3
15,1,[雷比] 要不要緊?<比斯特>的攻擊有忽略魔法防禦的力量，千萬小心啊!,,5
16,1,,按下[CTRL鍵]站起來。,1
17,1,[愛麗絲] 能勉強動彈…,,1
18,1,[魔王] 沒有用的!最好放棄吧!,,3
19,1,[穆亞] 愛麗絲!!!,,4
20,1,[卡茲諾] 愛麗絲，普通的攻擊不能打擊敵人，快改變攻擊方式!,,2
21,1,[卡茲諾] 想想你天生的本源力量…經過旅行感悟到的戰鬥絕技!一定要成功啊!,,2
22,1,[愛麗絲] 啊!莫恩…卡茲諾…來這之前從夥伴和敵人身上學到的…對!就是，那個!謝謝你們!,,1
23,1,,按下[空白鍵]使用技能。,1
24,1,[愛麗絲] 哈啊哈啊哈啊哈啊…,,1
25,1,[魔王] 啊!………，這力量是?難道是那小子的…!,,3
26,1,[愛麗絲] 受死吧!用這一擊，你也完了!,,1
27,1,[魔王] …愚蠢… 可是…  為什麼… … …,,3
28,1,,按下畫面的[下翻]按鍵。,0
29,0,,,0
30,0,,,0
31,0,,,0
32,0,,,0
33,0,,,0
34,0,,,0
35,0,,,0
36,0,,,0
37,0,,,0
38,0,,,0
39,0,,,0
