ID,_Class,_Icon_File,_Result_Left,_Result_Top,_Result_Right,_Result_Bottom,_Gauge_Left,_Gauge_Top,_Gauge_Right,_Gauge_Bottom,_Result_Char_File,_Result_Char_Left,_Result_Char_Top,_Result_Char_Right,_Result_Char_Bottom,_Regist_Char_File,_Regist_Char_Left,_Regist_Char_Top,_Regist_Char_Right,_Regist_Char_Bottom,_Loading_Char_File,_Loading_Char_Left,_Loading_Char_Top,_Loading_Char_Right,_Loading_Char_Bottom
1,24,PVP_Icon01.png,0,0,63,63,0,468,0,544,PVP_RESU_Class01.png,0,0,225,362,PVP_REQ_Class01.png,0,0,333,512,PVP_Lodaing_Class01.png,0,0,196,399
2,25,PVP_Icon01.png,63,0,126,63,75,468,75,544,PVP_RESU_Class01.png,225,0,450,362,PVP_REQ_Class01.png,333,0,666,512,PVP_Lodaing_Class01.png,196,0,392,399
3,26,PVP_Icon01.png,126,0,189,63,150,468,150,544,PVP_RESU_Class01.png,450,0,675,362,PVP_REQ_Class01.png,666,0,999,512,PVP_Lodaing_Class01.png,392,0,588,399
4,27,PVP_Icon01.png,189,0,252,63,225,468,225,544,PVP_RESU_Class01.png,675,0,900,362,PVP_REQ_Class01.png,0,512,333,1024,PVP_Lodaing_Class01.png,588,0,784,399
5,28,PVP_Icon01.png,252,0,315,63,300,468,375,544,PVP_RESU_Class01.png,0,362,225,724,PVP_REQ_Class01.png,333,512,666,1024,PVP_Lodaing_Class01.png,784,0,980,399
6,29,PVP_Icon01.png,315,0,378,63,375,468,450,544,PVP_RESU_Class01.png,225,362,450,724,PVP_REQ_Class01.png,666,512,999,1024,PVP_Lodaing_Class01.png,0,399,196,798
7,30,PVP_Icon01.png,378,0,441,63,450,468,450,544,PVP_RESU_Class01.png,450,362,675,724,PVP_REQ_Class02.png,0,0,333,512,PVP_Lodaing_Class01.png,196,399,392,798
8,31,PVP_Icon01.png,441,0,594,63,525,468,525,544,PVP_RESU_Class01.png,675,362,900,724,PVP_REQ_Class02.png,333,0,666,512,PVP_Lodaing_Class01.png,392,399,588,798
9,32,PVP_Icon01.png,504,0,567,63,600,468,600,544,PVP_RESU_Class02.png,0,0,225,362,PVP_REQ_Class02.png,666,0,999,512,PVP_Lodaing_Class01.png,588,399,784,798
10,69,PVP_Icon01.png,567,0,630,63,675,468,675,544,PVP_RESU_Class02.png,225,0,450,362,PVP_REQ_Class02.png,0,512,333,1024,PVP_Lodaing_Class01.png,784,399,980,798
11,36,PVP_Icon01.png,630,0,693,63,750,468,750,544,PVP_RESU_Class02.png,450,0,675,362,PVP_REQ_Class02.png,333,512,666,1024,PVP_Lodaing_Class02.png,0,0,196,399
12,37,PVP_Icon01.png,693,0,756,63,825,468,825,544,PVP_RESU_Class02.png,675,0,900,362,PVP_REQ_Class02.png,666,512,999,1024,PVP_Lodaing_Class02.png,196,0,392,399
13,38,PVP_Icon01.png,756,0,819,63,900,468,900,544,PVP_RESU_Class02.png,0,362,225,724,PVP_REQ_Class03.png,0,0,333,512,PVP_Lodaing_Class02.png,392,0,588,399
14,39,PVP_Icon01.png,819,0,882,63,0,544,0,620,PVP_RESU_Class02.png,225,362,450,724,PVP_REQ_Class03.png,333,0,666,512,PVP_Lodaing_Class02.png,588,0,784,399
15,40,PVP_Icon01.png,882,0,945,63,75,544,75,620,PVP_RESU_Class02.png,450,362,675,724,PVP_REQ_Class03.png,666,0,999,512,PVP_Lodaing_Class02.png,784,0,980,399
16,41,PVP_Icon01.png,945,0,1008,63,150,544,150,620,PVP_RESU_Class02.png,675,362,900,724,PVP_REQ_Class03.png,0,512,333,1024,PVP_Lodaing_Class02.png,0,399,196,798
17,42,PVP_Icon01.png,0,63,63,126,225,544,225,620,PVP_RESU_Class03.png,0,0,225,362,PVP_REQ_Class03.png,333,512,666,1024,PVP_Lodaing_Class02.png,196,399,392,798
18,43,PVP_Icon01.png,63,63,126,126,300,544,300,620,PVP_RESU_Class03.png,225,0,450,362,PVP_REQ_Class03.png,666,512,999,1024,PVP_Lodaing_Class02.png,392,399,588,798
19,44,PVP_Icon01.png,126,63,189,126,375,544,375,620,PVP_RESU_Class03.png,450,0,675,362,PVP_REQ_Class04.png,0,0,333,512,PVP_Lodaing_Class02.png,588,399,784,798
20,45,PVP_Icon01.png,189,63,252,126,450,544,450,620,PVP_RESU_Class03.png,675,0,900,362,PVP_REQ_Class04.png,333,0,666,512,PVP_Lodaing_Class02.png,784,399,980,798
21,49,PVP_Icon01.png,252,63,315,126,525,544,525,620,PVP_RESU_Class03.png,0,362,225,724,PVP_REQ_Class04.png,666,0,999,512,PVP_Lodaing_Class03.png,0,0,196,399
22,52,PVP_Icon01.png,315,63,378,126,600,544,600,620,PVP_RESU_Class03.png,225,362,450,724,PVP_REQ_Class04.png,0,512,333,1024,PVP_Lodaing_Class03.png,196,0,392,399
23,56,PVP_Icon01.png,378,63,441,126,675,544,675,620,PVP_RESU_Class03.png,450,362,675,724,PVP_REQ_Class04.png,333,512,666,1024,PVP_Lodaing_Class03.png,392,0,588,399
24,60,PVP_Icon01.png,441,63,594,126,750,544,750,620,PVP_RESU_Class03.png,675,362,900,724,PVP_REQ_Class04.png,666,512,999,1024,PVP_Lodaing_Class03.png,588,0,784,399
25,64,PVP_Icon01.png,504,63,567,126,825,544,825,620,PVP_RESU_Class04.png,0,0,225,362,PVP_REQ_Class05.png,0,0,333,512,PVP_Lodaing_Class03.png,784,0,980,399
26,68,PVP_Icon01.png,567,63,630,126,900,544,900,620,PVP_RESU_Class04.png,225,0,450,362,PVP_REQ_Class05.png,333,0,666,512,PVP_Lodaing_Class03.png,0,399,196,798
27,73,PVP_Icon01.png,630,63,693,126,0,620,75,696,PVP_RESU_Class04.png,450,0,675,362,PVP_REQ_Class05.png,666,0,999,512,PVP_Lodaing_Class03.png,196,399,392,798
