ID,_Ind_Map_Type,_Ind_Mapin_Stage,_Ind_Mapin_Group,_Ind_Mapin_X1,_Ind_Mapin_Y1,_Ind_Mapin_X2,_Ind_Mapin_Y2,_Ind_Mapin_X3,_Ind_Mapin_Y3,_Ind_Mapin_X4,_Ind_Mapin_Y4,_Ind_Mapin_X5,_Ind_Mapin_Y5,_Ind_Mapin_X6,_Ind_Mapin_Y6,_Ind_Mapin_X7,_Ind_Mapin_Y7,_Ind_Mapin_X8,_Ind_Mapin_Y8,_Ind_String,_Pvp_Result_Num,_Pvp_Effect_Time,_Ind_Destroy_Time,_Ind_stay_X1,_Ind_stay_Y1
1,2,425,0,200,1055,200,1055,200,1055,200,1055,1300,1055,1300,1055,1300,1055,1300,1055,???,300,30,330,0,0
2,2,426,0,200,1375,200,1375,200,1375,200,1375,1500,1375,1500,1375,1500,1375,1500,1375,???,300,30,330,0,0
3,2,427,0,200,1775,200,1775,200,1775,200,1775,1700,1775,1700,1775,1700,1775,1700,1775,???,300,30,330,0,0
4,3,425,0,200,1055,300,1055,400,1055,500,1055,1000,1055,1100,1055,1200,1055,1300,1055,???,300,30,330,0,0
5,3,426,0,200,1375,300,1375,400,1375,500,1375,1200,1375,1300,1375,1400,1375,1500,1375,???,300,30,330,0,0
6,3,427,0,200,1775,300,1775,400,1775,500,1775,1400,1775,1500,1775,1600,1775,1700,1775,???,300,30,330,0,0
7,3,428,0,325,1055,425,1055,350,1375,450,1375,1500,1375,1600,1375,1450,1055,1550,1055,???,300,30,330,871,1439
8,3,429,0,200,1375,300,1375,400,1375,500,1375,1300,1375,1400,1375,1500,1375,1600,1375,???,300,30,330,871,1439
9,3,430,0,250,751,400,751,250,1391,400,1391,1300,751,1450,751,1300,1391,1400,1391,???,300,30,330,871,1439
10,1,425,0,200,1055,200,1055,200,1055,200,1055,1300,1055,1300,1055,1300,1055,1300,1055,???,300,30,330,0,0
11,1,426,0,200,1375,200,1375,200,1375,200,1375,1500,1375,1500,1375,1500,1375,1500,1375,???,300,30,330,0,0
12,1,427,0,200,1775,200,1775,200,1775,200,1775,1700,1775,1700,1775,1700,1775,1700,1775,???,300,30,330,0,0
13,4,425,0,200,1055,200,1055,200,1055,200,1055,1300,1055,1300,1055,1300,1055,1300,1055,???,300,30,330,0,0
14,4,426,0,200,1375,200,1375,200,1375,200,1375,1500,1375,1500,1375,1500,1375,1500,1375,???,300,30,330,0,0
15,4,427,0,200,1775,200,1775,200,1775,200,1775,1700,1775,1700,1775,1700,1775,1700,1775,???,300,30,330,0,0
16,5,425,0,200,1055,300,1055,400,1055,500,1055,1000,1055,1100,1055,1200,1055,1300,1055,???,300,30,330,0,0
17,5,426,0,200,1375,300,1375,400,1375,500,1375,1200,1375,1300,1375,1400,1375,1500,1375,???,300,30,330,0,0
18,5,427,0,200,1775,300,1775,400,1775,500,1775,1400,1775,1500,1775,1600,1775,1700,1775,???,300,30,330,0,0
19,5,428,0,325,1055,425,1055,350,1375,450,1375,1500,1375,1600,1375,1450,1055,1550,1055,???,300,30,330,871,1439
20,5,429,0,200,1375,300,1375,400,1375,500,1375,1300,1375,1400,1375,1500,1375,1600,1375,???,300,30,330,871,1439
21,5,430,0,250,751,400,751,250,1391,400,1391,1300,751,1450,751,1300,1391,1400,1391,???,300,30,330,871,1439
