ID,_ActiveType,_RequireStat1,_RequireStatValue1,_RequireStat2,_RequireStatValue2,_ConsumptionStat1,_ConsumptionStatValue1,_ConsumptionStat2,_ConsumptionStatValue2,_ConditionCheckTime,_Buff_Check,_Speed_Delay,_Speed_X,_Speed_Time,_Speed_Y,_TargetType,_TargetMaxCount,_Effect_Delay1,_Effect_Self1,_Effect_Target1,_Effect_Delay2,_Effect_Self2,_Effect_Target2,_Effect_Delay3,_Effect_Self3,_Effect_Target3,_Effect_Delay4,_Effect_Self4,_Effect_Target4,_Effect_Delay5,_Effect_Self5,_Effect_Target5,_Effect_Delay6,_Effect_Self6,_Effect_Target6,_Loop_Effect_Start_Delay1,_Loop_Effect_Delay1,_Loop_Effect_Self1,_Loop_Effect_Target1,_Loop_Effect_Finish_Time1,_Loop_Effect_Start_Delay2,_Loop_Effect_Delay2,_Loop_Effect_Self2,_Loop_Effect_Target2,_Loop_Effect_Finish_Time2
764303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,4,21020508,0,12,0,71500020,14,0,71500020,16,0,71500020,18,0,71500020,0,0,0,5,1,0,71500020,13,0,0,0,0,0
672003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,4,21020570,71500020,8,21020570,71500020,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,71500020,12,0,0,0,0,0
848303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,71500010,22,0,0,0,0,0
5002703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,71500020,36
5002203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21010702,0,0,2,0,21010703,0
128303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,5,0,71500100,15,0,71500100,25,0,71500100,35,0,71500100,45,0,71500100,0,0,0,0,2,0,21010702,0,0,2,0,21010703,0
128403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,5,0,71500100,5,0,71500100,25,0,71500100,35,0,71500100,41,0,71500100,41,0,21010722,0,2,0,21010702,0,0,2,0,21010703,0
217603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,2,0,71500130,4,0,71500130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,7,0,71500090,8,0,71500090,9,0,71500090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,3,0,71500125,6,0,71500070,9,0,71500070,12,0,71500070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
