ID,_Pvp_Type,_Pvp_Num,_Pvp_1st,_Pvp_2nd,_Pvp_3rd,_Pvp_4th,_Pvp_5th,_Pvp_6th,_Pvp_7th,_Pvp_8th
1,2,1,0,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0,0,0
4,2,4,0,0,0,0,0,0,0,0
5,2,5,0,0,0,0,0,0,0,0
6,2,6,0,0,0,0,0,0,0,0
7,2,7,0,0,0,0,0,0,0,0
8,2,8,0,0,0,0,0,0,0,0
9,3,1,80,0,0,0,0,0,0,0
10,3,2,100,50,0,0,0,0,0,0
11,3,3,160,80,60,0,0,0,0,0
12,3,4,200,100,80,60,0,0,0,0
13,3,5,240,120,100,80,60,0,0,0
14,3,6,300,150,130,120,100,80,0,0
15,3,7,350,175,155,135,115,95,75,0
16,3,8,440,220,200,180,160,140,120,100
17,4,1,80,0,0,0,0,0,0,0
18,4,2,100,50,0,0,0,0,0,0
19,4,3,160,80,60,0,0,0,0,0
20,4,4,200,100,80,60,0,0,0,0
21,4,5,240,120,100,80,60,0,0,0
22,4,6,300,150,130,120,100,80,0,0
23,4,7,350,175,155,135,115,95,75,0
24,4,8,440,220,200,180,160,140,120,100
25,5,1,120,0,0,0,0,0,0,0
26,5,2,150,75,0,0,0,0,0,0
27,5,3,240,120,0,0,0,0,0,0
28,5,4,300,150,0,0,0,0,0,0
29,5,5,360,130,0,0,0,0,0,0
30,5,6,450,225,0,0,0,0,0,0
31,5,7,525,252,0,0,0,0,0,0
32,5,8,660,330,0,0,0,0,0,0
