ID,_Rank_Type,_Rank_Point,_Rank_Tier,_Rank_String,_Grade_Point
1,1,99,1,青銅 V,87
2,1,199,2,青銅 IV,50
3,1,299,3,青銅 III,50
4,1,399,4,青銅 II,50
5,1,499,5,青銅 I,50
6,1,599,6,白銀 V,40
7,1,699,7,白銀 IV,40
8,1,799,8,白銀 III,40
9,1,899,9,白銀 II,40
10,1,999,10,白銀 I,40
11,1,1099,11,黃金 V,20
12,1,1199,12,黃金 IV,20
13,1,1299,13,黃金 III,20
14,1,1399,14,黃金 II,20
15,1,1499,15,黃金 I,20
16,1,1699,16,鉑金 V,10
17,1,1899,17,鉑金 IV,10
18,1,2099,18,鉑金 III,10
19,1,2299,19,鉑金 II,10
20,1,2499,20,鉑金 I,10
21,1,2699,21,鑽石 V,5
22,1,2899,22,鑽石 IV,5
23,1,3099,23,鑽石 III,5
24,1,3299,24,鑽石 II,5
25,1,3499,25,鑽石 I,5
26,1,3699,26,大師 V,0
27,1,3899,27,大師 IV,0
28,1,4099,28,大師 III,0
29,1,4299,29,大師 II,0
30,1,90000,30,大師 I,0
31,2,99,1,青銅 V,87
32,2,199,2,青銅 IV,50
33,2,299,3,青銅 III,50
34,2,399,4,青銅 II,50
35,2,499,5,青銅 I,50
36,2,599,6,白銀 V,40
37,2,699,7,白銀 IV,40
38,2,799,8,白銀 III,40
39,2,899,9,白銀 II,40
40,2,999,10,白銀 I,40
41,2,1099,11,黃金 V,20
42,2,1199,12,黃金 IV,20
43,2,1299,13,黃金 III,20
44,2,1399,14,黃金 II,20
45,2,1499,15,黃金 I,20
46,2,1699,16,鉑金 V,10
47,2,1899,17,鉑金 IV,10
48,2,2099,18,鉑金 III,10
49,2,2299,19,鉑金 II,10
50,2,2499,20,鉑金 I,10
51,2,2699,21,鑽石 V,5
52,2,2899,22,鑽石 IV,5
53,2,3099,23,鑽石 III,5
54,2,3299,24,鑽石 II,5
55,2,3499,25,鑽石 I,5
56,2,3699,26,大師 V,0
57,2,3899,27,大師 IV,0
58,2,4099,28,大師 III,0
59,2,4299,29,大師 II,0
60,2,90000,30,大師 I,0
