ID,_Pvp_Type,_Class,_Mhp,_Msp,_Ele_Card,_Light_Card,_Dark_Card,_Mana_Card,_Restrain,_Vitality,_Arp,_Speed_X,_Revision1,_Option_Type1,_OptionID1,_OptionValue1,_Revision2,_OptionType2,_OptionID2,_OptionValue2
1,1,24,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
2,1,25,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
3,1,26,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
4,1,27,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
5,1,28,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
6,1,29,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
7,1,30,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
8,1,31,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
9,1,32,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
10,1,36,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
11,1,37,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
12,1,38,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
13,1,39,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
14,1,40,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
15,1,41,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
16,1,42,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
17,1,43,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
18,1,44,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
19,1,45,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
20,1,49,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
21,1,52,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
22,1,56,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
23,1,60,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
24,1,64,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
25,1,68,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
26,1,69,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
27,1,73,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
28,2,24,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
29,2,25,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
30,2,26,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
31,2,27,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
32,2,28,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
33,2,29,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
34,2,30,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
35,2,31,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
36,2,32,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
37,2,36,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
38,2,37,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
39,2,38,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
40,2,39,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
41,2,40,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
42,2,41,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
43,2,42,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
44,2,43,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
45,2,44,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
46,2,45,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
47,2,49,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
48,2,52,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
49,2,56,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
50,2,60,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
51,2,64,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
52,2,68,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
53,2,69,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
54,2,73,10000,10000,200,200,200,200,3000,3000,0,500,0,0,0,0,30,2,73000120,0
