ID,_Name,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Visible,_Acquisition_EffectID1,_Acquisition_EffectID2,_Acquisition_EffectID3,_Acquisition_EffectID4,_Acquisition_EffectID5,_Acquisition_ItemID1,_Acquisition_StackCount1,_Acquisition_Rare1,_Acquisition_ItemID2,_Acquisition_StackCount2,_Acquisition_Rare2,_Mission_Type1,_Mission_ID1,_Mission_Count1,_Mission_Type2,_Mission_ID2,_Mission_Count2,_Mission_Type3,_Mission_ID3,_Mission_Count3,_Mission_Type4,_Mission_ID4,_Mission_Count4,_Complete_NPCID,_Consumption_ItemID1,_Consumption_ItemCount1,_Consumption_ItemID2,_Consumption_ItemCount2,_Consumption_ItemID3,_Consumption_ItemCount3,_Consumption_ItemID4,_Consumption_ItemCount4,_Consumption_ItemID5,_Consumption_ItemCount5,_Rank1_Require1_Type,_Rank1_Require1_ID,_Rank1_Require1_Value1,_Rank1_Require1_Value2,_Rank1_Require2_Type,_Rank1_Require2_ID,_Rank1_Require2_Value1,_Rank1_Require2_Value2,_Rank2_Require1_Type,_Rank2_Require1_ID,_Rank2_Require1_Value1,_Rank2_Require1_Value2,_Rank2_Require2_Type,_Rank2_Require2_ID,_Rank2_Require2_Value1,_Rank2_Require2_Value2,_Rank3_Require1_Type,_Rank3_Require1_ID,_Rank3_Require1_Value1,_Rank3_Require1_Value2,_Rank3_Require2_Type,_Rank3_Require2_ID,_Rank3_Require2_Value1,_Rank3_Require2_Value2,_Rank1_Type,_Rank1_ID1,_Rank1_Probability1,_Rank1_ID2,_Rank1_Probability2,_Rank1_ID3,_Rank1_Probability3,_Rank2_Type,_Rank2_ID1,_Rank2_Probability1,_Rank2_ID2,_Rank2_Probability2,_Rank2_ID3,_Rank2_Probability3,_Rank3_Type,_Rank3_ID1,_Rank3_Probability1,_Rank3_ID2,_Rank3_Probability2,_Rank3_ID3,_Rank3_Probability3,_Icon1,_IconIndex1,_Place_Info1,_NPC_Info1,_Icon2,_IconIndex2,_Place_Info2,_NPC_Info2,_Talk1,_Talk2,_Purpose,_Accept_Message,_Accept_Image,_Complete_Message,_Complete_Image,_City_Name,_Mission_OnOff1,_Mission_OnOff2,_Mission_OnOff3,_Mission_OnOff4,_Quest_AcceptType,_Quest_BaseLV,_Quest_CompletionDel,_Quest_Kind,_Quest_Type
111000001,衛濛-僭勒掘殮,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,4,2,111000001,1,1,0,0,0,0,0,0,0,1,0,0,1,3,170100101,1,0,0,0,0,0,0,0,0,0,7,170100101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,82,漣煎蝶 葆擊,溯萄,10005000,82,漣煎蝶 葆擊,溯萄,螃螃! 晦蟾瞳檣 �こ藝� 葆耀 斜渠朝 釭曖 模選詭檜お! ж雖虜 嬴霜 瞳擬ж晦朝 詩歷棻!,聽おи 紫掘薄曖 嘐蝶 縑蝶蘿 縑啪 盪晝 羹溘擒 1偃蒂 啃! п螃雖 彊啊朝陛?,漣煎蝶 葆擊 縑 氈朝 '縑蝶蘿' 縑啪 <盪晝 羹溘擒> 1偃蒂 掘殮ж堅 給嬴諦撿 м棲棻.,熱溼濰擊 葆耀 斜渠塭賊 縣葬朝 碟貲 陛雖堅 氈擊纔棲 橫憮 啃! п 螃啪釭!,0,謠嬴! 模選詭檜お! 檜勒 頂 葆擠曖 摹僭檜撿~,0,1,1,1,1,1,3,2,0,,0
111000002,衛濛-ががи 寞橫掘,4,1,111000001,1,1,3,2,0,0,0,0,0,0,0,0,0,4,2,111000002,1,1,0,0,0,0,0,0,0,1,0,0,1,3,10310101,1,0,0,0,0,0,0,0,0,0,7,10310101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,82,漣煎蝶 葆擊,溯萄,10005000,82,漣煎蝶 葆擊,溯萄,謠嬴! 僭勒擊 髦 熱 氈擊 薑紫塭賊 橫替薑紫 檜 塭纔橾 撮鼻縑 瞳擬 и 蛭 爾檜朝等’ 謠嬴! 斜溢棻賊 覬 渦 ж萄и お溯檜棚擊 衛濛 п 獐梱?,跨蝶攪諦曖 瞪癱縑憮 髦嬴 陴戲溥賊 鼠歙爾棻 ががи 寞橫掘陛 氈橫撿 ж雖. 寞橫掘 鼻檣 嫦お縑啪 陛避つ鎬蒂 陛螳諦 爾朝勒 橫陽?,漣煎蝶 葆擊 縑 氈朝 '嫦お' 縑啪 <陛避つ鎬> 1偃蒂 掘殮ж堅 給嬴諦撿 м棲棻.,譆ж晝 寞橫掘 薹擊 爾賊 氈擊纔棲 澀 掘п 螃塭掘~,0,螃褡! 謠嬴! 檜廓縛 覬 渦 か滌и 摹僭擊 輿啊橫!,0,1,1,1,1,1,3,2,0,,0
111000003,薯渠煎 脹 �こ�,4,1,111000002,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000003,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,漣煎蝶 葆擊,嬴撮蝶,10005000,82,漣煎蝶 葆擊,溯萄,葆檜 模選詭檜お! 檜薯 釭曖 �こ藝� 檜匙戲煎 謙猿 ж啊橫.,檜薯 薑蜓 褒瞪婁 偽擎 �こ藝� 嬴撮蝶陛 紫諦還疏撿. 嬴撮蝶縑啪 陛爾塭堅!,漣煎蝶 葆擊 縑 氈朝 '嬴撮蝶' 諦 渠�倆媥� м棲棻.,觼�暪�! 辨濠朝 換僭擊 �篣挨� 彊朝徹! 澀陛塭 瞪辦罹~!,0,戲��? 溯萄陛 爾麻棻掘蹂?,0,1,1,1,1,1,3,3,0,,0
111000004,籀擠 虜釭朝 跨蝶攪,4,1,111000003,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000004,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1801,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000004,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,漣煎蝶 葆擊,嬴撮蝶,10005000,2,漣煎蝶 葆擊,嬴撮蝶,謠嬴蹂. 溯萄陛 晦獄瞳檣 匙菟擊 陛腦藥 輿歷擊纔棲 盪朝 瞪癱諦 婦溼脹 雖衝菟擊 陛腦藥 萄葬轄.,薯 螃艇薹縑 爾檜朝 ん驍擎 塭纔橾 撮鼻縑憮 陛濰 擒и 蹴 縑 樓ж朝 晦獄瞳檣 跨蝶攪菟檜 氈港棲棻. 斜 跨蝶攪曖 儅梯擊 婦雞ж堅 螃衛啊橫蹂?,"'嬴撮蝶'曖 螃艇薹縑 氈朝 ん驍擊 檜辨ж罹 ""骯葡雖渠"" 雖羲擊 鬚яж堅 給嬴諦撿 м棲棻.",啖辦 跨蝶攪陛 氈朝雖 �挫恉� 爾朝 橾檣等 撲葆 ん晦ж朝勒 嬴棲啊轄?,0,薑蜓 掘唳虜 ц釭蹂? �敻羯 爾晦爾棻 з蝗棟溘檜 饕錯 ж衛捱蹂?,0,1,0,0,0,0,3,3,0,,0
111000005,瞪癱曖 衛濛,4,1,111000004,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000005,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000101,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000005,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,漣煎蝶 葆擊,嬴撮蝶,10005000,2,漣煎蝶 葆擊,嬴撮蝶,謠蝗棲棻. 棻擠 欽啗煎 剩橫陛轄. 賅я陛椒 眷憮 骯葡雖渠縑憮 �挫恉� 跨蝶攪曖 檜葷擎 Щ葬葭 檜塭堅 п蹂.,薑蜓 蟾爾 賅я陛 碟菟檜 瞪癱 寞衝擊 寡辦晦 詞 謠擎 跨蝶攪轄. 橫陽蹂? Щ葬葭擊 褻旎 鼻渠п 爾衛啊橫蹂?,骯葡雖渠 雖羲縑 氈朝 [Щ葬葭] 4葆葬蒂 籀纂п撿 м棲棻.,觼啪 睡鼻擊 殮霞 彊啊雖虜 斜楚紫 褻褕п憮 釭雒勒 橈啊轄?,0,橫陽蹂? 褻旎 雖纂樟釭蹂? ����.,0,1,1,1,1,1,3,3,0,,0
111000006,綠ぎ綠ぎ 綠ぎG,4,1,111000005,1,1,3,3,0,0,0,0,0,0,0,0,0,4,2,111000006,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000104,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000006,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,漣煎蝶 葆擊,嬴撮蝶,10005000,2,漣煎蝶 葆擊,嬴撮蝶,謠嬴蹂. 檜廓縑朝 褻旎 渦 �こ� 鬼紫蒂 堪罹 獐梱蹂? �公� Щ葬葭擊 鼻渠 ж衛賊憮 綠ぎG 塭朝 跨蝶攪蒂 爾樟釭蹂?,賅я陛椒 籀歲 檜薯 虞 Щ葬葭擊 籀纂 и 碟菟檜 棻擠 欽啗煎 鳴朝 跨蝶攪轄.,骯葡雖渠 雖羲縑 氈朝 [綠ぎG] 4葆葬蒂 籀纂п撿 м棲棻.,檜廓縑紫 澀 п頂衛葬塭 圖橫蹂.,0,檜薯 濠褐馬檜 號檜 稱擎 賅蝗檜捱蹂. �К〥媬�!,0,1,1,1,1,1,3,3,0,,0
111000007,嬴檜蠱擊 掘п螃濠!,4,1,111000006,1,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000007,1,1,0,0,0,0,0,0,0,1,0,0,1,3,190100101,4,0,0,0,0,0,0,0,0,0,8,190100101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000007,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,漣煎蝶 葆擊,嬴撮蝶,10005000,2,漣煎蝶 葆擊,嬴撮蝶,檜薯 跨蝶攪蒂 籀纂ж朝 寞徹擎 諫漁ж啪 櫛�鷜霾� ж捱蹂. 斜歲 褻旎 渦 橫溥遴 橾擊 п 獐梱蹂? �饑吘,Щ葬葭擊 籀纂 ж衛賊 瓚僎纂 塭朝 嬴檜蠱擊 �僱� ж褒 熱 氈擊 疏蕨蹂. 斜 瓚僎纂蒂 薯啪 陛螳棻 輿褒 熱 氈釭蹂?,骯葡雖渠 雖羲縑 氈朝 [Щ葬葭] 縑啪 <瓚僎纂> 4偃蒂 掘п諦撿 м棲棻.,跨蝶攪蒂 籀纂ж朝 橾 爾棻朝 褻旎 橫滑啊雖虜 澀 п頂葬塭 圖橫蹂.,0,謠嬴蹂! 薑蜓 薯 晦渠蒂 諫漁�� 虜褶 衛麵 輿衛朝捱蹂.,0,1,1,1,1,1,3,4,0,,0
111000008,и廓 渦 嬴檜蠱!,4,1,111000007,1,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000008,1,1,0,0,0,0,0,0,0,1,0,0,1,3,190100202,4,0,0,0,0,0,0,0,0,0,8,190100202,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000008,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,2,漣煎蝶 葆擊,嬴撮蝶,10005000,2,漣煎蝶 葆擊,嬴撮蝶,Щ葬葭縑啪 嬴檜蠱擊 掘п 螃樟棻賊 檜薯 綠ぎG 縑啪 嬴檜蠱擊 掘п 爾衛朝勒 橫陽蹂?,褻旎 渦 鬼и 跨蝶攪塭憮 橫滑棻堅 儅陝 腎衛釭蹂? �饑吘 賅я陛椒曖 棟溘擊 圖堅 и廓 紫瞪п 爾撮蹂.,骯葡雖渠 雖羲縑 氈朝 [綠ぎG] 縑啪 <癱貲и 陳偃> 4偃蒂 掘п諦撿 м棲棻.,盪朝 賅я陛椒曖 棟溘擊 圖橫 曖褕纂 彊嬴蹂.,0,羲衛’ 薑蜓 諫漁п蹂!,0,1,1,1,1,1,3,4,0,,0
111000009,煎и曖 睡葷,4,1,111000008,1,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000009,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000009,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,7,漣煎蝶 葆擊,煎и,10005000,2,漣煎蝶 葆擊,嬴撮蝶,賅я陛椒 眷憮 檜夠縑憮 獄問瞳檣 熱溼擊 ж衛晦 瞪縑 橾欽 漣煎蝶曖 濰煎椒 檜褐 煎и椒擊 試盪 瓊嬴 瞄朝勒 橫陽蹂?,煎и椒擎 Ё睡и 雖衝檜 氈戲褐 碟檜棲 賅я陛椒眷 碟貲 贖 紫遺擊 輿褒疏蕨蹂.,漣煎蝶 葆擊 縑 氈朝 '煎и' 婁 渠�倆媥� м棲棻.,煎и椒擎 漣煎蝶 葆擊 醞懈縑 啗衛棲 蔣啪 瓊戲褒 熱 氈擊疏蕨蹂.,0,�鮕 濠啻陛 蹂闈 嬴撮蝶陛 蜓 ж湍 瞬擎 賅я陛檣陛?,0,1,1,1,1,1,3,4,0,,0
111000010,敝�素� 綠戮,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,4,2,111000010,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111000010,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005000,3,漣煎蝶 葆擊,煎и,10005000,3,漣煎蝶 葆擊,煎и,"戲�鮕 斜楛等 濠啻 爾嬴ж棲 敝�素� 綠戮 擊 餌辨п 獄 瞳檜 橈朝 匙 偽掘虜. 檜楛 檜楛~ 敝�素� 綠戮擎 в萄鼻縑 爾檜朝 戮鱉婁 渦碳橫, 瞪撲曖 賅я濠 '檜葬蝶 葬綠縑腦'曖 葆溘檜 梓菟橫 氈棻堅 瞪п霞棻啻.","艙鼻擊 爾賊 濠褐曖 嬪纂蒂 晦橘衛鑒 熱 氈堅, 賅я醞縑 噙楝螳紫 斜 嬪纂煎 給嬴螃啪 脹棻啻. 濠, и廓 晦橘擊 盪濰п 爾啪釭.",漣煎蝶 葆擊 縑 氈朝 '敝�素� 綠戮' 縑 晦橘擊 盪濰ж堅 '煎и'縑啪 給嬴螞棻.,"濠, 橫憮 晦橘擊 盪濰衛麵 爾啪釭.",0,жжж~ 橫雯陛? 紮釭 ら葬и 僭勒檜雖 彊擎陛?,0,1,0,0,0,0,3,4,0,,0
