ID,_Description,_ItemID1,_ItemProbability1,_ItemID2,_ItemProbability2,_ItemID3,_ItemProbability3,_ItemID4,_ItemProbability4,_ItemID5,_ItemProbability5,_ItemID6,_ItemProbability6,_ItemID7,_ItemProbability7,_ItemID8,_ItemProbability8
810000101,???,190100101,1000000,190100102,1000000,190100103,1000000,190142201,1000000,0,0,0,0,0,0,0,0
810000104,??G,190100201,700000,190100202,1000000,190100203,500000,190142207,1000000,0,0,0,0,0,0,0,0
810000109,??,190100301,1000000,190100302,1000000,190142212,1000000,0,0,0,0,0,0,0,0,0,0
810000111,??,190100401,1000000,190100402,500000,190142211,1000000,0,0,0,0,0,0,0,0,0,0
810000242,????,190112701,1000000,190112702,1000000,190142203,1000000,0,0,0,0,0,0,0,0,0,0
810000112,??,190103501,1000000,190103502,1000000,190142215,1000000,0,0,0,0,0,0,0,0,0,0
810000233,???,190111901,1000000,190111902,1000000,190100303,1000000,190142213,1000000,0,0,0,0,0,0,0,0
810000115,???,190103601,1000000,190100501,1000000,190103602,500000,190142202,1000000,0,0,0,0,0,0,0,0
810000113,??,190100501,1000000,190100502,1000000,190100503,1000000,190142216,1000000,0,0,0,0,0,0,0,0
810090093,????,190100511,1000000,190100512,1000000,0,0,0,0,0,0,0,0,0,0,0,0
810000118,??? ??,190100601,1000000,190100602,1000000,190100603,1000000,190142208,1000000,0,0,0,0,0,0,0,0
810090094,????,190100711,1000000,190100712,1000000,190132306,500000,0,0,0,0,0,0,0,0,0,0
810000120,???,190100701,1000000,190100702,1000000,190100705,1000000,190132306,800000,190142217,1000000,0,0,0,0,0,0
810000105,??? ??G,190102701,1000000,190102702,500000,190142204,1000000,0,0,0,0,0,0,0,0,0,0
810000114,???,190102801,1000000,190102802,1000000,190142214,1000000,0,0,0,0,0,0,0,0,0,0
810000147,??,190102903,1000000,190144482,700000,0,0,0,0,0,0,0,0,0,0,0,0
810000170,???,190106101,500000,190106103,500000,190142210,1000000,0,0,0,0,0,0,0,0,0,0
810000171,???,190106201,500000,190106202,500000,190142205,1000000,0,0,0,0,0,0,0,0,0,0
810000124,???,190100901,1000000,190100902,1000000,190100903,1000000,190113202,500000,190142218,1000000,0,0,0,0,0,0
810000123,?? ?,190100801,1000000,190100802,1000000,0,0,0,0,0,0,0,0,0,0,0,0
810000132,?? ?,190102601,1000000,190102602,1000000,190142226,1000000,0,0,0,0,0,0,0,0,0,0
810000128,???,190101102,1000000,190101104,1000000,0,0,0,0,0,0,0,0,0,0,0,0
810000175,????,190107301,1000000,190107302,1000000,190107303,500000,190142229,1000000,0,0,0,0,0,0,0,0
810000174,????,190107401,500000,190107402,500000,190103002,500000,190142222,1000000,0,0,0,0,0,0,0,0
810000125,???,190101001,500000,190101002,500000,190144484,700000,0,0,0,0,0,0,0,0,0,0
810000108,?? ??G,190103701,1000000,190103702,1000000,0,0,0,0,0,0,0,0,0,0,0,0
810000172,???,190107501,1000000,190107502,500000,190142219,1000000,190139101,1000000,0,0,0,0,0,0,0,0
810000130,???G,190101201,1000000,190101202,1000000,0,0,0,0,0,0,0,0,0,0,0,0
810000129,??? ???,190101101,1000000,190101103,1000000,190142228,1000000,0,0,0,0,0,0,0,0,0,0
810000116,????,190102501,1000000,190102502,1000000,190102503,500000,190142224,1000000,0,0,0,0,0,0,0,0
810000176,????,190107601,1000000,190107602,1000000,190101303,500000,190144485,700000,0,0,0,0,0,0,0,0
810000131,??? ??,190101301,1000000,190101302,800000,0,0,190142220,1000000,0,0,0,0,0,0,0,0
810000127,??,190103901,1000000,190103902,800000,0,0,0,0,0,0,0,0,0,0,0,0
810000126,??,190101401,1000000,190101402,800000,0,0,190101403,500000,190142231,1000000,0,0,0,0,0,0
810000133,???,190101601,800000,190101602,500000,190142227,1000000,0,0,0,0,0,0,0,0,0,0
810000134,??,190101501,1000000,190101502,800000,0,0,0,0,0,0,0,0,0,0,0,0
810000137,?? ???,190101801,1000000,190104701,1000000,190144486,700000,0,0,0,0,0,0,0,0,0,0
810000135,??? ??,190101701,900000,190101703,900000,190101705,900000,190101706,500000,190142223,1000000,0,0,0,0,0,0
