ID,_Group,_QuestID,_QuestProbability
1,1,114007001,600000
2,1,114007002,600000
3,1,114007004,450000
4,1,114007005,300000
5,1,114007006,600000
6,1,114007007,450000
7,1,114007008,300000
8,1,114007009,600000
9,1,114007010,450000
10,1,114007011,300000
11,1,114007012,600000
12,1,114007013,450000
13,1,114007014,300000
14,1,114007015,600000
15,1,114007016,450000
16,1,114007017,300000
17,1,114007018,600000
18,1,114007019,450000
19,1,114007020,300000
20,2,114007021,600000
21,2,114007022,600000
22,2,114007024,150000
23,2,114007025,150000
24,2,114007026,150000
25,2,114007027,100000
26,2,114007028,600000
27,2,114007029,450000
28,2,114007030,300000
29,2,114007031,600000
30,2,114007032,150000
31,2,114007033,150000
32,2,114007034,150000
33,2,114007035,150000
34,2,114007036,50000
35,2,114007037,450000
36,2,114007038,300000
37,2,114007039,600000
38,2,114007040,450000
39,3,114007041,600000
40,3,114007042,600000
41,3,114007044,450000
42,3,114007045,300000
43,3,114007046,600000
44,3,114007047,450000
45,3,114007048,300000
46,3,114007049,600000
47,3,114007050,450000
48,3,114007051,300000
49,3,114007052,600000
50,3,114007053,450000
51,3,114007054,300000
52,3,114007055,50000
53,3,114007056,600000
54,3,114007057,450000
55,3,114007058,300000
56,3,114007059,600000
57,3,114007060,450000
58,4,114007061,600000
59,4,114007062,600000
60,4,114007064,450000
61,4,114007065,300000
62,4,114007066,600000
63,4,114007067,450000
64,4,114007068,300000
65,4,114007069,600000
66,4,114007070,450000
67,4,114007071,300000
68,4,114007072,600000
69,4,114007073,450000
70,4,114007074,300000
71,4,114007075,600000
72,4,114007076,450000
73,4,114007077,300000
74,4,114007078,150000
75,4,114007079,150000
76,4,114007080,50000
77,5,114007081,600000
78,5,114007082,600000
79,5,114007084,450000
80,5,114007085,300000
81,5,114007086,600000
82,5,114007087,450000
83,5,114007088,300000
84,5,114007089,600000
85,5,114007090,450000
86,5,114007091,300000
87,5,114007092,600000
88,5,114007093,450000
89,5,114007094,300000
90,5,114007095,600000
91,5,114007096,450000
92,5,114007097,300000
93,5,114007098,600000
94,5,114007099,450000
95,5,114007100,300000
96,6,114007101,600000
97,6,114007102,600000
98,6,114007104,450000
99,6,114007105,50000
100,6,114007106,300000
101,6,114007107,600000
102,6,114007108,450000
103,6,114007109,300000
104,6,114007110,50000
105,6,114007111,600000
106,6,114007112,450000
107,6,114007113,300000
108,6,114007114,600000
109,6,114007115,450000
110,6,114007116,150000
111,6,114007117,150000
112,6,114007118,100000
113,6,114007119,150000
114,6,114007120,50000
115,7,114007121,600000
116,7,114007122,600000
117,7,114007124,450000
118,7,114007125,300000
119,7,114007126,600000
120,7,114007127,450000
121,7,114007128,50000
122,7,114007129,300000
123,7,114007130,600000
124,7,114007131,450000
125,7,114007132,300000
126,7,114007133,150000
127,7,114007134,150000
128,7,114007135,100000
129,7,114007136,150000
130,7,114007137,600000
131,7,114007138,450000
132,7,114007139,300000
133,7,114007140,600000
134,8,114007141,600000
135,8,114007142,600000
136,8,114007144,450000
137,8,114007145,300000
138,8,114007146,600000
139,8,114007147,450000
140,8,114007148,300000
141,8,114007149,50000
142,8,114007150,600000
143,8,114007151,450000
144,8,114007152,300000
145,8,114007153,600000
146,8,114007154,450000
147,8,114007155,50000
148,8,114007156,300000
149,8,114007157,600000
150,8,114007158,450000
151,8,114007159,300000
152,8,114007160,600000
153,9,114007161,600000
154,9,114007162,600000
155,9,114007164,450000
156,9,114007165,300000
157,9,114007166,600000
158,9,114007167,450000
159,9,114007168,300000
160,9,114007169,50000
161,9,114007170,600000
162,9,114007171,450000
163,9,114007172,300000
164,9,114007173,600000
165,9,114007174,450000
166,9,114007175,50000
167,9,114007176,300000
168,9,114007177,600000
169,9,114007178,450000
170,9,114007179,300000
171,9,114007180,600000
172,10,114007181,600000
173,10,114007182,600000
174,10,114007184,450000
175,10,114007185,300000
176,10,114007186,600000
177,10,114007187,450000
178,10,114007188,300000
179,10,114007189,50000
180,10,114007190,600000
181,10,114007191,450000
182,10,114007192,300000
183,10,114007193,600000
184,10,114007194,450000
185,10,114007195,50000
186,10,114007196,300000
187,10,114007197,600000
188,10,114007198,450000
189,10,114007199,300000
190,10,114007200,600000
191,11,144081000,600000
192,11,144081001,600000
193,11,144081002,450000
194,11,144081003,50000
195,11,144081004,300000
196,11,144081005,600000
197,11,144081006,450000
198,11,144081007,300000
199,11,144081008,300000
200,11,144081009,100000
201,11,144081010,600000
202,11,144081011,450000
203,11,144081012,300000
204,11,144081013,600000
205,11,144081014,450000
206,11,144081015,150000
207,11,144081016,150000
208,11,144081017,150000
209,11,144081018,100000
210,11,144081019,60000
211,11,144081020,150000
212,11,144081021,90000
213,11,144081022,90000
214,11,162006001,120000
215,11,162006002,90000
216,11,162006003,120000
217,11,162006004,90000
218,11,162006005,120000
219,11,162006006,90000
220,11,162006007,60000
221,11,162006008,50000
222,11,162006009,40000
223,11,162006010,30000
224,11,162006011,20000
225,11,162006012,10000
226,12,164004001,125000
227,12,164004002,125000
228,12,164004003,125000
229,12,164004004,125000
230,12,164004005,75000
231,12,164004006,75000
232,12,164004007,75000
233,12,164004008,75000
234,12,164004009,30000
235,12,164004010,30000
236,12,164004011,30000
237,12,164004012,30000
238,12,164004013,30000
239,12,164004014,8500
240,12,164004015,8500
241,12,164004016,8500
242,12,164004017,8500
243,12,164004018,8500
244,12,164004019,8500
245,12,192009001,150000
246,12,192009002,75000
247,12,192009003,30000
248,12,192009004,30000
249,12,192009005,8500
250,12,192009006,150000
251,12,192009007,75000
