ID,_Point,_Exp_Factor
1,1,480
2,2,960
3,3,1440
4,4,1920
5,5,2400
6,6,2880
7,7,3360
8,8,3840
9,9,4320
10,10,4800
11,11,5280
12,12,5760
13,13,6240
14,14,6720
15,15,7200
16,16,7680
17,17,8160
18,18,8640
19,19,9120
20,20,9600
21,21,10080
22,22,10560
23,23,11040
24,24,11520
25,25,12000
26,26,12480
27,27,12960
28,28,13440
29,29,13920
30,30,14400
31,31,14880
32,32,15360
33,33,15840
34,34,16320
35,35,16800
36,36,17280
37,37,17760
38,38,18240
39,39,18720
40,40,19200
41,41,19680
42,42,20160
43,43,20640
44,44,21120
45,45,21600
46,46,22080
47,47,22560
48,48,23040
49,49,23520
50,50,36000
51,51,36720
52,52,37440
53,53,38160
54,54,38880
55,55,39600
56,56,40320
57,57,41040
58,58,41760
59,59,42480
60,60,43200
61,61,43920
62,62,44640
63,63,45360
64,64,46080
65,65,46800
66,66,47520
67,67,48240
68,68,48960
69,69,49680
70,70,50400
71,71,51120
72,72,51840
73,73,52560
74,74,53280
75,75,54000
76,76,54720
77,77,55440
78,78,56160
79,79,56880
80,80,57600
81,81,58320
82,82,59040
83,83,59760
84,84,60480
85,85,61200
86,86,61920
87,87,62640
88,88,63360
89,89,64080
90,90,64800
91,91,65520
92,92,66240
93,93,66960
94,94,67680
95,95,68400
96,96,69120
97,97,69840
98,98,70560
99,99,71280
100,100,72000
101,101,77580
102,102,78360
103,103,79080
104,104,79860
105,105,80640
106,106,81420
107,107,82200
108,108,82920
109,109,83700
110,110,84480
111,111,85260
112,112,86040
113,113,86760
114,114,87540
115,115,88320
116,116,89100
117,117,89880
118,118,90600
119,119,91380
120,120,92160
121,121,92940
122,122,93720
123,123,94440
124,124,95220
125,125,96000
126,126,96780
127,127,97560
128,128,98280
129,129,99060
130,130,99840
131,131,100620
132,132,101400
133,133,102120
134,134,102900
135,135,103680
136,136,104460
137,137,105240
138,138,105960
139,139,106740
140,140,107520
141,141,108300
142,142,109080
143,143,109800
144,144,110580
145,145,111360
146,146,112140
147,147,112920
148,148,113640
149,149,114420
150,150,115200
151,151,115980
152,152,116760
153,153,117480
154,154,118260
155,155,119040
156,156,119820
157,157,120600
158,158,121320
159,159,122100
160,160,122880
161,161,123660
162,162,124440
163,163,125160
164,164,125940
165,165,126720
166,166,127500
167,167,128280
168,168,129000
169,169,129780
170,170,130560
171,171,131340
172,172,132120
173,173,132840
174,174,133620
175,175,134400
176,176,135180
177,177,135960
178,178,136680
179,179,137460
180,180,138240
181,181,139020
182,182,139800
183,183,140520
184,184,141300
185,185,142080
186,186,142860
187,187,143640
188,188,144360
189,189,145140
190,190,145920
191,191,146700
192,192,147480
193,193,148200
194,194,148980
195,195,149760
196,196,150540
197,197,151320
198,198,152040
199,199,152820
200,200,153600
201,201,164040
202,202,164820
203,203,165660
204,204,166440
205,205,167280
206,206,168120
207,207,168900
208,208,169740
209,209,170520
210,210,171360
211,211,172200
212,212,172980
213,213,173820
214,214,174600
215,215,175440
216,216,176280
217,217,177060
218,218,177900
219,219,178680
220,220,179520
221,221,180360
222,222,181140
223,223,181980
224,224,182760
225,225,183600
226,226,184440
227,227,185220
228,228,186060
229,229,186840
230,230,187680
231,231,188520
232,232,189300
233,233,190140
234,234,190920
235,235,191760
236,236,192600
237,237,193380
