ID,_Name,_Description,_DisableDescription,_Special_Description,_Status_Type1,_Status_Value1,_Status_Type2,_Status_Value2,_EFFECT_1,_EFFECT_2,_Special_Status_Type1,_Special_Status_Value1,_Special_Status_Type2,_Special_Status_Value2,_Special_EFFECT_1,_Special_EFFECT_2
101,《血統》,\n『 解除封印的血統符文 』\n\n※效果※\n力量增加 1500,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n力量增加3000,14,1500,0,0,0,0,14,3000,0,0,0,0
102,《鋼鐵》,\n『 解除封印的鋼鐵符文 』\n\n※效果※\n體力增加 1500,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n體力增加 3000,26,1500,0,0,0,0,26,3000,0,0,0,0
103,《幸運》,\n『 解除封印的幸運符文 』\n\n※效果※\n幸運增加 1500,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n幸運增加 3000,18,1500,0,0,0,0,18,3000,0,0,0,0
104,《誓約》,\n『 解除封印的誓約符文 』\n\n※效果※\n任務獎勵增加 20%\n屬性發生率增加 500%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n任務獎勵增加 40% \n屬性發生率 1000%,488,20,136,500,0,0,488,40,136,1000,0,0
105,《憤怒》,\n『 解除封印的憤怒符文 』\n\n※效果※\n武器最小/最大攻擊力增加 70,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n武器攻擊力增加140,492,70,0,0,0,0,492,140,0,0,0,0
106,《祝福》,\n『 解除封印的祝福符文 』\n\n※效果※\n彩虹幣獲得量增加 50%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n彩虹幣獲得量增加 100%,128,50,0,0,0,0,128,100,0,0,0,0
107,《奉獻》,\n『 解除封印的奉獻符文 』\n\n※效果※\n最小傷害增加 50%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最小傷害增加 100%,90,50,0,0,0,0,90,100,0,0,0,0
108,《豐饒》,\n『 解除封印的豐饒符文 』\n\n※效果※\n道具掉落率增加 20%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n道具掉落率增加 40%,132,20,0,0,0,0,132,40,0,0,0,0
109,《破壞》,\n『 解除封印的破壞符文 』\n\n※效果※\n最大傷害增加 50%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n最大傷害增加 100%,94,50,0,0,0,0,94,100,0,0,0,0
110,《智慧》,\n『 解除封印的智慧符文 』\n\n※效果※\n組合成功率增加 5%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n組合成功率增加10%,384,5,0,0,0,0,384,10,0,0,0,0
111,《破滅》,\n『 解除封印的破滅符文 』\n\n※效果※\n爆擊傷害增加 50%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n爆擊傷害增加 100%,156,50,0,0,0,0,156,100,0,0,0,0
112,《信任》,\n『 解除封印的信任符文 』\n\n※效果※\n鑲嵌成功率增加 1%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n鑲崁成功率增加 2%,369,1,0,0,0,0,369,2,0,0,0,0
113,《熱情》,\n『 解除封印的熱情符文 』\n\n※效果※\n固定傷害增加 1500,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n固定傷害增加 3000,140,1500,0,0,0,0,140,3000,0,0,0,0
114,《忍耐》,\n『 解除封印的忍耐符文 』\n\n※效果※\n經驗值獲得量增加 100%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n經驗值獲得量增加 200%,124,100,0,0,0,0,124,200,0,0,0,0
115,《激怒》,\n『 解除封印的激怒符文 』\n\n※效果※\n武器攻擊力增加 5%,\n『 被封印的古代符文 』\n\n※ 寫著目前無法解讀的古代文字 ※,\n『 增幅欄位 』\n\n※效果※\n武器攻擊力增加 10%,493,5,0,0,0,0,493,10,0,0,0,0
