ID,_BGM1,_NpcName1,_Message1,_BoxType1,_CutInImage1,_CutInEffect1,_BGM2,_NpcName2,_Message2,_BoxType2,_CutInImage2,_CutInEffect2,_BGM3,_NpcName3,_Message3,_BoxType3,_CutInImage3,_CutInEffect3,_BGM4,_NpcName4,_Message4,_BoxType4,_CutInImage4,_CutInEffect4,_Event_BGM,_Event_NpcName,_Event_Message,_Event_BoxType,_Event_CutInImage,_Event_CutInEffect,_Yes_BGM,_Yes_Name,_Yes_Message,_Yes_BoxType,_Yes_Image,_Yes_ImageEffect,_No_BGM,_No_Name,_No_Message,_No_BoxType,_No_Image,_No_ImageEffect,_Story
1,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,現在是 B. 1201年，我要向你傳達一個緊急訊息，世界正處於危險之中，需要借助你的力量，請你一定要來找我。,1,8,0,,愛麗絲的影像,"在村莊與都市都會有 ""返回碑石""。此處儲存後, 在原野戰鬥中倒下時，選擇 <村莊>，就可以回到最後一次儲存過的返回碑石。所以每到村莊就先儲存起來會比較好。",1,14,0,,愛麗絲的影像,"在原野有 ""愛麗絲的石塔""。在此處儲存後，若在戰鬥中被擊倒，可借助石塔的力量回到最後儲存過的原野石塔，可再次復活。",1,18,0,,,,0,0,0,,愛麗絲的影像,要儲存現在位置嗎? 村莊與原野的記錄會分開儲存。,1,14,0,,愛麗絲的影像,位置已儲存。 在戰鬥中死亡時，選擇 <村莊>即可返回貝羅斯。,1,6,0,,愛麗絲的影像,不儲存位置。,1,14,0,0
2,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,"吉恩蒂亞大陸最大的都市, 艾利亞斯的""返回碑石""。",1,6,0,,愛麗絲的影像,"若在此處儲存, 即使在原野戰鬥中倒下，只要選擇 ""村莊""就可以回到艾利亞斯。",1,18,0,,,,0,0,0,,,,0,0,0,,愛麗絲的影像,建議儲存此處的位置。,1,6,0,,愛麗絲的影像,位置已儲存。 在戰鬥中死亡時，選擇 <村莊>即可返回艾利亞斯。,1,6,0,,愛麗絲的影像,這樣真的可以嗎?,1,10,0,0
3,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,這裡是冥王神殿的遺址地區。因為是很古老的建築，所以有很多損壞的路，移動時會有些不方便，請小心留意。,1,14,0,,愛麗絲的影像,因為這裡有很多危險的怪物，所以必須要注意才行。期待能再見面。,1,16,0,,,,0,0,0,,,,0,0,0,,愛麗絲的影像,要在此處儲存您的位置嗎?,1,18,0,,愛麗絲的影像,位置已儲存。,1,18,0,,愛麗絲的影像,"什麼, 您不打算在此處儲存位置嗎?",1,14,0,0
4,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,阿爾卡笛亞又被稱為 '武陵桃源'，因為這裡的景致美到不像人間所有。,1,6,0,,愛麗絲的影像,這條路再下去會出現通往奧亦奇的湖。奧亦奇是…從艾莉亞斯的影響力中脫身獨立的地方。,1,14,0,,愛麗絲的影像,那麼就希望下次還有機會與你在冒險的路途中相遇囉。,1,18,0,,,,0,0,0,,愛麗絲的影像,要儲存位置嗎?,1,14,0,,愛麗絲的影像,位置已儲存。,1,6,0,,愛麗絲的影像,天啊， 您不儲存位置嗎?,1,14,0,0
5,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,經由蕭羽的幫忙，我們好不容易可以追蹤到阿卡修拉的行蹤，我們可以一起救出穆亞，並且查出他們到底在策畫什麼陰謀。,1,10,0,,愛麗絲的影像,令人震驚的是他們打算要暗殺艾利亞斯的王族。雖然我努力想要盡快揭穿這個陰謀… 可惜還是晚了一步。,1,12,0,,愛麗絲的影像,"不過, 幸好能夠救出國王陛下與海樂芮公主。我從這次事件裡得到的成就感比起消滅數萬怪物的旅程中所得到的還要大。",1,16,0,,愛麗絲的影像,"在此處儲存後, 即使在原野戰鬥中被擊倒, 選取""村莊""後就可以回到龍京都市。",1,18,0,,愛麗絲的影像,您知道儲存位置是必要的吧?,1,6,0,,愛麗絲的影像,位置已儲存。 在戰鬥中死亡時，選擇 <村莊>即可返回龍京都市。,1,6,0,,愛麗絲的影像,沒有儲存位置。有點可惜呢。,1,4,0,0
6,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,"這裡是湖水與劍的都市, '奧亦奇'。",1,6,0,,愛麗絲的影像,"若在此處儲存, 即使在原野戰鬥中倒下，只要選擇 ""村莊""就可以回到奧亦奇。",1,6,0,,愛麗絲的影像,"我們在這裡,救出了一個因為怪物攻擊處境危急的女孩，她的名字叫黑月。出乎意料的是，她竟是奧亦奇的公主，也就是領主的女兒。",1,18,0,,愛麗絲的影像,"黑月公主為了向救了她的我們表示謝意, 招待我們到她在奧亦奇擁有的城, 黑月城作客。",1,6,0,,愛麗絲的影像,"為了以後的冒險著想, 請儲存此處的位置。",1,6,0,,愛麗絲的影像,位置已儲存。 在戰鬥中死亡時，選擇 <村莊>即可返回奧亦奇。,1,6,0,,愛麗絲的影像,那麼… 就不幫您儲存位置了。,1,14,0,0
7,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,"吉恩蒂亞大陸南端的港口都市, 阿法的 ""返回碑石""",1,18,0,,愛麗絲的影像,"若在此處儲存, 即使在區域戰鬥中倒下，只要選擇 ""村莊""就可以回到阿法。",1,6,0,,愛麗絲的影像,聽說沙漠是個非常險惡的地方。而且因為一路從奧亦奇跟著來到這裡的黑月公主不停的抱怨使我們非常困擾。,1,10,0,,愛麗絲的影像,沙漠地帶有著很多傳聞像是盜賊團出沒或是這裡有古代遺址等等。,1,12,0,,愛麗絲的影像,在這裡儲存位置會比較好~,1,10,0,,愛麗絲的影像,位置已儲存。在戰鬥中死亡時，選擇 <村莊>即可返回阿法。,1,6,0,,愛麗絲的影像,不儲存位置。,1,4,0,0
8,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,奧亦奇周圍的櫻花樹湖水岸真的是非常美麗的地方，我們完全陷入這片美景中了。,1,18,0,,愛麗絲的影像,特別是穆亞喜歡到不知道該如何是好了。,1,18,0,,愛麗絲的影像,就連平常木訥的雷比也露出了溫柔的微笑。,1,6,0,,愛麗絲的影像,我有預感前往奧亦奇路上應該會一直發生好事喔。,1,18,0,,愛麗絲的影像,要在此處儲存您的位置嗎?,1,6,0,,愛麗絲的影像,位置已儲存。,1,18,0,,愛麗絲的影像,不儲存位置。,1,14,0,0
9,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,我們是受到黑月公主的邀請而來的。,1,14,0,,愛麗絲的影像,"為了修補古代遺址而重新建立的黑月城, 變成了特別複雜的構造。",1,14,0,,愛麗絲的影像,從守護每個角落的 '忍者'們到這個城的整體，不知道是從哪裡散發出來一股陰沉的氛圍。,1,8,0,,,,0,0,0,,愛麗絲的影像,"為了以後的冒險著想, 請儲存此處的位置。",1,8,0,,愛麗絲的影像,位置已儲存。,1,18,0,,愛麗絲的影像,那麼… 就不幫您儲存位置了。,1,10,0,0
10,Data/BGM/IRIS_STONE.MP3,愛麗絲的影像,阿卡修拉竟然潛入黑月城了! 我們真的感到非常驚訝，而且聽說黑月城的寶物 <馬伊諾的寶石>被偷了。,1,12,0,,愛麗絲的影像,"領主請我們一行人幫忙, 所以我們跟黑月公主，還有她的護衛喬安潘一起到黑月城的地下去。，",1,16,0,,愛麗絲的影像,地下暗道與地下壕溝之間的房間到底是用來做什麼的呢…?,1,10,0,,愛麗絲的影像,"不過, 這個阿卡修拉到底是怎麼知道這個房間的存在, 真是可疑啊。",1,4,0,,愛麗絲的影像,"為了以後的冒險著想, 請儲存此處的位置。",1,6,0,,愛麗絲的影像,位置已儲存。,1,18,0,,愛麗絲的影像,那麼… 就不幫您儲存位置了。,1,8,0,0
