ID,_SetName,_OptionType1,_OptionID1,_OptionValue1,_OptionType2,_OptionID2,_OptionValue2,_OptionType3,_OptionID3,_OptionValue3,_OptionType4,_OptionID4,_OptionValue4,_OptionType5,_OptionID5,_OptionValue5,_OptionType6,_OptionID6,_OptionValue6,_OptionType7,_OptionID7,_OptionValue7,_OptionType8,_OptionID8,_OptionValue8,_OptionType9,_OptionID9,_OptionValue9,_OptionType10,_OptionID10,_OptionValue10,_OptionType11,_OptionID11,_OptionValue11,_MaxCount,_MaxType1,_MaxID1,_Maxvalue1,_MaxType2,_MaxID2,_Maxvalue2,_MaxType3,_MaxID3,_Maxvalue3,_MaxType4,_MaxID4,_Maxvalue4,_MaxType5,_MaxID5,_Maxvalue5,_MaxType6,_MaxID6,_Maxvalue6,_MaxType7,_MaxID7,_Maxvalue7,_MaxType8,_MaxID8,_Maxvalue8
100201,火焰套裝,1,216,150,1,30,500,1,455,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,158,3,1,164,3,1,496,200,1,128,35,0,0,0,0,0,0,0,0,0,0,0,0
100205,玄武的山水紋紋套裝,1,216,200,1,30,700,1,455,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,495,40,1,132,10,1,466,10,1,463,10,0,0,0,0,0,0,0,0,0,0,0,0
100206,獅身人的法老套裝,1,216,270,1,30,900,1,455,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,495,50,1,462,20,1,156,20,1,162,20,0,0,0,0,0,0,0,0,0,0,0,0
100202,卡妙的冰霜套裝,1,216,350,1,30,1100,1,455,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,495,60,1,462,20,1,461,15,1,465,3,0,0,0,0,0,0,0,0,0,0,0,0
100301,哥布林套裝(戰士),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,3,1,184,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100302,哥布林套裝(騎士),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,27,3,1,217,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100303,哥布林套裝(法師),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,23,3,1,180,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100304,哥布林套裝(遊俠),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,3,1,128,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100307,哥布林套裝(工程師),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,30,100,1,217,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300652,聖誕套裝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,30,300,1,132,10,1,128,30,2,15003601,1,0,0,0,0,0,0,0,0,0,0,0,0
400151,狂怒套裝,1,216,300,1,136,100,2,15003705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,15,5,1,176,2,1,148,10,1,323,10,0,0,0,0,0,0,0,0,0,0,0,0
400161,神聖套裝,1,216,350,1,136,100,2,15003701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,27,5,1,30,300,1,144,10,2,15003709,1,0,0,0,0,0,0,0,0,0,0,0,0
400171,魔力套裝,1,216,280,1,136,100,2,15003703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,23,5,1,180,2,1,292,5,1,196,10,0,0,0,0,0,0,0,0,0,0,0,0
