ID,_Class,_Name,_Image,_Enable_Left,_Enable_Top,_Enable_Right,_Enable_Bottom,_Disable_Left,_Disable_Top,_Disable_Right,_Disable_Bottom,_MouseOver_Left,_MouseOver_Top,_MouseOver_Right,_MouseOver_Bottom,_Click_Left,_Click_Top,_Click_Right,_Click_Bottom,_Select_Left,_Select_Top,_Select_Right,_Select_Bottom,_SubID1,_SubID2,_SubID3,_SubID4,_SubID5,_SubID6,_SubID7,_SubID8
101,1,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,204,208,401,0,0,0,0,0
102,1,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
103,1,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
104,1,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
105,1,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
201,2,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,201,203,207,402,0,0,0,0
202,2,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
203,2,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
204,2,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
205,2,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
301,3,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,316,403,0,0,0,0,0,0
302,3,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
303,3,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
304,3,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
305,3,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
401,4,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,202,209,210,404,0,0,0,0
402,4,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
403,4,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
404,4,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
405,4,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
501,5,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,214,216,405,0,0,0,0,0
502,5,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
503,5,????,Data/Interface/Concept/UI_Button_016.png,203,1,303,85,203,341,303,425,203,86,303,170,203,171,303,255,203,256,303,340,101,0,0,0,0,0,0,0
504,5,????,Data/Interface/Concept/UI_Button_016.png,304,1,404,85,304,341,404,425,304,86,404,170,304,171,404,255,304,256,404,340,501,502,0,0,0,0,0,0
505,5,???,Data/Interface/Concept/UI_Button_016.png,405,1,505,85,405,341,505,425,405,86,505,170,405,171,505,255,405,256,505,340,470,0,0,0,0,0,0,0
601,6,????,Data/Interface/Concept/UI_Button_016.png,1,1,101,85,1,341,101,425,1,86,101,170,1,171,101,255,1,256,101,340,206,406,0,0,0,0,0,0
602,6,????,Data/Interface/Concept/UI_Button_016.png,102,1,202,85,102,341,202,425,102,86,202,170,102,171,202,255,102,256,202,340,461,450,451,460,0,0,0,0
