ID,_Type,_Name,_Image,_Enable_Left,_Enable_Top,_Enable_Right,_Enable_Bottom,_Disable_Left,_Disable_Top,_Disable_Right,_Disable_Bottom,_MouseOver_Left,_MouseOver_Top,_MouseOver_Right,_MouseOver_Bottom,_Click_Left,_Click_Top,_Click_Right,_Click_Bottom,_Select_Left,_Select_Top,_Select_Right,_Select_Bottom,_CustomCombo
101,2,基本動作,Data/Interface/Concept/UI_Button_012.png,1,1,45,28,1,85,45,112,1,29,45,56,1,57,45,84,1,57,45,84,0
201,1,拳套技能,Data/Interface/Concept/UI_Button_012.png,91,113,135,140,91,197,135,224,91,141,135,168,91,169,135,196,91,169,135,196,0
202,1,短劍技能,Data/Interface/Concept/UI_Button_012.png,406,113,450,140,406,197,450,224,406,141,450,168,406,169,450,196,406,169,450,196,0
203,1,單手劍技能,Data/Interface/Concept/UI_Button_012.png,1,113,45,140,1,197,45,224,1,141,45,168,1,169,45,196,1,169,45,196,0
204,1,雙手劍技能,Data/Interface/Concept/UI_Button_012.png,361,1,405,28,361,85,405,112,361,29,405,56,361,57,405,84,361,57,405,84,0
205,1,刀技能,Data/Interface/Concept/UI_Button_013.png,136,1,180,28,136,85,180,112,136,29,180,56,136,57,180,84,136,57,180,84,0
206,1,雙刀技能,Data/Interface/Concept/UI_Button_012.png,451,1,495,28,451,85,495,112,451,29,495,56,451,57,495,84,451,57,495,84,0
207,1,鈍器技能,Data/Interface/Concept/UI_Button_012.png,46,113,90,140,46,197,90,224,46,141,90,168,46,169,90,196,46,169,90,196,0
208,1,矛槍技能,Data/Interface/Concept/UI_Button_012.png,406,1,450,28,406,85,450,112,406,29,450,56,406,57,450,84,406,57,450,84,0
209,1,弓箭技能,Data/Interface/Concept/UI_Button_012.png,451,113,495,140,451,197,495,224,451,141,495,168,451,169,495,196,451,169,495,196,0
210,1,十字弓技能,Data/Interface/Concept/UI_Button_012.png,1,225,45,252,1,309,45,336,1,253,45,280,1,281,45,308,1,281,45,308,0
