ID,_Name,_Skill_ID,_Multi_Icon,_Multi_IconIndex,_Awaken_Order,_Awaken_skill,_Order,_EffectRequire_ID,_EffectRequire_Value,_MotionInfo1,_SoundEffect1,_Fx1,_MotionInfo2,_SoundEffect2,_Fx2,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_ValueSlv1,_Require1_Value2,_Require1_ValueSlv2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_ValueSlv1,_Require2_Value2,_Require2_ValueSlv2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_ValueSlv1,_Require3_Value2,_Require3_ValueSlv2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_ValueSlv1,_Require4_Value2,_Require4_ValueSlv2,_RequireEquipType,_RequireItemKind,_MotionStatusCheck,_StandCheck,_Buff_Check,_ComboCheck,_Skill_ComboID,_ComboTimeDelay,_ComboTime,_ComboApplyID,_Skill_CoolTimeID,_CoolTime1,_CoolTimeSLv1,_CoolTimeApplyID1,_CoolTime2,_CoolTimeSLv2,_CoolTimeApplyID2,_ConsumptionTerm,_ConsumptionStat1,_ConsumptionStatValue1,_ConsumptionStatValueSlv1,_ConsumptionStat2,_ConsumptionStatValue2,_ConsumptionStatValueSlv2,_ConsumptionStat3,_ConsumptionStatValue3,_ConsumptionStatValueSlv3,_ConsumptionItemID1,_ConsumptionItemID2,_ConditionCheckTime,_Speed_Delay,_Speed_X,_Speed_Time,_Speed_Y,_TargetType,_TargetMaxCount,_TargetMaxCountSlv,_Effect_Delay1,_Effect_Self1,_Effect_Target1,_Effect_Delay2,_Effect_Self2,_Effect_Target2,_Effect_Delay3,_Effect_Self3,_Effect_Target3,_Effect_Delay4,_Effect_Self4,_Effect_Target4,_Effect_Delay5,_Effect_Self5,_Effect_Target5,_Effect_Delay6,_Effect_Self6,_Effect_Target6,_Loop_Effect_Start_Delay1,_Loop_Effect_Delay1,_Loop_Effect_Self1,_Loop_Effect_Target1,_Loop_Effect_Finish_Time1,_Loop_Effect_Start_Delay2,_Loop_Effect_Delay2,_Loop_Effect_Self2,_Loop_Effect_Target2,_Loop_Effect_Finish_Time2,_StatusType1,_StatusValue1,_StatusValueSlv1,_StatusType2,_StatusValue2,_StatusValueSlv2,_StatusType3,_StatusValue3,_StatusValueSlv3,_StatusType4,_StatusValue4,_StatusValueSlv4,_Dec_Cool
1,??? ????[??],8000301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,??? ????[??],8000302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25003101,0,0,25003102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,??? ????[??],8000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25003202,0,0,25003203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,????,1000015,0,0,0,0,0,0,0,10000015,2493,16399,10000015,2493,16399,1,7,7,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,103079278716,1,0,0,10001,100,120,10001,13,34,0,13,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,18,70,86,0,4,6,0,2,0,21002301,5,0,21002301,9,0,21002301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,????,1001015,0,0,0,0,0,0,0,10001015,2494,16400,10001015,2494,16400,1,7,14,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,103079278716,1,0,0,10001,80,100,10001,113,51,0,113,0,0,0,0,7,14,3,0,0,0,0,0,0,0,0,0,20,120,45,0,4,6,0,4,0,21003201,7,0,21003201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,??? ???,1001005,0,0,0,0,0,0,0,10001005,2495,16401,10001005,2495,16401,1,7,10,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,103079278716,1,0,0,10001,50,70,10001,105,42,0,105,0,0,0,0,7,10,3,0,0,0,0,0,0,0,0,0,20,100,30,0,4,6,0,4,0,21001301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,????,1002015,0,0,0,0,0,0,0,10002015,2496,16402,10002015,2496,16402,1,7,21,4,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,103079278716,1,0,0,10001,100,120,10001,213,64,0,213,0,0,0,0,7,21,4,0,0,0,0,0,0,0,0,0,18,70,70,0,4,6,0,2,0,21004901,6,0,21004901,9,0,21004902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,????,1003015,0,0,0,0,0,0,0,10003015,2497,16403,10003015,2497,16403,1,7,28,4,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,4,103079278716,1,0,0,10001,70,90,10001,313,85,0,313,0,0,0,0,7,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,21006701,6,0,21006701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,? ????[??],8000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25006001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,? ????[??],8000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25006101,0,0,25006102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,? ????[??],8000603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25006201,0,0,25006202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,??,1000017,0,0,0,0,0,0,0,10000017,2499,16432,10000017,2499,16432,1,7,7,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,103079278716,1,0,0,10001,70,90,10001,15,30,0,15,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,21002501,6,0,21002502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,???? ??,1001007,0,0,0,0,0,0,0,10001007,2501,16434,10001007,2501,16434,1,7,9,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,103079278716,1,0,0,10001,50,80,10001,107,38,0,107,0,0,0,0,7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,0,21001502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,??,1001017,0,0,0,0,0,0,0,10001017,2500,16433,10001017,2500,16433,1,7,13,3,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,103079278716,1,0,0,10001,110,130,10001,115,42,0,115,0,0,0,0,7,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,0,21003401,6,0,21003401,8,0,21003401,10,0,21003401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,??? ??,1002007,0,0,0,0,0,0,0,10002007,2504,16437,10002007,2504,16437,1,7,20,4,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,103079278716,1,0,0,10001,80,100,10001,207,56,0,207,0,0,0,0,7,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,5,0,21004301,6,0,21004301,7,0,21004302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,??? ??,1003007,0,0,0,0,0,0,0,10003007,2503,16436,10003007,2503,16436,1,7,26,4,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,8,103079278716,1,0,0,10001,60,100,10001,307,76,0,307,0,0,0,0,7,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,5,0,21006101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,?? ??,3000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,2,0,0,0,0,0,0,0,0,0,1
18,??,3000107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,1,0,0,0,0,0,0,0,0,0,1
19,??,3000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,3,0,0,0,0,0,0,0,0,0,1
20,????,3000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,2,0,0,0,0,0,0,0,0,0,1
21,??? ??,3000140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,10,0,0,0,0,0,0,0,0,0,1
22,??? ????[??],8000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
