ID,_DelayTime1,_Sound1,_Loop1,_DelayTime2,_Sound2,_Loop2,_DelayTime3,_Sound3,_Loop3,_Description
1,0,[Chara]_Attack_Punch_L.wav,0,0,,0,0,,0,[???] ?? : ?? / ?? / ?? ???
2,0,[Chara]_Attack_Punch_H.wav,0,0,,0,0,,0,[???] ?? : ?? / ?? / ?? ???
3,0,[Chara]_Attack_Sword_L.wav,0,0,,0,0,,0,[???] ?? : ??? / ??? / ? / ?? / ?? ???
4,0,[Chara]_Attack_Sword_H.wav,0,0,,0,0,,0,[???] ?? : ??? / ??? / ? / ?? / ?? ??? / ? ???
5,5,[Chara]_Attack_Spear.wav,0,0,,0,0,,0,[???] ?? : ? ???
6,3,[Chara]_Attack_Bow_L.wav,0,0,,0,0,,0,[???] ?? : ? / ?? ???
7,4,[Chara]_Attack_Bow_H.wav,0,0,,0,0,,0,[???] ?? : ? / ?? ???
8,0,[Chara]_Guard.wav,0,0,,0,0,,0,[???] ????? : ??? ?? ??? ??
9,0,[Chara]_Jump.wav,0,0,,0,0,,0,[???] ??
10,0,[Chara]_JumpLand.wav,0,0,,0,0,,0,[???] ?? ??
11,0,[System]_level_up.wav,0,0,,0,0,,0,[???] ?? ?
12,0,[Chara]_BeAttack_Cri.wav,0,0,,0,0,,0,[???] ?? ????
13,0,[Chara]_BeAttack01.wav,0,0,,0,0,,0,[???] ?? ??
14,0,[Chara]_BeAttack02.wav,0,0,,0,0,,0,[???] ?? ?? ?? (??? ??/??? ??)
15,0,[Mon_001_04]_Dead.wav,0,0,,0,0,,0,[???] ??G ??
16,0,,0,0,,0,0,,0,
17,0,[Mon_001_00]_Public_BeAttack01.wav,0,0,,0,0,,0,[???] ?? ?? ?? 1
18,0,[System]_Skill_Get.wav,0,0,,0,0,,0,[???] ??? ??
19,0,[Mon_001_00]_Public_BeAttack02.wav,0,0,,0,0,,0,[???] ?? ?? ?? 2
20,0,[Mon_001_00]_Public_Jump01.wav,0,0,,0,0,,0,[???] ?? ?? / ??? ?? ??? 1
