ID,_Reward_Type1,_Reward_ID1,_Item_Count1,_Item_Rare1,_Item_Point_Min,_Item_Point_Max
101,1,60001001,0,1,0,0
102,1,60001002,0,1,0,0
103,1,60001003,0,1,0,0
104,1,60001004,0,1,0,0
105,1,60001005,0,1,0,0
106,1,60001006,0,1,0,0
107,1,60001007,0,1,0,0
108,1,60001008,0,1,0,0
109,1,60001009,0,1,0,0
110,1,60001010,0,1,0,0
111,2,170195511,10,1,0,0
301,0,10,0,1,0,0
302,0,20,0,1,0,0
303,0,30,0,1,0,0
304,0,50,0,1,0,0
305,0,100,0,1,0,0
306,0,200,0,1,0,0
307,0,300,0,1,0,0
500101,1,60001001,0,1,0,0
500102,1,60001002,0,1,0,0
500103,1,60001003,0,1,0,0
500104,1,60001004,0,1,0,0
500105,1,60001005,0,1,0,0
500106,1,60001006,0,1,0,0
500107,1,60001007,0,1,0,0
500108,1,60001008,0,1,0,0
500109,1,60001009,0,1,0,0
500110,1,60001010,0,1,0,0
500111,2,170195511,10,1,0,0
500301,0,100,0,1,0,0
500302,0,200,0,1,0,0
500303,0,300,0,1,0,0
500304,0,-30,0,1,0,0
500305,0,-50,0,1,0,0
500306,0,-100,0,1,0,0
500307,0,-200,0,1,0,0
500308,0,-300,0,1,0,0
1000101,1,60001001,0,1,0,0
1000102,1,60001002,0,1,0,0
1000103,1,60001003,0,1,0,0
1000104,1,60001004,0,1,0,0
1000105,1,60001005,0,1,0,0
1000106,1,60001006,0,1,0,0
1000107,1,60001007,0,1,0,0
1000108,1,60001008,0,1,0,0
1000109,1,60001009,0,1,0,0
1000110,1,60001010,0,1,0,0
1000111,2,170195511,10,1,0,0
1000301,0,100,0,1,0,0
1000302,0,200,0,1,0,0
1000303,0,300,0,1,0,0
1000304,0,-30,0,1,0,0
1000305,0,-50,0,1,0,0
1000306,0,-100,0,1,0,0
1000307,0,-200,0,1,0,0
1000308,0,-300,0,1,0,0
1500101,1,60002001,0,1,0,0
1500102,1,60002002,0,1,0,0
1500103,1,60002003,0,1,0,0
1500104,1,60002004,0,1,0,0
1500105,1,60002005,0,1,0,0
1500106,1,60002006,0,1,0,0
1500107,1,60002007,0,1,0,0
1500108,1,60002008,0,1,0,0
1500109,1,60002009,0,1,0,0
1500110,1,60002010,0,1,0,0
1500111,2,170195511,10,1,0,0
1500301,0,100,0,1,0,0
1500302,0,200,0,1,0,0
1500303,0,300,0,1,0,0
1500304,0,500,0,1,0,0
1500305,0,-50,0,1,0,0
1500306,0,-100,0,1,0,0
1500307,0,-200,0,1,0,0
1500308,0,-300,0,1,0,0
1500309,0,-500,0,1,0,0
2000101,1,60002001,0,1,0,0
2000102,1,60002002,0,1,0,0
2000103,1,60002003,0,1,0,0
2000104,1,60002004,0,1,0,0
2000105,1,60002005,0,1,0,0
2000106,1,60002006,0,1,0,0
2000107,1,60002007,0,1,0,0
2000108,1,60002008,0,1,0,0
2000109,1,60002009,0,1,0,0
2000110,1,60002010,0,1,0,0
2000111,2,170195511,10,1,0,0
2000301,0,100,0,1,0,0
2000302,0,200,0,1,0,0
2000303,0,300,0,1,0,0
2000304,0,500,0,1,0,0
2000305,0,-50,0,1,0,0
2000306,0,-100,0,1,0,0
2000307,0,-200,0,1,0,0
2000308,0,-300,0,1,0,0
2000309,0,-500,0,1,0,0
2500101,1,60003001,0,1,0,0
2500102,1,60003002,0,1,0,0
2500103,1,60003003,0,1,0,0
2500104,1,60003004,0,1,0,0
2500201,2,190145357,5,1,0,0
2500105,1,60003006,0,1,0,0
2500202,2,190145357,1,1,0,0
2500106,1,60003008,0,1,0,0
2500107,1,60003009,0,1,0,0
2500108,1,60003010,0,1,0,0
2500109,2,170195511,10,1,0,0
2500301,0,100,0,1,0,0
2500302,0,200,0,1,0,0
2500303,0,300,0,1,0,0
2500304,0,500,0,1,0,0
2500305,0,1000,0,1,0,0
2500306,0,-100,0,1,0,0
2500307,0,-200,0,1,0,0
2500308,0,-300,0,1,0,0
2500309,0,-500,0,1,0,0
2500310,0,-1000,0,1,0,0
3000101,1,60003001,0,1,0,0
3000102,1,60003002,0,1,0,0
3000103,1,60003003,0,1,0,0
3000104,1,60003004,0,1,0,0
3000201,2,190145357,10,1,0,0
3000105,1,60003006,0,1,0,0
3000202,2,190195489,1,1,0,0
3000106,1,60003008,0,1,0,0
3000107,1,60003009,0,1,0,0
3000108,1,60003010,0,1,0,0
3000109,2,170195511,10,1,0,0
3000301,0,100,0,1,0,0
3000302,0,200,0,1,0,0
3000303,0,300,0,1,0,0
3000304,0,500,0,1,0,0
3000305,0,1000,0,1,0,0
3000306,0,-100,0,1,0,0
3000307,0,-200,0,1,0,0
3000308,0,-300,0,1,0,0
3000309,0,-500,0,1,0,0
3000310,0,-1000,0,1,0,0
3500201,2,190195489,1,1,0,0
3500202,2,190145357,7,1,0,0
3500203,2,170193974,100,1,0,0
3500204,2,190145357,15,1,0,0
3500205,2,190145357,5,1,0,0
3500206,2,170171280,1,1,0,0
3500207,2,170196602,1,1,0,0
3500208,2,170171251,1,1,0,0
3500209,2,190144625,1,1,0,0
3500210,2,190145021,2,1,0,0
3500211,2,170195511,10,1,0,0
3500301,0,100,0,1,0,0
3500302,0,200,0,1,0,0
3500303,0,300,0,1,0,0
3500304,0,500,0,1,0,0
3500305,0,1000,0,1,0,0
3500306,0,-100,0,1,0,0
3500307,0,-200,0,1,0,0
3500308,0,-300,0,1,0,0
3500309,0,-500,0,1,0,0
3500310,0,-1000,0,1,0,0
4000201,2,190145357,7,1,0,0
4000202,2,170193974,100,1,0,0
4000203,2,190144625,1,1,0,0
4000204,2,190145357,7,1,0,0
4000205,2,190145357,15,1,0,0
4000206,2,190195489,2,1,0,0
4000207,2,190145021,3,1,0,0
4000208,2,170171251,1,1,0,0
4000209,2,170196603,1,1,0,0
4000210,2,170199003,1,1,0,0
4000211,2,170195511,10,1,0,0
4000301,0,100,0,1,0,0
4000302,0,200,0,1,0,0
4000303,0,300,0,1,0,0
4000304,0,500,0,1,0,0
4000305,0,1000,0,1,0,0
4000306,0,-100,0,1,0,0
4000307,0,-200,0,1,0,0
4000308,0,-300,0,1,0,0
4000309,0,-500,0,1,0,0
4000310,0,-1000,0,1,0,0
4500201,2,190145357,15,1,0,0
4500202,2,170193974,100,1,0,0
4500203,2,190144625,1,1,0,0
4500204,2,170171280,1,1,0,0
4500205,2,190145357,15,1,0,0
4500206,2,170196605,1,1,0,0
4500207,2,190145021,5,1,0,0
4500208,2,190145357,20,1,0,0
4500209,2,170171251,2,1,0,0
4500210,2,190195489,2,1,0,0
4500211,2,170195511,10,1,0,0
4500301,0,100,0,1,0,0
4500302,0,200,0,1,0,0
4500303,0,300,0,1,0,0
4500304,0,500,0,1,0,0
4500305,0,1000,0,1,0,0
4500306,0,-100,0,1,0,0
4500307,0,-200,0,1,0,0
4500308,0,-300,0,1,0,0
4500309,0,-500,0,1,0,0
4500310,0,-1000,0,1,0,0
5000201,2,170195340,1,1,0,0
5000202,2,170171502,1,1,0,0
5000203,2,190170106,1,1,0,0
5000204,2,170195331,1,1,0,0
5000205,2,190195489,3,1,0,0
5000206,2,170195295,1,1,0,0
5000207,2,200002265,1,1,0,0
5000208,2,81695533,1,1,0,0
5000209,2,700101027,1,5,0,0
5000210,2,165800201,1,1,0,0
5000211,2,170195511,10,1,0,0
5000301,0,-100,0,1,0,0
5000302,0,-200,0,1,0,0
5000303,0,-300,0,1,0,0
5000304,0,-500,0,1,0,0
5000305,0,-1000,0,1,0,0
