ID,_Class,_Lv,_Stat_Point,_Skill_Point,_MOD_BaseMHP,_MOD_BaseMSP,_Base_Atk_Prob,_Base_Def_Prob,_Base_Ele_Prob,_Base_Luk_Prob,_Base_Guard,_Base_Atk_Min_Dam,_Base_Atk_Max_Dam,_Base_Ele_Min_Dam,_Base_Ele_Max_Dam,_Base_Speed_X,_Base_Speed_Y,_Base_Rope_Speed_X,_Base_Rope_Speed_Y,_BASE_WATER,_BASE_EXP_MOD,_BASE_ITEM_DROP_MOD,_BASE_DAMAGE_ABSOLUTE,_BASE_REDUCE_DAMAGE_ABSOLUTE,_BASE_DEF_PENETRATION,_BASE_ELE_PENETRATION,_BASE_JUMP_ATK,_BASE_NORMAL,_BASE_HEAVY,_BASE_CRITICAL_DAMAGE,_BASE_ELE_CRITICAL_DAMAGE,_BASE_HEAL_CRITICAL_AUGMENT,_BASE_HEAL_CRITICAL_PROBABILITY,_CLASS_MHP_FACTOR,_CLASS_MSP_FACTOR,_CLASS_RECV_HP_FACTOR,_CLASS_RECV_SP_FACTOR,_BASE_PHY_HIT_RATE,_BASE_ELE_HIT_RATE,_BASE_PHY_DODGE_RATE,_BASE_ELE_DODGE_RATE,_BASE_BACK_DAM,_BASE_ELE_BACK_DAM,_BASE_ATK_ADD_FACTOR,_BASE_ATK_RATIO_FACTOR,_BASE_ELE_ADD_FACTOR,_BASE_ELE_RATIO_FACTOR,_BASE_AMOR,_BASE_HEAL_HP_ADD,_BASE_HEAL_SP_ADD,_BASE_HEAL_HP_FACTOR,_BASE_HEAL_SP_FACTOR,_BASE_ELE_DAMAGE_ABSOLUTE,_BASE_ELE_REDUCE_DAMAGE_ABSOLUTE,_BASE_WATER_MIN_DAM,_BASE_WATER_MAX_DAM,_BASE_RES_WATER,_BASE_DROP_SPEED,_BASE_MAX_DROP_SPEED,_EXP_FACTOR,_EffectID1,_EffectID2
1,1,1,0,0,855,233,40,30,15,15,0,95,105,95,105,120,-800,100,100,10,0,0,0,1,0,0,6,11,11,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,3,0,0,100,100,0,1,0,0,4,1600,30,2,0,0
2,1,2,50,1,960,236,40,30,15,15,0,95,105,95,105,120,-800,100,100,11,0,0,0,1,0,0,7,12,12,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,6,0,0,100,100,0,1,0,0,8,1600,30,2,0,0
3,1,3,50,1,1065,239,40,30,15,15,0,95,105,95,105,120,-800,100,100,12,0,0,0,1,0,0,8,13,13,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,9,0,0,100,100,0,1,0,0,12,1600,30,3,0,0
4,1,4,50,1,1170,242,40,30,15,15,0,95,105,95,105,120,-800,100,100,13,0,0,0,1,0,0,9,14,14,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,12,0,0,100,100,0,1,0,0,16,1600,30,3,0,0
5,1,5,50,1,1275,245,40,30,15,15,0,95,105,95,105,120,-800,100,100,14,0,0,0,1,0,0,10,15,15,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,15,0,0,100,100,0,1,0,0,20,1600,30,3,0,0
6,1,6,50,1,1380,248,40,30,15,15,0,95,105,95,105,120,-800,100,100,15,0,0,0,1,0,0,11,16,16,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,18,0,0,100,100,0,1,0,0,24,1600,30,3,0,0
7,1,7,50,1,1485,251,40,30,15,15,0,95,105,95,105,120,-800,100,100,16,0,0,0,1,0,0,12,17,17,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,21,0,0,100,100,0,1,0,0,28,1600,30,4,0,0
8,1,8,50,1,1590,254,40,30,15,15,0,95,105,95,105,120,-800,100,100,17,0,0,0,2,0,0,13,18,18,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,24,0,0,100,100,0,2,0,0,32,1600,30,4,0,0
9,1,9,50,1,1695,257,40,30,15,15,0,95,105,95,105,120,-800,100,100,18,0,0,0,2,0,0,14,19,19,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,27,0,0,100,100,0,2,0,0,36,1600,30,4,0,0
10,1,10,50,1,1800,260,40,30,15,15,0,95,105,95,105,120,-800,100,100,19,0,0,0,2,0,0,15,20,20,50,50,50,0,400,300,3,2,0,0,0,0,20,20,30,200,30,200,30,0,0,100,100,0,2,0,0,40,1600,30,5,0,0
