ID,_Text,_QuestID1,_QuestID2,_QuestID3,_QuestID4,_QuestID5,_QuestID6,_QuestID7,_QuestID8,_QuestID9,_QuestID10,_QuestID11,_QuestID12,_QuestID13,_QuestID14,_QuestID15,_QuestID16,_QuestID17,_QuestID18,_QuestID19,_QuestID20,_QuestID21,_QuestID22,_QuestID23,_QuestID24,_QuestID25,_QuestID26,_QuestID27,_QuestID28,_QuestID29,_QuestID30
1101,冒險開始,901000001,901000002,901000003,901000004,901000005,901000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,尋找愛麗絲,901000007,901000008,901000009,901000011,901000012,901000013,901000014,901000015,901000016,901000017,901000018,901000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,喬安潘,901000020,901000021,901000022,901000023,901000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,時間之影,901000025,901000026,901000027,901000028,901000029,901000030,901000031,901000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,時空旅行者,115046000,125001000,125002000,125003000,125004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,華納海姆,139001000,139002000,138001000,138003000,138004000,138005000,138005100,138006000,138007000,138009000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,世界樹,138011000,138013000,138014000,138014001,138014002,138014003,138016000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,奧斯古拉斯傭兵團,148000000,148000100,148001000,148002000,148003000,148004000,148005000,148005100,148005200,148005300,148006000,148007000,148008000,148008100,148009000,148009100,148010000,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,甦醒的龍祭城,152003000,152003001,152003002,152003003,152003004,152003005,152003006,152003007,152003008,152003009,152003010,152003011,152003012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,特洛里防禦戰,154002000,154002001,154002002,154002003,154002004,154002005,154002006,154002007,154002008,154002009,154002010,154002011,154002012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,革命的立佩拉,162001000,162001001,162001002,162001003,162001004,162001005,162001006,162001007,162001008,162001009,162001010,162001011,162001012,162001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,燃燒的賽蕾斯神殿,164000000,164000001,164000002,164000003,164000004,164000005,164000006,164000007,164000008,164000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,痛苦的猶忒王國,172000200,172000201,172000202,172000203,172000204,172000205,172000206,172000207,172000208,172000209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,襲擊白煤,174000000,174000001,174000002,174000003,174000004,174000005,174000006,174000007,174000008,174000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
