ID,_RoomStyle,_RoomStyle_Type
1,1,無止盡冒險的世界彩虹島- *
2,1,與彩虹島一起度過的一天 - *
3,1,"有趣又驚奇的故事,彩虹島  - *"
4,1,尋找愛麗絲的旅程 - *
5,1,一起來玩吧- ! 超愛的 - *
6,1,"衝吧, 衝吧 - *"
7,1,放棄衝等 >0< /* 要跟我一起聊天的人 - *
8,1,"呃啊, 呃啊.. 好無聊.. 跟我玩 !! - *"
9,1,(~-_-)~ ~(@_@)~ ~(-_-~) - *
10,1,認識我的人請進來吧 !! 我是誰呢? - *
11,2,"除了我沒有的東西之外,其他的我都有喔! Come on - ?"
12,2,"喊出你想要的價格吧 !!, 完全免費 - ?"
13,2,艾利亞斯最頂尖商人的房間 - ?
14,2,話說的好就免費 !! 說不好的話就.. GG - ?
15,2,彩虹島最棒的商人 !! 歡迎歡迎 - ?
16,2,如果有比這裡更便宜的房間100%退費 !! 才怪… - ?
17,2,"買吧買吧 , 需要的通通買走 - ?"
18,2,"多少錢, 要多少錢你才要買呢 - ?"
19,2,"賣東西喔, 超級珍貴的物品都出清- ?"
20,2,誰來.. 把我買走…啊!!!! - ?
21,3,"想要當朋友的人到這邊 !!, 呼 - 我很棒吧 - ☆"
22,3,"招募公會成員!!, 要有禮貌 !! - ☆"
23,3,招募快速升級隊伍!!! 過來這裡 - ☆
24,3,徵求可以幫忙的人 !! 心地善良的 - ☆
25,3,要幫忙任務的人 !! 超級感謝 - ☆
26,3,招募情人 !! 招募情人 !! 快過來 - ☆
27,3,全部都要做的人 ?? 讓我看到你的毅力 - ☆
28,3,煩惱諮詢 !! 誰要來解決我的煩惱 - ☆
29,3,想要跟我成為麻吉的人~ 過來吧 - ☆
30,3,無聊的人都靠過來吧 - 我來陪你們玩耍- ☆
31,4,帥哥美女都靠過來吧 - ?
32,4,艾利亞斯頂尖的帥哥美女快過來- ?
33,4,太棒囉 !! 時尚大師請進 - ?
34,4,寶貝們過來這裡吧 - ?
35,4,"請過來這裡, 一起玩吧 - ?"
36,4,彩虹島最棒的帥哥美女們 !! 全部來這間房間吧 - ?
37,4,在所有玩家中，我是最帥最美的!! 在所有玩家中，我是最帥最美的 !!
38,4,在這裡一起玩吧 - ?
39,4,我們這裡全都是些小帥哥和小美女!! 照順序來 - ?
40,4,來聯誼吧 !! 超級歡迎所有喜愛彩虹島的朋友們 - ?
