ID,_Name,_PositionIndex,_Description,_Type,_ImageFile,_Range_Width,_Range_height,_Input1_Left,_Input1_Top,_Input1_Right,_Input1_Bottom,_FX1,_Text,_Array,_Margine,_Vmargine,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_StatusType3,_StatusValue3,_StatusType4,_StatusValue4,_EffectID1,_EffectDescription1,_EffectID2,_EffectDescription2,_EffectID3,_EffectDescription3,_EffectID4,_EffectDescription4,_Red,_Green,_Blue
1,不使用稱號,99999,不使用稱號。,1,,145,16,0,0,0,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,,255,255,183
18,超級瑪琍大師,363,你真的是人類嗎?!,1,,145,16,0,0,0,0,0,1,5,2,1,14,10,26,10,22,10,18,10,0,,0,,0,,0,,254,68,31
19,連特沃夫都自嘆不如的人,386,"不管是礦山的哪裡,都沒有我不知道的地方。",1,,145,16,0,0,0,0,0,1,5,2,1,18,3,22,3,0,0,0,0,0,,0,,0,,0,,255,255,183
21,鐵鍬達人,529,講到鐵鍬非我莫屬。,1,,145,16,0,0,0,0,0,1,5,2,1,18,3,22,3,0,0,0,0,0,,0,,0,,0,,255,255,183
22,大王殺手,737,把名字裡面有王的通通都打倒。,1,,145,16,0,0,0,0,0,1,5,2,1,18,3,22,3,0,0,0,0,0,,0,,0,,0,,255,255,183
101,不是新手的冒險家,708,不是菜鳥的冒險家。…只有這種程度真是可憐。,1,,145,16,0,0,0,0,0,1,5,2,1,30,5,0,0,0,0,0,0,0,,0,,0,,0,,255,255,183
102,冒險家,431,現在是偉大的一人冒險家! 朝著冒險 Go!,1,,145,16,0,0,0,0,0,1,5,2,1,30,5,34,5,0,0,0,0,0,,0,,0,,0,,255,255,183
103,戰勝冬天的支配者,270,賦予戰勝冬天的支配者的人的稱號。,1,,145,16,0,0,0,0,0,1,5,2,1,106,30,118,50,258,40,0,0,0,,0,,0,,0,,0,255,255
104,山嶽地帶征服者,525,賦予征服山嶽的英雄的稱號。,1,,145,16,0,0,0,0,0,1,5,2,1,106,5,118,40,114,40,0,0,0,,0,,0,,0,,255,255,183
105,新手冒險者,707,\n給予在彩虹島物語中邁出第一步的稱號。,1,,145,16,0,0,0,0,0,1,5,2,1,30,100,34,100,496,20,0,0,0,,0,,0,,0,,255,255,183
