ID,_Ultra_Kind,_Ultra_Position,_Ultra_Name,_DisableImage,_Ultra_Image,_Ultra_Description,_Ultra_Skill,_Level_Up_Point,_Ultra_Grade,_Grade_Up_Point,_Grade_Up_Probability,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_Effect1,_Effect2
1,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820101,500,1,2000,100,493,1,39,1,0,0
2,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820102,500,2,1000,100,493,2,39,2,0,0
3,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820103,500,3,1000,100,493,3,39,3,0,0
4,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820104,500,4,1000,100,493,4,39,4,0,0
5,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820105,500,5,1000,100,493,5,39,5,0,0
6,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820106,1700,6,35000,100,493,6,39,6,0,0
7,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820107,1800,7,5000,100,493,7,39,7,0,0
8,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820108,1900,8,5000,100,493,8,39,8,0,0
9,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820109,2000,9,5000,100,493,9,39,9,0,0
10,1,1,劍神吉斯卡德,50000002,50000001,在大陸驅逐黑暗並建立'光之聯合'的偉大盟主。通曉劍術，被稱為超越劍聖的超人—'劍神'，透過仁慈又正義的性格引領著大家。只要是關於劍的任何事情都非常嚴格對待，所以只有極少數人能成為其正式弟子。,3820110,2000,10,5000,100,493,10,39,10,0,0
11,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820201,500,1,2000,100,455,200,0,0,0,0
12,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820202,500,2,1000,100,455,400,0,0,0,0
13,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820203,500,3,1000,100,455,400,456,1,0,0
14,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820204,500,4,1000,100,455,800,456,1,0,0
15,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820205,500,5,1000,100,455,800,456,2,0,0
16,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820206,1700,6,35000,100,455,1200,456,2,0,0
17,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820207,1800,7,5000,100,455,1200,456,3,0,0
18,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820208,1900,8,5000,100,455,1600,456,3,0,0
19,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820209,2000,9,5000,100,455,1600,456,4,0,0
20,2,2,暴風女帝裔奧,50000004,50000003,以雪之都格爾答為中心，管理大陸北部底波拉地區的女王。擁有操縱雪和冰的強大能力，因而被稱為'暴風女帝'。個性直率又果斷，可能會讓人覺得個性有點冷漠，但其實他只是不想跟別人有過多的牽扯。,3820210,2000,10,5000,100,455,2000,456,5,0,0
21,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820301,500,1,2000,100,566,600,0,0,0,0
22,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820302,500,2,1000,100,566,1200,0,0,0,0
23,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820303,500,3,1000,100,566,1200,573,10,0,0
24,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820304,500,4,1000,100,566,2400,573,10,0,0
25,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820305,500,5,1000,100,566,2400,573,20,0,0
26,3,3,龍王阿德奇納,50000006,50000005,管理幻獸們停留之幻影大地的冥王龍。過去曾幫助賽蕾斯女神與魔皇戰鬥，長久以來協助遵循女神旨意之人，照拂著大陸的安全。 因為是龍，所以大陸的居民並不是稱他為'超人'而是 '超龍'。獨自度過長久的時間而感到寂寞，因此只要有客人來就會讓他多說點話。,3820306,1700,6,35000,100,566,3600,573,20,0,0
