ID,_Mission_Name,_Mission_Description,_Mission_Kind1,_Mission_ID1,_Mission_Count1,_Mission_Kind2,_Mission_ID2,_Mission_Count2,_Mission_Purpseposition,_Mission_Reward_Point
100001,接收天空的氣息 (1),執行地區：青空城競技場\n\n「修練要在離天空最近的地方會比較好。剛好我知道一個好地方，請跟我來。」,1,810003014,1,0,0,0,305,500
100002,接收天空的氣息 (2),執行地區：青空城競技場\n\n「這地方的氣息真神奇啊。希望你的修練不會白費，那麼就開始吧。天空會懂你的努力的。」,1,810003050,1,0,0,0,305,500
100003,接收天空的氣息 (3),執行地區：青空城競技場\n\n「你的信任喚醒了沉睡中的我，也會叫醒即將歸來的那個孩子。在那之前請變得更強。」,1,810003086,1,0,0,0,305,500
100004,接收天空的氣息 (4),執行地區：青空城競技場\n\n「你之所以會遇見我，是因為遙望著天空的同時，不停地行走的緣故。」,1,810003122,1,0,0,0,305,500
100005,驅散詛咒(1),執行地區：神秘的殿堂\n\n「你沒有受到詛咒，所以才能這樣做。希望你可以驅散這裡的詛咒。」,1,810006978,1,0,0,0,344,500
100006,驅散詛咒(2),執行地區：神秘的殿堂\n\n「現在你要做的事情是將希望灌輸在這片詛咒之地上。」,1,810006979,1,0,0,0,344,500
100007,驅散詛咒(3),執行地區：神秘的殿堂\n\n「你能在這片土地上做很多的事。」,1,810006980,1,0,0,0,344,500
100008,挽救枯萎的花,執行地區：歐若拉的庭院\n\n「花沒有死去，只是暫時陷入沉睡而已。請透過你的手記住，他正在等待下次的綻放。」,1,810006734,1,0,0,0,336,500
100009,造訪死亡庭園,執行地區：月華院\n\n「不要叫醒睡著的人們，因為他們並不後悔在睡著時所做的選擇。」,1,810003516,1,0,0,0,322,500
100010,亡者再次死去,執行地區：隱藏的洞窟\n\n「從死亡回來的人再也不是你的朋友，請讓他們得以安息。因為那是你最後可以為他們做的事。」,1,810003623,1,0,0,0,333,500
100011,制止種下謊言的人,執行地區：立佩拉市政府\n\n「他怎麼樣？用善良的臉龐說著謊？因為他們也別無選澤，必須要活下去。」,1,810006834,1,0,0,0,339,500
100012,消滅因貪婪而拋棄靈魂的人,執行地區：立佩拉市政府\n\n「你說他們的貪婪只是在做戲?他們是別無選擇向惡靠攏的人們…，我也不得不產生戒心。」,1,810006835,1,0,0,0,339,500
100013,甜蜜又苦澀的空間,執行地區：巧克力花園\n\n「這食物到底是什麼呢？甜蜜之中又帶點苦澀…真是奇妙。那個孩子一定也會喜歡這種東西吧？」,1,810007058,1,0,0,0,184,500
100014,驅逐魔界之手,執行地區：惡魔的峽谷\n\n「有很多人想從空隙中伸出手來到這裡， 他們總有一天會為這片土地帶來萬惡。」,1,810006977,1,0,0,0,344,500
100015,整理扭曲的世界樹,執行地區：扭曲的世界樹\n\n「因扭曲者們的影響， 生命會以完全不同的面貌出現。」,1,810007165,1,0,0,0,184,500
100016,破壞錯誤的人工智慧,執行地區：小矮人飛空艇\n\n「請和那些最靠近地面的種族成為朋友。」,1,810007185,1,0,0,0,353,500
100017,與傲慢的領導人協商,執行地區：小矮人飛空艇\n\n「善良、愚鈍、固執並不是人類專屬的，他們當然也是如此。」,1,810007184,1,0,0,0,353,500
100018,揮去不安的影子,執行地區：太陽宮殿\n\n「需要智慧時就去找凱因族的族長，他能夠信任。」,1,810007252,1,0,0,0,354,500
100019,對於錯誤信念的信任,執行地區：黃金洞穴\n\n「相信實力是很好，但請不要因此而成為犯罪之人。」,1,810007358,1,0,0,0,360,500
100020,咬花蛇的痕跡,執行地區：日落森林\n\n「所有生命都很美麗、高貴，而剛出生的蛇孩子也一樣很高貴。」,1,810007364,1,0,0,0,184,500
100021,造訪微妙的情感森林,執行地區：瀑布樹森林\n\n「無法原諒把美麗的森林弄得一團亂的人。」,1,810007460,1,0,0,0,370,500
100022,愉快又奇怪的心情 (1),執行地區：春植島紀念館\n\n「在很久以後的未來，說不定會有其他世界的人來到這裡。」,1,810007610,1,0,0,0,375,500
100023,愉快又奇怪的心情 (2),執行地區：春植島紀念館\n\n「有些人為了快樂的世界，而想成為幫助他人的英雄。」,1,810007611,1,0,0,0,375,500
100024,愉快又奇怪的心情 (3),執行地區：春植島紀念館\n\n「為了人們而創造出快樂地方的那種人…。」,1,810007612,1,0,0,0,375,500
100025,冰冷又甜蜜的事,執行地區：冰淇淋庭院\n\n「需要轉換心情時，又冰又甜的食物最棒了。」,1,810007625,1,0,0,0,375,500
100026,平息影子裡的虛勢,執行地區：影子之書\n\n「是你最不擅長的行為啊。偶爾還是會需要，你就把它想成是修練吧。」,1,810007590,1,0,0,0,375,500
100027,極端的修練,執行地區：浮游島\n\n「很久以後，這裡說不定會發生很多事情。」,1,810007727,1,0,0,0,380,500
100028,神獸的不祥哭聲 (1),執行地區：珊瑚之歌\n\n「遠方的那些孩子們在哭泣，說不定是主人發生了什麼大事…。」,1,810007896,1,0,0,0,381,500
100029,神獸的不祥哭聲 (2),執行地區：珊瑚之歌\n\n「是從哪裡傳來的聲音？我完全聽不到…。」「是你的故鄉－大陸，在遠方的大海。」,1,810007897,1,0,0,0,381,500
100030,說服埋怨神的人,執行地區：閃亮深淵\n\n「管理大海的他埋怨著所有人，對不起…。」,1,810007904,1,0,0,0,381,500
100031,平息憤怒的神,執行地區：混沌峽谷\n\n「跟你一模一樣的存在怒氣沖沖地出現了。現在該怎麼辦？」,1,810007917,1,0,0,0,386,500
100032,平息法師的幻影,執行地區：花之路\n\n「我在這雖被稱做法師，但這個孩子在那裡先被稱作法師的。雖然不一定真的是法師…。」,1,810002649,1,0,0,0,266,500
100033,平息善者的幻影,執行地區：月之路\n\n「你記得泰勒嗎？啊，不記得啊。也是，時間的確過很久了。」,1,810002623,1,0,0,0,266,500
100034,平息邪惡的幻影,執行地區：夢之路\n\n「請小心阿卡修拉，他們一直緊盯著你。」,1,810002626,1,0,0,0,266,500
100035,平息不祥之龍的幻影,執行地區：世界樹的幻影\n\n「不祥之龍可能引領世界滅亡，所以需要能夠直視的勇氣。」,1,810002629,1,0,0,0,282,500
100036,平息女祭司的幻影,執行地區：世界樹的幻影\n\n「想起了被和你一樣的人稱為法師的那個孩子，沉睡之前如果可以再見一面就好了…。」,1,810002641,1,0,0,0,282,500
100037,平息主神的幻影,執行地區：世界樹的幻影\n\n「雖自認為神，但其實是透過某人的夢境所創造出來的存在… 如果哪天劍道的話，請說服他。」,1,810002630,1,0,0,0,282,500
100038,知識之章,執行地區：魔法書閱覽室\n\n「勒達，好久不見。雖然你不在…」,1,810001580,1,0,0,0,200,500
100039,守護聖火之章,執行地區：魔法書閱覽室\n\n「噓，伊普莉特。裝作不認識我，拜託了。」,1,810001581,1,0,0,0,200,500
100040,地獄魔獸,執行地區：被遺忘的花園\n\n「這是你必須砍殺的眾多地獄魔獸。」,1,810001594,1,0,0,0,198,500
100041,拋棄靈魂之人的手勢,執行地區：被遺忘的花園\n\n「不要閉眼睛，看著前方。以後也需要和這些拿靈魂跟他們交易的傢伙交手。」,1,810001596,1,0,0,0,198,500
100042,捕獲寶石龍,執行地區：星星搖籃\n\n「要見到抱著寶石的龍不是件簡單的事。如果有需要的東西，就該抓住他吧?」,1,810001748,1,0,0,0,210,500
100043,驅逐入侵者,執行地區：星星搖籃\n\n「覬覦寶石的盜賊們出現了，試試你的力量吧。」,1,810001749,1,0,0,0,210,500
100044,與英雄王的大戰,執行地區：星星搖籃\n\n「如果是和你志同道合的英雄，就可以成為永遠的朋友。」,1,810001745,1,0,0,0,210,500
100045,整理時空縫隙的記憶 (1),執行地區：伊米勒研究所\n\n「這個世界超越時間與空間，正受到其他次元的影響。比起你所知道的，或許有更多的東西正在前來。」,1,810002249,1,0,0,0,240,500
100046,整理時空縫隙的記憶 (2),執行地區：伊米勒研究所\n\n「或許某一天分隔時間及空間的偉大之牆也會倒塌。」,1,810002158,1,0,0,0,240,500
100047,擊退墮落之龍,執行地區：龍皇城\n\n「請想想是何時見過格魯亞的。遇到墮落之龍的那時……。」,1,810003522,1,0,0,0,322,500
100048,整頓魔族據點 (1),執行地區：毀滅之城\n\n「米勒石… 受到祝福的這片土地正面臨著危險!!」,1,810003631,1,0,0,0,333,500
100049,整頓魔族據點 (2),執行地區：毀滅之城\n\n「必須救出領主!! 找出肯定你的他!!」,1,810003630,1,0,0,0,333,500
100050,整頓魔族據點 (3),執行地區：毀滅之城\n\n「這隻野豬到底為什麼會出現在這裡？」,1,810003632,1,0,0,0,333,500
100051,整理創造噩夢的地方 (1),執行地區：魔石實驗室\n\n「請擊敗那些透過不該存在的力量所創造出來的傢伙!!」,1,810006816,1,0,0,0,342,500
100052,整理創造噩夢的地方 (2),執行地區：魔石實驗室\n\n「有個少女非自願地變成了其他的樣貌。必須把她從噩夢中救出來。」,1,810006817,1,0,0,0,342,500
100053,管制神的空間 (1),執行地區：神聖的教堂\n\n「…有東西需要你從攪亂神之領域的傢伙那裡守護。」,1,810007050,1,0,0,0,348,500
100054,管制神的空間 (2),執行地區：神聖的教堂\n\n「魔界的惡魔們不會就這樣撤退的…」,1,810007049,1,0,0,0,348,500
100055,救援 (1),執行地區：太陽神的地下祭壇\n\n「請不要原諒否定太陽神的人。」,1,810007251,1,0,0,0,354,500
100056,救援 (2),執行地區：太陽神的地下祭壇\n\n「火神的後裔們，現在在這裡做什麼？」,1,810007250,1,0,0,0,354,500
100057,明亮乾淨的森林不速之客 (1),執行地區：寶石樹森林\n\n「格魯亞特說了什麼嗎？」,1,810007470,1,0,0,0,370,500
100058,明亮乾淨的森林不速之客 (2),執行地區：寶石樹森林\n\n「你的勇氣成功說服了格魯亞特，這全都是因為你的能力才能做到的。」,1,810007471,1,0,0,0,370,500
100059,恐懼的結束 (1),執行地區：幻影毒霧沼澤\n\n「也許那個孩子看到的跟你看的一樣也說不定。魔皇…」,1,810007728,1,0,0,0,380,500
100060,恐懼的結束 (2),執行地區：幻影毒霧沼澤\n\n「那個孩子到底是誰？那個孩子恐懼的噩夢是什麼？」,1,810007729,1,0,0,0,380,500
100061,別有一心 (1),執行地區：冰封的世界\n\n「在未來很久以後，讓這個世界變得溫暖的孩子其他的面貌…。」,1,810007927,1,0,0,0,386,500
100062,別有一心 (2),執行地區：冰封的世界\n\n「巨大的混沌打算要從遠方襲來，不能讓他過來!!」,1,810007928,1,0,0,0,386,500
