ID,_Month,_VIPGrade,_GradePoint,_SpecialReward1,_SpecialReward2,_SpecialReward3,_SpecialReward4,_SpecialReward5,_LoopReward1,_LoopReward2,_LoopReward3,_LoopReward4,_LoopReward5
1,1,1,169,1139,0,0,0,0,0,0,0,0,0
2,1,2,299,1139,1140,0,0,0,0,0,0,0,0
3,1,3,699,1150,1141,0,0,0,0,0,0,0,0
4,1,4,1299,1142,1143,1144,0,0,0,0,0,0,0
5,1,5,2599,1146,1145,0,0,0,0,0,0,0,0
6,1,6,4699,1147,1148,0,0,0,0,0,0,0,0
7,1,7,7699,1149,0,0,0,0,0,0,0,0,0
8,1,8,11799,1151,0,0,0,0,0,0,0,0,0
9,1,9,17099,1152,0,0,0,0,0,0,0,0,0
10,1,10,23299,1153,0,0,0,0,0,0,0,0,0
11,2,1,169,1139,0,0,0,0,0,0,0,0,0
12,2,2,299,1139,1140,0,0,0,0,0,0,0,0
13,2,3,699,1150,1141,0,0,0,0,0,0,0,0
14,2,4,1299,1142,1143,1144,0,0,0,0,0,0,0
15,2,5,2599,1146,1145,0,0,0,0,0,0,0,0
16,2,6,4699,1147,1148,0,0,0,0,0,0,0,0
17,2,7,7699,1149,0,0,0,0,0,0,0,0,0
18,2,8,11799,1151,0,0,0,0,0,0,0,0,0
19,2,9,17099,1152,0,0,0,0,0,0,0,0,0
20,2,10,23299,1153,0,0,0,0,0,0,0,0,0
21,3,1,169,1139,0,0,0,0,0,0,0,0,0
22,3,2,299,1139,1140,0,0,0,0,0,0,0,0
23,3,3,699,1150,1141,0,0,0,0,0,0,0,0
24,3,4,1299,1142,1143,1144,0,0,0,0,0,0,0
25,3,5,2599,1146,1145,0,0,0,0,0,0,0,0
26,3,6,4699,1147,1148,0,0,0,0,0,0,0,0
27,3,7,7699,1149,0,0,0,0,0,0,0,0,0
28,3,8,11799,1151,0,0,0,0,0,0,0,0,0
29,3,9,17099,1152,0,0,0,0,0,0,0,0,0
30,3,10,23299,1153,0,0,0,0,0,0,0,0,0
31,4,1,169,1139,0,0,0,0,0,0,0,0,0
32,4,2,299,1139,1140,0,0,0,0,0,0,0,0
33,4,3,699,1150,1141,0,0,0,0,0,0,0,0
34,4,4,1299,1142,1143,1144,0,0,0,0,0,0,0
35,4,5,2599,1146,1145,0,0,0,0,0,0,0,0
36,4,6,4699,1147,1148,0,0,0,0,0,0,0,0
37,4,7,7699,1149,0,0,0,0,0,0,0,0,0
38,4,8,11799,1151,0,0,0,0,0,0,0,0,0
39,4,9,17099,1152,0,0,0,0,0,0,0,0,0
40,4,10,23299,1153,0,0,0,0,0,0,0,0,0
41,5,1,169,1139,0,0,0,0,0,0,0,0,0
42,5,2,299,1139,1140,0,0,0,0,0,0,0,0
43,5,3,699,1150,1141,0,0,0,0,0,0,0,0
44,5,4,1299,1142,1143,1144,0,0,0,0,0,0,0
45,5,5,2599,1146,1145,0,0,0,0,0,0,0,0
46,5,6,4699,1147,1148,0,0,0,0,0,0,0,0
47,5,7,7699,1149,0,0,0,0,0,0,0,0,0
48,5,8,11799,1151,0,0,0,0,0,0,0,0,0
49,5,9,17099,1152,0,0,0,0,0,0,0,0,0
50,5,10,23299,1153,0,0,0,0,0,0,0,0,0
51,6,1,169,1139,0,0,0,0,0,0,0,0,0
52,6,2,299,1139,1140,0,0,0,0,0,0,0,0
53,6,3,699,1150,1141,0,0,0,0,0,0,0,0
54,6,4,1299,1142,1143,1144,0,0,0,0,0,0,0
55,6,5,2599,1146,1145,0,0,0,0,0,0,0,0
56,6,6,4699,1147,1148,0,0,0,0,0,0,0,0
57,6,7,7699,1149,0,0,0,0,0,0,0,0,0
58,6,8,11799,1151,0,0,0,0,0,0,0,0,0
59,6,9,17099,1152,0,0,0,0,0,0,0,0,0
60,6,10,23299,1153,0,0,0,0,0,0,0,0,0
61,7,1,169,1139,0,0,0,0,0,0,0,0,0
62,7,2,299,1139,1140,0,0,0,0,0,0,0,0
