ID,_WayPoint_Group,_Name,_Description,_Type,_Rank1_Require1_Type,_Rank1_Require1_ID,_Rank1_Require1_Value1,_Rank1_Require1_Value2,_Rank1_Require2_Type,_Rank1_Require2_ID,_Rank1_Require2_Value1,_Rank1_Require2_Value2,_Rank1_Consumption_Item,_Rank1_Consumption_ItemCount,_Rank2_Require1_Type,_Rank2_Require1_ID,_Rank2_Require1_Value1,_Rank2_Require1_Value2,_Rank2_Require2_Type,_Rank2_Require2_ID,_Rank2_Require2_Value1,_Rank2_Require2_Value2,_Rank2_Consumption_Item,_Rank2_Consumption_ItemCount,_EffectID1,_EffectID2,_Error_Message,_Story,_OnOff,_Icon,_IconIndex
1,1,貝羅斯,"位置: 貝羅斯都市 (3456,1456)\n>剛開始旅行的新手都市\n>可以購買1~10等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000100,0,需要傳送水晶物品,0,1,10002000,3
2,2,艾利亞斯,"位置: 艾利亞斯都市 (3428, 1456)\n>吉恩蒂亞大陸的中心國。 \n>可以購買20~30等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000200,0,需要傳送水晶物品,0,1,10002000,7
3,1,冥王神殿,"位置: 冥王神殿 1層 (416, 2064)\n>10級 初級怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000300,73000301,需要傳送水晶物品,0,1,10002000,5
4,3,阿爾卡笛亞,"位置: 阿爾卡笛亞3 (2304, 800)\n>30等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000400,0,需要傳送水晶物品,0,1,10002000,11
5,3,龍京,"位置: 龍京都市 (2688, 1440)\n>充滿著中國風味建築造型的華麗都市。\n>可以購買40~50 等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000500,0,需要傳送水晶物品,0,1,10002000,12
6,4,奧亦奇,"位置: 奧亦奇都市 (5336, 1344)\n>帶有獨特地方色彩,歷史久遠的都市\n>50~60 等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000600,0,需要傳送水晶物品,0,1,10002000,19
7,5,阿法,"位置: 阿法都市 (5375, 1406)\n>被稱為沙漠寶石的都市\n>可以購買70~80 等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000700,0,需要傳送水晶物品,0,1,10002000,25
8,4,櫻樹湖畔,"位置: 櫻樹湖畔4 (800, 800)\n>30等級後半的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000800,0,需要傳送水晶物品,0,1,10002000,13
9,4,黑月城A,"位置: 內城中央館 (3457, 1069)\n>40等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000900,0,需要傳送水晶物品,0,1,10002000,20
10,4,黑月城B,"位置: 秘密房間 (2464, 685)\n>40等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001000,73001001,需要傳送水晶物品,0,1,10002000,20
11,5,金字塔A,"位置: 重力房間 (2560, 1184)\n>50等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001100,0,需要傳送水晶物品,0,1,10002000,27
12,5,金字塔B,"位置: 上升通路 (1568, 2560)\n>50等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001200,73001201,需要傳送水晶物品,0,1,10002000,27
13,5,黑暗森林,"位置: 黑暗森林4 (1952, 700)\n>40等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001300,0,需要傳送水晶物品,0,1,10002000,32
14,1,山林地帶,"位置: 山林地帶內部 (1472, 1120)\n>10等級以下的新手用原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001400,0,需要傳送水晶物品,0,1,10002000,4
16,5,陰森住宅,"位置: 陰森住宅3 (384, 480)\n>60等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001600,73001601,需要傳送水晶物品,0,1,10002000,33
17,7,雪原,"位置: 雷弗利治雪原 (1056, 877)\n>90等級的怪物登場的原野\n>周圍有可以休息的溫泉",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001700,0,需要傳送水晶物品,0,1,10002000,29
18,3,山嶽地帶,"位置: 山嶽地帶4 (2912, 1024)\n>20等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001800,0,需要傳送水晶物品,0,1,10002000,9
19,5,沙漠地帶,"位置: 沙漠地帶6 (1248, 512)\n>50等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73001900,0,需要傳送水晶物品,0,1,10002000,21
20,6,貝斯,"位置: 貝斯都市 (2944, 1376)\n>可以從阿法越過海邊的都市\n>可以購買90~100 等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73002000,0,需要傳送水晶物品,0,1,10002000,39
21,6,雨林地帶,"位置: 雨林地帶4 (1440, 1168)\n>70等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73002100,0,需要傳送水晶物品,0,1,10002000,40
22,6,克杜卡地下,"位置: 克杜卡地下4 (1823, 1117)\n>80等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73002200,0,需要傳送水晶物品,0,1,10002000,42
24,4,貓頭鷹城,"位置: 貓頭鷹城6 (512, 528)\n>110~118等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73002400,0,需要傳送水晶物品,0,1,10002000,45
25,1,古木林,"位置: 古木林通路 (2592, 448)\n>10等級以下的新手用原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73002500,14009036,需要傳送水晶物品,0,1,10002000,51
28,7,亞特蘭提斯,"位置: 亞特蘭提斯都市 (3518, 1264)\n>沉沒水中的文明都市。\n>可以購買110~120 等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73002800,0,需要傳送水晶物品,0,1,10002000,79
29,7,深淵的遺址,"位置: 深淵的遺址 (1856, 832)\n>90~100等級的怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73002900,0,需要傳送水晶物品,0,1,10002000,80
34,7,癩蛤蟆島,"位置: 癩蛤蟆島 (1600,1248)\n 充滿著謎語的島",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73003400,0,需要傳送水晶物品,0,1,10002000,96
32,8,米德卡勒特,"位置: 米德卡勒特 (4169,1440)\n>從遠方星球來到這裡的旅行者們的夢幻都市\n>可以購買130~140等級物品的都市",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73003200,0,需要傳送水晶物品,0,1,10002000,88
33,8,比佛羅斯特,"位置: 比佛羅斯特 (2528,2528)\n>越過地面突破大氣圈的巨大軌道太空梯",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73003300,0,需要傳送水晶物品,0,1,10002000,89
31,7,水族館,"位置: 水族館 (1280,464)\n>120等級怪物登場的原野",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73003100,0,需要傳送水晶物品,0,1,10002000,87
42,6,薩勒斯原野,"位置: 薩勒斯原野 (2048,544)\n 與恐龍一起度過的Free Life \n>82~87 等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004200,0,需要傳送水晶物品,0,1,10002000,56
43,9,機庫停等區,"位置: 機庫停等區 (736,736)\n 宇宙船櫛比鱗次的機庫\n>140 等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004300,0,需要傳送水晶物品,0,1,10002000,114
44,9,水耕農場停等區,"位置: 水耕農場停等區 (736,736)\n 克羅尼自給自足的水耕農場\n>140~150 等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004400,0,需要傳送水晶物品,0,1,10002000,115
45,9,D-拉伯停等區,"位置: D-拉伯(736,736)\n 研究時空與基因的設施。\n>150~160 等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004500,0,需要傳送水晶物品,0,1,10002000,116
46,9,地獄之門,"位置: 地獄之門 (795,647)\n 霍爾的大本營",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004600,0,需要傳送水晶物品,0,1,10002000,117
48,10,廢墟地帶,"位置: 廢墟地帶 (8895,400)\n>104~106等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004800,0,需要傳送水晶物品,0,1,10002000,123
49,10,地上庭園治癒房間,"位置: 地上庭園治癒房間 (834,384)\n> 聖女 西斯蒂娜所在的地上庭園的治癒房間",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73004900,0,需要傳送水晶物品,0,1,10002000,126
50,10,聖騎士的領域,"位置: 聖騎士的領域 (1243,959)\n>聖騎士們神聖的領域",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005000,0,需要傳送水晶物品,0,1,10002000,126
51,10,水上庭園治癒房間,"位置: 水上庭園治癒房間 (581,319)\n> 聖女 波利斯所在的水上庭園的治癒房間",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005100,0,需要傳送水晶物品,0,1,10002000,126
52,11,小章魚神殿入口,"位置 : (576,432)\n> 130 等級怪物登場",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005200,0,需要傳送水晶物品,0,1,10005000,204
53,11,小章魚神殿A,"位置 : 小章魚神殿3 (4983,1040)\n> 130 等級怪物登場",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73005300,0,需要傳送水晶物品,0,1,10005000,204
