ID,_Name,_Stage,_Group,_PosX,_PosY,_Rect_Width,_Rect_Height,_Visible_Party,_Visible_Portal,_Visible_Save,_Visible_NPC,_Visible_Mail,_Pos_Party,_Pos_Portal,_Pos_Save,_Pos_NPC,_Pos_Mail,_Map_Width_Size,_Map_Height_Size,_Map_Count,_Map_Link
1,??? ??? 1,1,0,331,264,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
2,??? ??? 2,1,1,616,271,120,70,1,1,1,1,0,0,1,0,0,0,1920,1120,1,1
3,??? ??,2,0,342,228,400,100,1,1,1,1,1,0,1,0,0,1,3200,1600,2,1
4,??? ??,2,1,534,404,120,70,1,1,1,1,0,0,1,0,0,0,1920,1120,1,1
5,????? ??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,????,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,????1,3,0,275,286,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
8,????2,3,1,536,286,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
9,????3 > ???? 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,????4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,??? ?? 1?,4,0,296,257,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
12,??? ?? 2? >1?,4,1,551,251,200,110,1,1,1,1,0,0,1,0,0,0,3200,1760,1,1
13,??? ?? 3? > 2?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,????1,5,0,208,283,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
15,????2,5,1,477,283,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
16,????3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,???? ??,6,0,126,500,600,100,1,1,1,1,1,0,1,0,0,1,3200,1600,3,1
18,???? ??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,???? ?? ??,6,2,683,285,96,80,1,1,1,1,0,0,1,0,0,0,1920,1600,1,1
20,???? ?? ???,6,3,812,286,96,80,1,1,1,1,0,0,1,0,0,0,1920,1600,1,1
21,????,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,???? ??,6,5,239,312,161,64,1,1,1,1,0,0,1,0,0,0,3200,1280,1,1
23,???? ??,6,6,821,638,160,80,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
24,???,6,7,808,454,165,83,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
25,????,6,4,532,375,121,100,1,1,1,1,0,0,1,0,0,0,1920,1600,1,1
26,???,6,1,239,675,120,70,1,1,1,1,0,0,1,0,0,0,1920,1120,1,1
27,???? ??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,???? ??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,???? ??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,???? ??,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1280,800,1,1
31,????,11,0,502,227,200,200,1,1,1,1,0,0,1,0,0,0,3200,3200,1,1
32,?????1,12,0,333,281,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
33,?????2,12,1,589,345,200,100,1,1,1,1,0,0,1,0,0,0,3200,1600,1,1
34,?? ??,13,0,322,267,400,100,1,1,1,1,0,0,1,0,0,0,3200,1600,2,1
